Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0001,/BTRL,Magazine,99.942,NA,Pryor,0.047,Porter,0.011,Sugar_Loaf,0
QAc-G-0002,/BTRL,Magazine,99.878,NA,Porter,0.077,Pryor,0.045,Sugar_Loaf,0
QAc-G-0003,/MBG,Magazine,58.81,NA,Pryor,40.453,Porter,0.737,Sugar_Loaf,0
QAc-G-0004,/MBG,Magazine,99.996,NA,Sugar_Loaf,0.004,Pryor,0,Porter,0
QAc-G-0005,/MBG,Porter,46.838,NA,Pryor,37.604,Magazine,15.557,Sugar_Loaf,0
QAc-G-0006,/MBG,Magazine,99.877,NA,Sugar_Loaf,0.08,Porter,0.044,Pryor,0
QAc-G-0010,/TMA,Magazine,83.125,NA,Porter,16.231,Pryor,0.641,Sugar_Loaf,0.003
QAc-G-0011,/TMA,Porter,98.046,NA,Pryor,1.79,Magazine,0.164,Sugar_Loaf,0
QAc-G-0015,/TMA,Pryor,50.888,NA,Magazine,48.865,Sugar_Loaf,0.21,Porter,0.037
QAc-G-0016,/HBG,Magazine,99.916,NA,Porter,0.049,Sugar_Loaf,0.028,Pryor,0.007
QAc-G-0017,/HBG,Magazine,72.099,Porter,Pryor,23.505,Porter,4.314,Sugar_Loaf,0.082
QAc-G-0018,/HBG,Magazine,83.705,Porter,Pryor,16.112,Porter,0.183,Sugar_Loaf,0
QAc-G-0019,/HBG,Pryor,94.586,Porter,Porter,4.901,Magazine,0.513,Sugar_Loaf,0
QAc-G-0020,/HBG,Magazine,99.515,Porter,Porter,0.474,Pryor,0.011,Sugar_Loaf,0
QAc-G-0021,/HBG,Porter,76.943,Pryor,Magazine,23.051,Sugar_Loaf,0.005,Pryor,0.001
QAc-G-0022,/HBG,Porter,88.209,Pryor,Sugar_Loaf,9.181,Magazine,2.604,Pryor,0.006
QAc-G-0023,/HBG,Pryor,99.94,Pryor,Porter,0.042,Magazine,0.012,Sugar_Loaf,0.005
QAc-G-0024,/HBG,Magazine,76.141,Pryor,Pryor,20.504,Porter,3.355,Sugar_Loaf,0
QAc-G-0025,/USNA,Magazine,99.067,Magazine,Pryor,0.925,Porter,0.007,Sugar_Loaf,0
QAc-G-0028,/USNA,Pryor,66.569,Porter,Magazine,33.225,Porter,0.205,Sugar_Loaf,0
QAc-G-0029,/AP,Magazine,99.998,Pryor,Porter,0.002,Pryor,0,Sugar_Loaf,0
QAc-G-0030,/AP,Magazine,68.61,Pryor,Pryor,28.228,Porter,3.161,Sugar_Loaf,0
QAc-G-0031,/AP,Porter,58.107,Pryor,Magazine,21.299,Pryor,20.592,Sugar_Loaf,0.003
QAc-G-0032,/DBG,Magazine,99.995,Magazine,Pryor,0.004,Sugar_Loaf,0.001,Porter,0
QAc-G-0033,/DBG,Magazine,99.968,Porter,Porter,0.02,Pryor,0.012,Sugar_Loaf,0
QAc-G-0034,/DBG,Magazine,99.556,Porter,Pryor,0.411,Porter,0.034,Sugar_Loaf,0
QAc-G-0035,/DBG,Pryor,56.611,Porter,Magazine,43.388,Porter,0.001,Sugar_Loaf,0
QAc-G-0036,/DBG,Porter,90.536,Porter,Pryor,6.002,Magazine,3.093,Sugar_Loaf,0.37
QAc-G-0037,/DBG,Magazine,99.756,Porter,Porter,0.119,Pryor,0.108,Sugar_Loaf,0.017
QAc-G-0038,/DBG,Magazine,99.978,Porter,Porter,0.016,Pryor,0.006,Sugar_Loaf,0
QAc-G-0039,/DBG,Porter,72.916,Porter,Magazine,21.266,Sugar_Loaf,5.817,Pryor,0.002
QAc-G-0040,/DBG,Magazine,99.802,Porter,Porter,0.137,Pryor,0.06,Sugar_Loaf,0
QAc-G-0041,/DBG,Magazine,92.394,Porter,Pryor,7.441,Porter,0.166,Sugar_Loaf,0
QAc-G-0042,/DBG,Magazine,99.665,Porter,Pryor,0.312,Sugar_Loaf,0.012,Porter,0.011
QAc-G-0043,/DBG,Magazine,93.417,Porter,Porter,4.18,Pryor,1.947,Sugar_Loaf,0.456
QAc-G-0044,/DBG,Magazine,97.107,Porter,Porter,2.137,Pryor,0.755,Sugar_Loaf,0
QAc-G-0045,/DBG,Magazine,70.409,Porter,Pryor,29.462,Porter,0.128,Sugar_Loaf,0
QAc-G-0046,/DBG,Magazine,51.777,Porter,Porter,48.209,Pryor,0.012,Sugar_Loaf,0.002
QAc-G-0047,/DBG,Magazine,93.269,Porter,Pryor,6.371,Porter,0.353,Sugar_Loaf,0.006
QAc-G-0048,/DBG,Magazine,92.328,Porter,Porter,7.544,Sugar_Loaf,0.128,Pryor,0.001
QAc-G-0049,/DBG,Magazine,99.984,Pryor,Porter,0.014,Pryor,0.001,Sugar_Loaf,0
QAc-G-0050,/DBG,Magazine,99.239,Pryor,Porter,0.736,Sugar_Loaf,0.022,Pryor,0.003
QAc-G-0051,/DBG,Magazine,49.996,Pryor,Pryor,47.408,Porter,2.596,Sugar_Loaf,0
QAc-G-0052,/DBG,Magazine,97.257,Pryor,Pryor,2.694,Porter,0.042,Sugar_Loaf,0.007
QAc-G-0053,/DBG,Magazine,98.658,Pryor,Porter,1.305,Pryor,0.032,Sugar_Loaf,0.005
QAc-G-0054,/DBG,Sugar_Loaf,74.547,Pryor,Magazine,17.606,Pryor,7.242,Porter,0.605
QAc-G-0055,/DBG,Magazine,92.887,Pryor,Sugar_Loaf,6.916,Porter,0.179,Pryor,0.017
QAc-G-0056,/DBG,Magazine,99.965,Pryor,Porter,0.025,Pryor,0.008,Sugar_Loaf,0.002
QAc-G-0057,/DBG,Magazine,99.987,Pryor,Porter,0.008,Pryor,0.005,Sugar_Loaf,0
QAc-G-0058,/DBG,Pryor,56.21,Pryor,Porter,41.904,Magazine,1.886,Sugar_Loaf,0
QAc-G-0059,/DBG,Magazine,99.86,Pryor,Porter,0.085,Sugar_Loaf,0.052,Pryor,0.003
QAc-G-0060,/DBG,Magazine,79.732,Pryor,Porter,20.266,Sugar_Loaf,0.002,Pryor,0
QAc-G-0061,/AA,Magazine,76.298,NA,Porter,15.56,Pryor,8.141,Sugar_Loaf,0
QAc-G-0062,/AA,Magazine,50.764,NA,Pryor,44.711,Porter,4.525,Sugar_Loaf,0
QAc-G-0063,/AA,Magazine,66.459,NA,Pryor,30.559,Porter,2.979,Sugar_Loaf,0.003
QAc-G-0064,/AA,Pryor,86.421,Magazine,Porter,13.133,Magazine,0.446,Sugar_Loaf,0
QAc-G-0065,/AA,Pryor,90.704,Magazine,Porter,9.241,Magazine,0.054,Sugar_Loaf,0
QAc-G-0066,/AA,Pryor,89.758,Magazine,Magazine,10.125,Porter,0.116,Sugar_Loaf,0.001
QAc-G-0067,/AA,Magazine,99.931,Magazine,Pryor,0.043,Porter,0.026,Sugar_Loaf,0
QAc-G-0068,/AA,Porter,80.502,Magazine,Magazine,18.775,Pryor,0.59,Sugar_Loaf,0.132
QAc-G-0070,/AA,Magazine,87.521,Magazine,Pryor,12.425,Porter,0.054,Sugar_Loaf,0
QAc-G-0071,/AA,Magazine,60.237,Magazine,Pryor,39.707,Porter,0.056,Sugar_Loaf,0
QAc-G-0072,/AA,Pryor,78.746,Magazine,Magazine,20.748,Porter,0.505,Sugar_Loaf,0
QAc-G-0073,/AA,Magazine,97.24,NA,Pryor,2.746,Porter,0.014,Sugar_Loaf,0
QAc-G-0074,/AA,Porter,69.931,NA,Pryor,29.782,Magazine,0.27,Sugar_Loaf,0.017
QAc-G-0075,/AA,Magazine,99.99,NA,Sugar_Loaf,0.009,Porter,0.001,Pryor,0
QAc-G-0076,/AA,Magazine,93.877,NA,Porter,6.102,Sugar_Loaf,0.018,Pryor,0.004
QAc-G-0077,/AA,Magazine,99.989,Pryor,Pryor,0.008,Porter,0.004,Sugar_Loaf,0
QAc-G-0078,/AA,Magazine,97.428,Pryor,Pryor,2.241,Porter,0.33,Sugar_Loaf,0
QAc-G-0079,/AA,Magazine,80.561,Pryor,Pryor,16.382,Porter,3.057,Sugar_Loaf,0
QAc-G-0080,/AA,Pryor,55.581,Pryor,Sugar_Loaf,40.084,Magazine,4.193,Porter,0.142
QAc-G-0081,/AA,Magazine,99.957,NA,Sugar_Loaf,0.03,Porter,0.013,Pryor,0
QAc-G-0082,/AA,Magazine,99.307,NA,Sugar_Loaf,0.422,Porter,0.266,Pryor,0.005
QAc-G-0083,/AA,Pryor,98.535,Magazine,Magazine,1.463,Porter,0.002,Sugar_Loaf,0
QAc-G-0106,/TMA,Magazine,99.997,Magazine,Porter,0.002,Pryor,0.001,Sugar_Loaf,0
QAc-G-0107,/TMA,Magazine,99.998,Magazine,Porter,0.002,Pryor,0,Sugar_Loaf,0
QAc-G-0108,/TMA,Magazine,98.602,Magazine,Porter,1.381,Pryor,0.016,Sugar_Loaf,0
QAc-G-0109,/TMA,Magazine,99.984,Magazine,Pryor,0.016,Porter,0,Sugar_Loaf,0
QAc-G-0110,/TMA,Magazine,99.997,Magazine,Porter,0.003,Pryor,0.001,Sugar_Loaf,0
QAc-G-0111,/TMA,Magazine,99.982,Magazine,Porter,0.018,Pryor,0.001,Sugar_Loaf,0
QAc-G-0112,/TMA,Magazine,99.961,Magazine,Sugar_Loaf,0.016,Porter,0.016,Pryor,0.007
QAc-G-0113,/TMA,Magazine,99.974,Magazine,Porter,0.026,Pryor,0,Sugar_Loaf,0
QAc-G-0114,/TMA,Magazine,99.981,Magazine,Pryor,0.017,Porter,0.001,Sugar_Loaf,0
QAc-G-0115,/TMA,Magazine,87.11,Magazine,Porter,9.831,Sugar_Loaf,3.053,Pryor,0.006
QAc-G-0116,/TMA,Magazine,99.999,Magazine,Porter,0.001,Sugar_Loaf,0,Pryor,0
QAc-G-0117,/TMA,Magazine,64.507,Magazine,Porter,35.297,Pryor,0.196,Sugar_Loaf,0
QAc-G-0118,/TMA,Magazine,97.341,Magazine,Porter,2.449,Sugar_Loaf,0.203,Pryor,0.006
QAc-G-0119,/TMA,Magazine,98.104,Magazine,Sugar_Loaf,1.872,Porter,0.024,Pryor,0
QAc-G-0120,/TMA,Magazine,99.506,Magazine,Sugar_Loaf,0.465,Porter,0.028,Pryor,0.001
