Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-1,/MBC,CR,50.028,NWS_North,SF,41.429,ZFW,7.187,ENP,0.638,B,0.474
TMA-ZAIN-G-2,/MBC,SW,83.071,NWS_North,CR,16.271,B,0.642,ZFW,0.012,ONF,0.002
TMA-ZAIN-G-3,/MBC,B,98.353,ONF,CR,0.869,ONF,0.719,ONF,0.036,BP,0.006
TMA-ZAIN-G-4,/MBC,B,82.599,NWS_South,ONF,15.914,CR,0.411,BP,0.294,CF,0.207
TMA-ZAIN-G-5,/MBC,CR,99.933,NWS_North,ZFW,0.035,WB,0.016,B,0.009,ONF,0.003
TMA-ZAIN-G-6,/MBC,CR,85.292,ONF,B,5.282,CC,4.047,ZFW,1.708,ONF,0.95
TMA-ZAIN-G-7,/MBC,ONF,64.556,LTI,CR,29.711,TS,3.344,CF,1.721,ENP,0.271
TMA-ZAIN-G-8,/MBC,CR,81.455,LTI,SF,6.81,ONF,4.805,ONF,2.475,B,1.62
TMA-ZAIN-G-9,/MBC,ONF,95.111,FDSP,CF,1.833,ENP,1.063,B,0.827,CR,0.494
TMA-ZAIN-G-10,/MBC,B,98.961,FDSP,CR,0.706,CF,0.198,TS,0.083,ENP,0.046
TMA-ZAIN-G-11,/MBC,ONF,82.958,FDSP,CF,13.144,CR,1.591,BP,1.535,TSP,0.324
TMA-ZAIN-G-12,/MBC,B,73.427,FDSP,CR,26.5,CF,0.048,ONF,0.02,BP,0.002
TMA-ZAIN-G-13,/MBC,ONF,71.028,FDSP,BP,12.906,BP,12.053,TSP,3.388,TSP,0.463
TMA-ZAIN-G-14,/MBC,B,96.693,CNS,CR,1.756,CC,0.96,TS,0.358,O,0.134
TMA-ZAIN-G-15,/MBC,CR,81.187,CNS,CC,9.375,B,6.747,O,0.792,CF,0.752
TMA-ZAIN-G-16,/MBC,ONF,54.448,FDSP,B,45.262,BP,0.131,TSP,0.058,CR,0.051
TMA-ZAIN-G-17,/MBC,CF,46.132,NWS_North,ENP,38.31,CR,7.098,B,2.996,TSP,2.528
TMA-ZAIN-G-18,/MBC,SF,99.363,ENP,CR,0.627,ENP,0.003,ZFW,0.002,SW,0.002
TMA-ZAIN-G-19,/MBC,CF,64.353,ENP,TS,28.665,B,3.521,CR,2.844,ENP,0.409
TMA-ZAIN-G-20,/MBC,SF,60.627,ENP,CR,26.075,CF,6.975,WB,2.662,ENP,1.527
TMA-ZAIN-G-21,/MBC,CR,57.554,PB,B,40.495,ENP,1.512,CF,0.299,WB,0.081
TMA-ZAIN-G-22,/MBC,CR,57.674,TS,SF,25.044,SW,10.14,B,2.58,CF,2.421
TMA-ZAIN-G-23,/MBC,SW,93.909,TS,I,5.212,B,0.461,CR,0.216,SF,0.187
TMA-ZAIN-G-24,/MBC,WB,54.167,TS,CR,39.209,B,4.759,BP,1.117,O,0.446
TMA-ZAIN-G-25,/MBC,CR,46.034,NWS_South,ENP,26.612,ZFW,12.773,CF,8.997,B,5.142
TMA-ZAIN-G-26,/MBC,CF,92.278,OS,ENP,4.216,B,1.818,O,0.825,CR,0.765
TMA-ZAIN-G-27,/MBC,TS,95.779,CR,CF,2.586,ENP,0.759,CR,0.573,SW,0.242
TMA-ZAIN-G-28,/MBC,TS,91.487,NWS_North,CR,3.246,SF,3.187,CF,1.233,ENP,0.507
TMA-ZAIN-G-29,/MBC,WB,40.274,ONF,B,28.247,CF,10.526,ONF,10.052,CR,6.174
TMA-ZAIN-G-30,/MBC,B,53.352,WB,TS,41.748,CR,3.526,SW,1.06,I,0.256
TMA-ZAIN-G-31,/MBC,CR,91.008,W,SF,8.538,SW,0.297,ZFW,0.103,CF,0.015
TMA-ZAIN-G-32,/MBC,ONF,73.766,SW,B,12.765,CR,5.806,ZFW,4.544,SW,1.924
TMA-ZAIN-G-33,/MBC,ONF,43.535,NWS_North,CR,42.047,B,9.871,CF,2.657,ENP,1.384
TMA-ZAIN-G-34,/MBC,ONF,97.53,ONF,B,2.1,BP,0.234,CR,0.113,TSP,0.014
TMA-ZAIN-G-35,/MBC,B,93.784,ONF,ZFW,1.56,SF,1.275,CR,1.127,TS,1.087
TMA-ZAIN-G-36,/MBC,CF,93.809,NWS_North,CR,4.387,B,0.782,TS,0.372,ENP,0.235
TMA-ZAIN-G-37,/MBC,CF,65.376,SF,CR,27.045,B,3.325,ENP,2.12,CC,1.95
TMA-ZAIN-G-38,/MBC,ONF,35.218,I,B,34.753,CR,22.4,ZFW,6.674,ENP,0.397
TMA-ZAIN-G-39,/MBC,B,97.698,BP,CR,2.278,ENP,0.017,ONF,0.002,BP,0.002
TMA-ZAIN-G-40,/MBC,CR,82.998,BP,B,9.635,TSP,2.049,ENP,1.384,BP,1.363
TMA-ZAIN-G-41,/MBC,O,58.951,TS,B,39.765,CC,1.242,ENP,0.02,CR,0.02
TMA-ZAIN-G-42,/MBC,O,59.686,TS,CC,30.727,CR,7.694,ENP,0.61,BP,0.6
TMA-ZAIN-G-43,/MBC,B,77.7,CNS,TS,19.069,SW,1.159,CR,1.041,I,0.85
TMA-ZAIN-G-44,/MBC,CR,63.181,LB,BP,29.612,ENP,2.76,ONF,1.171,BP,1.164
TMA-ZAIN-G-45,/MBC,B,88.048,FDSP,CR,11.273,ONF,0.625,BP,0.02,BP,0.014
TMA-ZAIN-G-46,/MBC,CR,96.47,PB,B,2.712,ENP,0.389,WB,0.149,BP,0.127
TMA-ZAIN-G-47,/MBC,SF,85.839,CC,CR,13.955,ENP,0.155,SW,0.021,CF,0.015
TMA-ZAIN-G-48,/MBC,B,90.202,NWS_South,CR,4.36,CF,3.946,ENP,0.421,CC,0.376
TMA-ZAIN-G-49,/MBC,CF,97.003,NWS_South,B,2.49,ENP,0.186,CR,0.179,TS,0.096
TMA-ZAIN-G-50,/MBC,CF,50.361,NWS_South,TS,25.371,CR,18.755,I,1.736,BP,1.421
TMA-ZAIN-G-51,/MBC,CF,96.22,NWS_South,ENP,1.928,TS,1.025,CR,0.687,B,0.092
TMA-ZAIN-G-52,/MBC,TS,97.858,NWS_South,CR,1.18,B,0.506,CF,0.417,SW,0.023
