Ind,Population,Str_Cluster,Wild_Source,C1,C2,C3,C4
QAc-G-0029,AP,Pryor,Pryor,0.011,0.004,0.012,0.973
QAc-G-0030,AP,Pryor,Pryor,0.003,0.003,0.004,0.99
QAc-G-0031,AP,Pryor,Pryor,0.003,0.003,0.005,0.989
NA,NA,,,0,0,0,0
QAc-G-0061,Arnold,Pryor,Pryor,0.006,0.004,0.004,0.986
QAc-G-0062,Arnold,Magazine,Magazine,0.103,0.71,0.18,0.007
QAc-G-0063,Arnold,Sugar Loaf,Magazine,0.094,0.012,0.887,0.007
QAc-G-0064,Arnold,Magazine,Magazine,0.012,0.979,0.006,0.004
QAc-G-0065,Arnold,Magazine,Magazine,0.005,0.986,0.003,0.005
QAc-G-0066,Arnold,Sugar Loaf,Magazine,0.004,0.003,0.988,0.005
QAc-G-0067,Arnold,Magazine,Magazine,0.006,0.972,0.005,0.017
QAc-G-0068,Arnold,Sugar Loaf,Magazine,0.006,0.421,0.568,0.005
QAc-G-0070,Arnold,Sugar Loaf,Magazine,0.135,0.023,0.834,0.008
QAc-G-0071,Arnold,Sugar Loaf,Magazine,0.004,0.003,0.987,0.006
QAc-G-0072,Arnold,Sugar Loaf,Magazine,0.005,0.003,0.987,0.005
QAc-G-0073,Arnold,Porter,Porter,0.985,0.004,0.004,0.006
QAc-G-0074,Arnold,Porter,Porter,0.792,0.012,0.19,0.006
QAc-G-0075,Arnold,Porter,Porter,0.961,0.015,0.013,0.012
QAc-G-0076,Arnold,Porter,Porter,0.969,0.008,0.011,0.012
QAc-G-0077,Arnold,Pryor,Pryor,0.005,0.005,0.008,0.982
QAc-G-0078,Arnold,Pryor,Pryor,0.003,0.003,0.003,0.991
QAc-G-0079,Arnold,Pryor,Pryor,0.004,0.004,0.005,0.987
QAc-G-0080,Arnold,Pryor,Pryor,0.142,0.069,0.018,0.77
QAc-G-0081,Arnold,Porter,Sugar Loaf,0.954,0.027,0.009,0.009
QAc-G-0082,Arnold,Porter ,Sugar Loaf,0.944,0.033,0.006,0.016
QAc-G-0083,Arnold,Sugar Loaf,Magazine,0.372,0.091,0.463,0.074
NA,NA,,,0,0,0,0
QAc-G-0001,Bartlett,Pryor,NA,0.003,0.003,0.005,0.988
QAc-G-0002,Bartlett,Pryor,NA,0.003,0.003,0.003,0.991
NA,NA,,,0,0,0,0
QAc-G-0285,CBG,Sugar Loaf,NA,0.015,0.014,0.96,0.011
QAc-G-0286,CBG,Sugar Loaf,Magazine,0.003,0.003,0.99,0.004
QAc-G-0287,CBG,Sugar Loaf,Magazine,0.003,0.003,0.99,0.004
QAc-G-0288,CBG,Sugar Loaf,Magazine,0.01,0.005,0.971,0.014
QAc-G-0289,CBG,Sugar Loaf,Magazine,0.004,0.003,0.988,0.004
QAc-G-0290,CBG,Sugar Loaf,Magazine,0.005,0.005,0.987,0.004
QAc-G-0291,CBG,Sugar Loaf,Magazine,0.003,0.003,0.989,0.006
QAc-G-0292,CBG,Sugar Loaf,Magazine,0.043,0.037,0.916,0.004
QAc-G-0293,CBG,Sugar Loaf,Magazine,0.003,0.003,0.988,0.007
QAc-G-0294,CBG,Porter,Porter,0.962,0.02,0.005,0.013
QAc-G-0295,CBG,Porter,Porter,0.951,0.007,0.023,0.019
QAc-G-0296,CBG,Porter,Porter,0.978,0.009,0.01,0.004
QAc-G-0297,CBG,Porter,Porter,0.93,0.06,0.003,0.007
QAc-G-0298,CBG,Porter,Porter,0.979,0.007,0.005,0.009
QAc-G-0299,CBG,Porter,Porter,0.969,0.01,0.013,0.007
QAc-G-0300,CBG,Porter,Porter,0.982,0.01,0.004,0.004
QAc-G-0301,CBG,Porter,Porter,0.931,0.041,0.017,0.011
QAc-G-0302,CBG,Magazine,Magazine,0.024,0.962,0.007,0.006
QAc-G-0303,CBG,Magazine,Magazine,0.035,0.951,0.006,0.008
QAc-G-0304,CBG,Sugar Loaf,Magazine,0.004,0.003,0.99,0.004
QAc-G-0305,CBG,Sugar Loaf,Magazine,0.018,0.054,0.81,0.119
QAc-G-0306,CBG,Sugar Loaf,Magazine,0.003,0.003,0.99,0.005
QAc-G-0307,CBG,Pryor,Pryor,0.063,0.018,0.019,0.9
QAc-G-0308,CBG,Pryor,Pryor,0.011,0.007,0.013,0.969
QAc-G-0309,CBG,Pryor,Pryor,0.006,0.004,0.005,0.985
QAc-G-0310,CBG,Pryor,Pryor,0.005,0.003,0.005,0.987
QAc-G-0311,CBG,Pryor,Pryor,0.003,0.002,0.003,0.992
QAc-G-0312,CBG,Pryor,Pryor,0.23,0.165,0.008,0.597
QAc-G-0313,CBG,Porter,Sugar Loaf,0.871,0.048,0.059,0.022
QAc-G-0314,CBG,Porter,Sugar Loaf,0.961,0.026,0.003,0.009
QAc-G-0315,CBG,Magazine,Sugar Loaf,0.297,0.649,0.045,0.008
QAc-G-0316,CBG,Porter,Sugar Loaf,0.822,0.102,0.013,0.063
NA,NA,,,0,0,0,0
QAc-G-0032,DBG,Magazine,Magazine,0.011,0.974,0.008,0.007
QAc-G-0033,DBG,Porter,Porter,0.978,0.009,0.006,0.007
QAc-G-0034,DBG,Porter,Porter,0.945,0.016,0.006,0.033
QAc-G-0035,DBG,Porter,Porter,0.974,0.009,0.01,0.007
QAc-G-0036,DBG,Porter,Porter,0.971,0.007,0.014,0.008
QAc-G-0037,DBG,Porter,Porter,0.941,0.007,0.028,0.023
QAc-G-0038,DBG,Porter,Porter,0.989,0.004,0.004,0.002
QAc-G-0039,DBG,Porter,Porter,0.949,0.008,0.007,0.036
QAc-G-0040,DBG,Porter,Porter,0.969,0.007,0.016,0.008
QAc-G-0041,DBG,Porter,Porter,0.987,0.005,0.004,0.004
QAc-G-0042,DBG,Porter,Porter,0.974,0.012,0.011,0.004
QAc-G-0043,DBG,Porter,Porter,0.974,0.004,0.01,0.012
QAc-G-0044,DBG,Porter,Porter,0.943,0.04,0.013,0.004
QAc-G-0045,DBG,Porter,Porter,0.958,0.011,0.009,0.021
QAc-G-0046,DBG,Porter,Porter,0.97,0.005,0.003,0.021
QAc-G-0047,DBG,Porter,Porter,0.939,0.012,0.007,0.042
