Ind,Pop,C1,C2
QAc-W-0001,Porter,0.967,0.033
QAc-W-0002,Porter,0.942,0.058
QAc-W-0003,Porter,0.835,0.165
QAc-W-0004,Porter,0.979,0.021
QAc-W-0005,Porter,0.985,0.015
QAc-W-0006,Porter,0.982,0.018
QAc-W-0007,Porter,0.988,0.012
QAc-W-0008,Porter,0.986,0.014
QAc-W-0009,Porter,0.815,0.185
QAc-W-0010,Porter,0.976,0.024
QAc-W-0011,Porter,0.771,0.229
QAc-W-0012,Porter,0.983,0.017
QAc-W-0013,Porter,0.056,0.944
QAc-W-0014,Porter,0.99,0.01
QAc-W-0015,Porter,0.183,0.817
QAc-W-0016,Porter,0.958,0.042
QAc-W-0017,Porter,0.4,0.6
QAc-W-0018,Porter,0.803,0.197
QAc-W-0019,Porter,0.984,0.016
QAc-W-0020,Porter,0.963,0.037
QAc-W-0021,Porter,0.902,0.098
QAc-W-0022,Porter,0.746,0.254
QAc-W-0023,Porter,0.929,0.071
QAc-W-0024,Porter,0.557,0.443
QAc-W-0025,Porter,0.971,0.029
QAc-W-0026,Porter,0.631,0.369
QAc-W-0027,Porter,0.98,0.02
QAc-W-0028,Porter,0.98,0.02
QAc-W-0029,Porter,0.94,0.06
QAc-W-0030,Porter,0.341,0.659
QAc-W-0031,Porter,0.877,0.123
QAc-W-0032,Porter,0.987,0.013
QAc-W-0033,Porter,0.87,0.13
QAc-W-0034,Porter,0.973,0.027
QAc-W-0035,Porter,0.93,0.07
QAc-W-0036,Porter,0.974,0.026
QAc-W-0037,Porter,0.784,0.216
QAc-W-0038,Porter,0.759,0.241
QAc-W-0039,Porter,0.369,0.631
QAc-W-0040,Porter,0.973,0.027
QAc-W-0041,Porter,0.113,0.887
NA,NA,0,0
QAc-W-0042,Magazine,0.022,0.978
QAc-W-0043,Magazine,0.046,0.954
QAc-W-0044,Magazine,0.212,0.788
QAc-W-0045,Magazine,0.032,0.968
QAc-W-0046,Magazine,0.021,0.979
QAc-W-0047,Magazine,0.106,0.894
QAc-W-0048,Magazine,0.044,0.956
QAc-W-0049,Magazine,0.05,0.95
QAc-W-0050,Magazine,0.157,0.843
QAc-W-0051,Magazine,0.02,0.98
QAc-W-0052,Magazine,0.316,0.684
QAc-W-0053,Magazine,0.083,0.917
QAc-W-0054,Magazine,0.078,0.922
QAc-W-0055,Magazine,0.019,0.981
QAc-W-0056,Magazine,0.246,0.754
QAc-W-0057,Magazine,0.03,0.97
QAc-W-0058,Magazine,0.015,0.985
QAc-W-0059,Magazine,0.039,0.961
QAc-W-0060,Magazine,0.021,0.979
QAc-W-0061,Magazine,0.224,0.776
QAc-W-0062,Magazine,0.031,0.969
QAc-W-0063,Magazine,0.056,0.944
QAc-W-0064,Magazine,0.032,0.968
QAc-W-0065,Magazine,0.06,0.94
QAc-W-0066,Magazine,0.009,0.991
QAc-W-0067,Magazine,0.036,0.964
QAc-W-0068,Magazine,0.014,0.986
QAc-W-0069,Magazine,0.011,0.989
QAc-W-0070,Magazine,0.012,0.988
QAc-W-0071,Magazine,0.016,0.984
QAc-W-0072,Magazine,0.371,0.629
QAc-W-0073,Magazine,0.049,0.951
QAc-W-0074,Magazine,0.049,0.951
QAc-W-0075,Magazine,0.011,0.989
QAc-W-0076,Magazine,0.036,0.964
QAc-W-0077,Magazine,0.045,0.955
NA,NA,0,0
QAc-W-0078,Pryor,0.084,0.916
QAc-W-0079,Pryor,0.014,0.986
QAc-W-0080,Pryor,0.043,0.957
QAc-W-0081,Pryor,0.019,0.981
QAc-W-0082,Pryor,0.013,0.987
QAc-W-0083,Pryor,0.023,0.977
QAc-W-0084,Pryor,0.013,0.987
QAc-W-0085,Pryor,0.026,0.974
QAc-W-0086,Pryor,0.014,0.986
QAc-W-0087,Pryor,0.02,0.98
QAc-W-0088,Pryor,0.017,0.983
QAc-W-0089,Pryor,0.012,0.988
QAc-W-0090,Pryor,0.01,0.99
QAc-W-0091,Pryor,0.022,0.978
QAc-W-0092,Pryor,0.045,0.955
