Sample.Name,Pop,C1,C2,C3
TMA-ZAIN-G-1,MBC,0.545,0.45,0.005
TMA-ZAIN-G-2,MBC,0.625,0.336,0.038
TMA-ZAIN-G-3,MBC,0.005,0.988,0.007
TMA-ZAIN-G-4,MBC,0.045,0.949,0.005
TMA-ZAIN-G-5,MBC,0.954,0.033,0.013
TMA-ZAIN-G-6,MBC,0.023,0.97,0.008
TMA-ZAIN-G-7,MBC,0.009,0.984,0.007
TMA-ZAIN-G-8,MBC,0.005,0.988,0.007
TMA-ZAIN-G-9,MBC,0.044,0.883,0.072
TMA-ZAIN-G-10,MBC,0.005,0.989,0.007
TMA-ZAIN-G-11,MBC,0.008,0.975,0.018
TMA-ZAIN-G-12,MBC,0.006,0.987,0.007
TMA-ZAIN-G-13,MBC,0.016,0.975,0.009
TMA-ZAIN-G-14,MBC,0.015,0.976,0.009
TMA-ZAIN-G-15,MBC,0.008,0.986,0.006
TMA-ZAIN-G-16,MBC,0.006,0.988,0.006
TMA-ZAIN-G-17,MBC,0.007,0.989,0.004
TMA-ZAIN-G-18,MBC,0.748,0.248,0.004
TMA-ZAIN-G-19,MBC,0.479,0.516,0.004
TMA-ZAIN-G-20,MBC,0.982,0.012,0.005
TMA-ZAIN-G-21,MBC,0.966,0.026,0.008
TMA-ZAIN-G-22,MBC,0.989,0.008,0.004
TMA-ZAIN-G-23,MBC,0.9,0.096,0.004
TMA-ZAIN-G-24,MBC,0.633,0.316,0.051
TMA-ZAIN-G-25,MBC,0.532,0.463,0.005
TMA-ZAIN-G-26,MBC,0.009,0.981,0.01
TMA-ZAIN-G-27,MBC,0.705,0.286,0.009
TMA-ZAIN-G-28,MBC,0.65,0.327,0.023
TMA-ZAIN-G-29,MBC,0.099,0.886,0.015
TMA-ZAIN-G-30,MBC,0.028,0.881,0.091
TMA-ZAIN-G-31,MBC,0.968,0.025,0.007
TMA-ZAIN-G-32,MBC,0.105,0.887,0.008
TMA-ZAIN-G-33,MBC,0.005,0.989,0.006
TMA-ZAIN-G-34,MBC,0.01,0.984,0.007
TMA-ZAIN-G-35,MBC,0.006,0.988,0.006
TMA-ZAIN-G-36,MBC,0.004,0.989,0.006
TMA-ZAIN-G-37,MBC,0.008,0.986,0.007
TMA-ZAIN-G-38,MBC,0.26,0.734,0.005
TMA-ZAIN-G-39,MBC,0.005,0.987,0.008
TMA-ZAIN-G-40,MBC,0.004,0.99,0.006
TMA-ZAIN-G-41,MBC,0.005,0.987,0.007
TMA-ZAIN-G-42,MBC,0.005,0.987,0.008
TMA-ZAIN-G-43,MBC,0.011,0.98,0.009
TMA-ZAIN-G-44,MBC,0.864,0.122,0.014
TMA-ZAIN-G-45,MBC,0.01,0.982,0.008
TMA-ZAIN-G-46,MBC,0.98,0.014,0.006
TMA-ZAIN-G-47,MBC,0.013,0.981,0.006
TMA-ZAIN-G-48,MBC,0.009,0.983,0.008
TMA-ZAIN-G-49,MBC,0.732,0.26,0.008
TMA-ZAIN-G-50,MBC,0.595,0.4,0.005
TMA-ZAIN-G-51,MBC,0.68,0.176,0.144
TMA-ZAIN-G-52,MBC,0.449,0.485,0.066
TMA-ZAIN-G-53,MBC,0.619,0.37,0.011
TMA-ZAIN-G-54,MBC,0.01,0.981,0.008
TMA-ZAIN-G-55,MBC,0.011,0.982,0.008
TMA-ZAIN-G-56,MBC,0.069,0.926,0.005
TMA-ZAIN-G-57,MBC,0.012,0.982,0.006
TMA-ZAIN-G-58,MBC,0.59,0.405,0.005
TMA-ZAIN-G-59,MBC,0.241,0.746,0.013
TMA-ZAIN-G-60,MBC,0.654,0.339,0.007
TMA-ZAIN-G-61,MBC,0.932,0.056,0.012
TMA-ZAIN-G-62,MBC,0.905,0.086,0.01
TMA-ZAIN-G-63,MBC,0.963,0.031,0.006
TMA-ZAIN-G-64,MBC,0.004,0.979,0.017
TMA-ZAIN-G-65,MBC,0.004,0.989,0.007
TMA-ZAIN-G-66,MBC,0.004,0.985,0.011
TMA-ZAIN-G-67,MBC,0.008,0.983,0.009
TMA-ZAIN-G-68,MBC,0.004,0.987,0.01
TMA-ZAIN-G-69,MBC,0.014,0.967,0.019
TMA-ZAIN-G-70,MBC,0.006,0.976,0.018
TMA-ZAIN-G-71,MBC,0.005,0.955,0.04
TMA-ZAIN-G-72,MBC,0.005,0.986,0.009
TMA-ZAIN-G-73,MBC,0.009,0.976,0.015
TMA-ZAIN-G-74,MBC,0.011,0.969,0.02
TMA-ZAIN-G-75,MBC,0.007,0.952,0.041
TMA-ZAIN-G-76,MBC,0.03,0.94,0.03
TMA-ZAIN-G-77,MBC,0.006,0.987,0.007
TMA-ZAIN-G-78,MBC,0.02,0.975,0.005
TMA-ZAIN-G-79,MBC,0.01,0.984,0.006
TMA-ZAIN-G-80,MBC,0.005,0.989,0.007
TMA-ZAIN-G-81,MBC,0.008,0.981,0.011
TMA-ZAIN-G-82,MBC,0.005,0.978,0.017
TMA-ZAIN-G-83,MBC,0.012,0.979,0.009
TMA-ZAIN-G-84,MBC,0.012,0.982,0.005
TMA-ZAIN-G-85,MBC,0.491,0.505,0.004
TMA-ZAIN-G-86,MBC,0.254,0.741,0.005
TMA-ZAIN-G-87,MBC,0.691,0.305,0.004
TMA-ZAIN-G-88,MBC,0.029,0.964,0.007
TMA-ZAIN-G-89,MBC,0.041,0.953,0.007
TMA-ZAIN-G-90,MBC,0.167,0.828,0.005
TMA-ZAIN-G-91,MBC,0.133,0.861,0.006
TMA-ZAIN-G-92,MBC,0.056,0.938,0.006
TMA-ZAIN-G-93,MBC,0.051,0.942,0.007
TMA-ZAIN-G-94,MBC,0.393,0.601,0.006
TMA-ZAIN-G-95,MBC,0.865,0.089,0.047
TMA-ZAIN-G-96,MBC,0.467,0.524,0.009
TMA-ZAIN-G-97,MBC,0.972,0.02,0.008
TMA-ZAIN-G-98,MBC,0.92,0.043,0.037
TMA-ZAIN-G-99,MBC,0.523,0.459,0.018
TMA-ZAIN-G-101,MBC,0.984,0.009,0.006
TMA-ZAIN-G-102,MBC,0.909,0.078,0.013
TMA-ZAIN-G-103,MBC,0.737,0.255,0.008
TMA-ZAIN-G-104,MBC,0.847,0.148,0.005
TMA-ZAIN-G-105,MBC,0.979,0.016,0.005
TMA-ZAIN-G-106,MBC,0.764,0.231,0.005
TMA-ZAIN-G-107,MBC,0.004,0.988,0.008
TMA-ZAIN-G-108,MBC,0.005,0.984,0.011
TMA-ZAIN-G-109,MBC,0.138,0.856,0.006
TMA-ZAIN-G-110,MBC,0.147,0.846,0.007
TMA-ZAIN-G-111,MBC,0.032,0.962,0.006
TMA-ZAIN-G-112,MBC,0.579,0.414,0.007
TMA-ZAIN-G-113,MBC,0.169,0.824,0.007
TMA-ZAIN-G-114,MBC,0.652,0.326,0.022
TMA-ZAIN-G-115,MBC,0.955,0.033,0.012
TMA-ZAIN-G-116,MBC,0.922,0.063,0.015
TMA-ZAIN-G-117,MBC,0.004,0.989,0.007
TMA-ZAIN-G-118,MBC,0.005,0.989,0.007
TMA-ZAIN-G-119,MBC,0.005,0.988,0.007
TMA-ZAIN-G-120,MBC,0.009,0.984,0.007
TMA-ZAIN-G-121,MBC,0.006,0.988,0.006
TMA-ZAIN-G-122,MBC,0.005,0.987,0.008
TMA-ZAIN-G-123,MBC,0.008,0.986,0.007
TMA-ZAIN-G-124,MBC,0.965,0.029,0.005
TMA-ZAIN-G-125,MBC,0.006,0.988,0.007
TMA-ZAIN-G-126,MBC,0.004,0.99,0.006
TMA-ZAIN-G-127,MBC,0.005,0.989,0.007
TMA-ZAIN-G-128,MBC,0.004,0.99,0.006
TMA-ZAIN-G-129,MBC,0.005,0.988,0.006
TMA-ZAIN-G-130,MBC,0.005,0.987,0.008
TMA-ZAIN-G-131,MBC,0.005,0.989,0.006
TMA-ZAIN-G-132,MBC,0.005,0.989,0.006
TMA-ZAIN-G-133,MBC,0.004,0.988,0.007
TMA-ZAIN-G-134,MBC,0.006,0.988,0.006
TMA-ZAIN-G-135,MBC,0.005,0.988,0.007
TMA-ZAIN-G-136,MBC,0.005,0.987,0.008
TMA-ZAIN-G-137,MBC,0.005,0.985,0.01
TMA-ZAIN-G-138,MBC,0.006,0.988,0.007
TMA-ZAIN-G-139,MBC,0.004,0.987,0.009
TMA-ZAIN-G-140,MBC,0.005,0.987,0.008
TMA-ZAIN-G-141,MBC,0.006,0.987,0.007
TMA-ZAIN-G-142,MBC,0.006,0.988,0.006
TMA-ZAIN-G-143,MBC,0.005,0.988,0.007
TMA-ZAIN-G-144,MBC,0.005,0.988,0.007
TMA-ZAIN-G-145,MBC,0.006,0.987,0.007
TMA-ZAIN-G-146,MBC,0.004,0.99,0.007
TMA-ZAIN-G-147,MBC,0.005,0.981,0.014
TMA-ZAIN-G-148,MBC,0.004,0.988,0.008
