Sample.Name,Pop,C1,C2
TMA-ZAIN-G-1,MBC,0.909,0.091
TMA-ZAIN-G-2,MBC,0.728,0.272
TMA-ZAIN-G-3,MBC,0.015,0.985
TMA-ZAIN-G-4,MBC,0.282,0.718
TMA-ZAIN-G-5,MBC,0.988,0.012
TMA-ZAIN-G-6,MBC,0.2,0.8
TMA-ZAIN-G-7,MBC,0.04,0.96
TMA-ZAIN-G-8,MBC,0.015,0.985
TMA-ZAIN-G-9,MBC,0.028,0.972
TMA-ZAIN-G-10,MBC,0.016,0.984
TMA-ZAIN-G-11,MBC,0.021,0.979
TMA-ZAIN-G-12,MBC,0.013,0.987
TMA-ZAIN-G-13,MBC,0.195,0.805
TMA-ZAIN-G-14,MBC,0.023,0.977
TMA-ZAIN-G-15,MBC,0.016,0.984
TMA-ZAIN-G-16,MBC,0.018,0.982
TMA-ZAIN-G-17,MBC,0.047,0.953
TMA-ZAIN-G-18,MBC,0.971,0.029
TMA-ZAIN-G-19,MBC,0.841,0.159
TMA-ZAIN-G-20,MBC,0.987,0.013
TMA-ZAIN-G-21,MBC,0.976,0.024
TMA-ZAIN-G-22,MBC,0.991,0.009
TMA-ZAIN-G-23,MBC,0.977,0.023
TMA-ZAIN-G-24,MBC,0.786,0.214
TMA-ZAIN-G-25,MBC,0.775,0.225
TMA-ZAIN-G-26,MBC,0.178,0.822
TMA-ZAIN-G-27,MBC,0.827,0.173
TMA-ZAIN-G-28,MBC,0.932,0.068
TMA-ZAIN-G-29,MBC,0.242,0.758
TMA-ZAIN-G-30,MBC,0.209,0.791
TMA-ZAIN-G-31,MBC,0.979,0.021
TMA-ZAIN-G-32,MBC,0.743,0.257
TMA-ZAIN-G-33,MBC,0.016,0.984
TMA-ZAIN-G-34,MBC,0.184,0.816
TMA-ZAIN-G-35,MBC,0.02,0.98
TMA-ZAIN-G-36,MBC,0.014,0.986
TMA-ZAIN-G-37,MBC,0.031,0.969
TMA-ZAIN-G-38,MBC,0.705,0.295
TMA-ZAIN-G-39,MBC,0.019,0.981
TMA-ZAIN-G-40,MBC,0.015,0.985
TMA-ZAIN-G-41,MBC,0.011,0.989
