Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
TMA-ZAIN-G-1,MBC,0.006,0.005,0.01,0.007,0.009,0.017,0.007,0.088,0.006,0.006,0.032,0.024,0.007,0.096,0.028,0.006,0.037,0.611
TMA-ZAIN-G-2,MBC,0.02,0.095,0.005,0.005,0.018,0.005,0.013,0.081,0.007,0.013,0.006,0.007,0.01,0.04,0.017,0.004,0.008,0.646
TMA-ZAIN-G-3,MBC,0.018,0.01,0.052,0.003,0.007,0.011,0.007,0.04,0.051,0.067,0.025,0.02,0.059,0.583,0.005,0.032,0.004,0.005
TMA-ZAIN-G-4,MBC,0.024,0.009,0.012,0.004,0.021,0.005,0.548,0.016,0.099,0.017,0.008,0.013,0.066,0.111,0.008,0.03,0.004,0.005
TMA-ZAIN-G-5,MBC,0.002,0.002,0.003,0.005,0.006,0.005,0.004,0.003,0.003,0.003,0.002,0.002,0.004,0.004,0.008,0.003,0.003,0.938
TMA-ZAIN-G-6,MBC,0.006,0.013,0.07,0.034,0.016,0.162,0.042,0.101,0.026,0.056,0.018,0.014,0.014,0.303,0.016,0.051,0.035,0.023
TMA-ZAIN-G-7,MBC,0.077,0.018,0.13,0.005,0.011,0.012,0.09,0.224,0.044,0.185,0.021,0.038,0.028,0.078,0.014,0.008,0.009,0.008
TMA-ZAIN-G-8,MBC,0.008,0.008,0.864,0.002,0.009,0.005,0.004,0.014,0.01,0.008,0.007,0.004,0.012,0.028,0.004,0.008,0.003,0.004
TMA-ZAIN-G-9,MBC,0.097,0.031,0.016,0.004,0.005,0.02,0.005,0.185,0.131,0.35,0.025,0.007,0.024,0.069,0.005,0.018,0.005,0.005
TMA-ZAIN-G-10,MBC,0.161,0.025,0.035,0.005,0.01,0.032,0.01,0.191,0.156,0.139,0.105,0.012,0.023,0.057,0.004,0.026,0.006,0.003
TMA-ZAIN-G-11,MBC,0.376,0.015,0.011,0.006,0.006,0.008,0.022,0.144,0.059,0.222,0.082,0.008,0.006,0.008,0.007,0.006,0.008,0.005
TMA-ZAIN-G-12,MBC,0.022,0.008,0.015,0.003,0.005,0.008,0.005,0.022,0.324,0.06,0.032,0.021,0.357,0.099,0.005,0.005,0.005,0.005
