Ind,Pop,C1,C2,C3,C4
ZFB01,ZFB,0.005,0.005,0.986,0.004
ZFB02,ZFB,0.004,0.008,0.984,0.004
ZFB03,ZFB,0.005,0.007,0.979,0.009
ZFB04,ZFB,0.005,0.009,0.983,0.004
ZFB05,ZFB,0.007,0.081,0.893,0.019
ZFB06,ZFB,0.007,0.066,0.912,0.015
ZFB07,ZFB,0.009,0.012,0.973,0.006
ZFB08,ZFB,0.006,0.006,0.983,0.005
ZFB09,ZFB,0.003,0.005,0.987,0.004
ZFB10,ZFB,0.014,0.007,0.974,0.005
ZFB11,ZFB,0.008,0.007,0.981,0.004
ZFB12,ZFB,0.005,0.008,0.982,0.005
ZFB13,ZFB,0.006,0.007,0.982,0.005
ZFB14,ZFB,0.005,0.005,0.985,0.004
ZFB15,ZFB,0.003,0.006,0.988,0.003
ZFB16,ZFB,0.005,0.006,0.986,0.003
ZFB17,ZFB,0.016,0.04,0.933,0.012
ZFB18,ZFB,0.004,0.004,0.988,0.004
ZFB19,ZFB,0.026,0.019,0.951,0.005
ZFB20,ZFB,0.005,0.007,0.986,0.003
ZFB21,ZFB,0.003,0.006,0.987,0.004
ZFB22,ZFB,0.017,0.022,0.954,0.007
ZFB23,ZFB,0.009,0.01,0.975,0.006
ZFB24,ZFB,0.006,0.008,0.981,0.004
ZFB25,ZFB,0.025,0.006,0.965,0.005
ZFB26,ZFB,0.02,0.016,0.958,0.006
ZFB27,ZFB,0.008,0.013,0.975,0.004
ZFB28,ZFB,0.005,0.028,0.957,0.01
ZFB29,ZFB,0.003,0.007,0.986,0.004
ZFB30,ZFB,0.012,0.257,0.723,0.008
ZFB31,ZFB,0.014,0.006,0.975,0.005
ZFB32,ZFB,0.008,0.026,0.941,0.025
ZFB33,ZFB,0.004,0.006,0.988,0.003
ZFB34,ZFB,0.004,0.005,0.986,0.005
ZFB35,ZFB,0.007,0.006,0.981,0.006
,,,,,
ZFBP101,ZFBP1,0.865,0.014,0.017,0.105
ZFBP102,ZFBP1,0.938,0.013,0.027,0.022
ZFBP103,ZFBP1,0.666,0.009,0.009,0.317
ZFBP104,ZFBP1,0.908,0.036,0.05,0.006
ZFBP105,ZFBP1,0.976,0.008,0.008,0.009
ZFBP106,ZFBP1,0.981,0.005,0.004,0.011
ZFBP107,ZFBP1,0.952,0.024,0.01,0.015
ZFBP108,ZFBP1,0.988,0.003,0.004,0.004
ZFBP109,ZFBP1,0.986,0.004,0.005,0.005
ZFBP110,ZFBP1,0.707,0.02,0.036,0.238
ZFBP111,ZFBP1,0.988,0.004,0.003,0.005
ZFBP112,ZFBP1,0.982,0.006,0.005,0.007
ZFBP113,ZFBP1,0.986,0.005,0.004,0.004
ZFBP114,ZFBP1,0.979,0.008,0.005,0.008
ZFBP115,ZFBP1,0.979,0.006,0.003,0.012
ZFBP116,ZFBP1,0.986,0.006,0.003,0.005
ZFBP117,ZFBP1,0.984,0.004,0.003,0.009
ZFBP118,ZFBP1,0.983,0.007,0.004,0.006
ZFBP119,ZFBP1,0.96,0.006,0.004,0.031
ZFBP120,ZFBP1,0.98,0.007,0.007,0.006
ZFBP121,ZFBP1,0.977,0.005,0.006,0.012
