,global,glob_v_com,glob_com,glob_lowfr,glob_rare
1 or more copies,95.5%,100.0%,100.0%,97.1%,82.6%
2 or more copies,92.5%,100.0%,100.0%,94.1%,73.9%
3 or more copies,88.0%,100.0%,97.2%,89.7%,60.9%
4 or more copies,85.0%,100.0%,97.2%,85.3%,56.5%
5 or more copies,82.7%,100.0%,97.2%,83.8%,47.8%
6 or more copies,81.2%,100.0%,97.2%,83.8%,39.1%
7 or more copies,78.2%,100.0%,94.4%,77.9%,39.1%
8 or more copies,77.4%,100.0%,94.4%,76.5%,39.1%
9 or more copies,72.2%,100.0%,91.5%,70.6%,26.1%
10 or more copies,70.7%,100.0%,90.1%,69.1%,21.7%
