"","global","glob_v_com","glob_com","glob_lowfr","glob_rare"
"1 or more copies",0.609,1,0.859,0.515,0.174
"2 or more copies",0.489,0.929,0.775,0.353,0.087
"3 or more copies",0.406,0.833,0.676,0.25,0.087
"4 or more copies",0.368,0.786,0.62,0.206,0.087
"5 or more copies",0.346,0.762,0.577,0.176,0.087
"6 or more copies",0.293,0.714,0.507,0.118,0.0435
"7 or more copies",0.293,0.714,0.507,0.118,0.0435
"8 or more copies",0.263,0.667,0.465,0.103,0
"9 or more copies",0.256,0.643,0.451,0.103,0
"10 or more copies",0.241,0.619,0.423,0.0882,0
