"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",132,41,70,72,19,NA,NA,NA,NA
"2 or more copies",128,41,70,71,16,NA,NA,NA,NA
"3 or more copies",123,41,68,68,14,NA,NA,NA,NA
"4 or more copies",117,41,68,64,12,NA,NA,NA,NA
"5 or more copies",112,41,68,62,9,NA,NA,NA,NA
"6 or more copies",109,41,68,61,7,NA,NA,NA,NA
"7 or more copies",105,41,67,57,7,NA,NA,NA,NA
"8 or more copies",104,41,67,56,7,NA,NA,NA,NA
"9 or more copies",99,41,66,53,5,NA,NA,NA,NA
"10 or more copies",97,41,66,52,4,NA,NA,NA,NA
