"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","100% (139)","100% (41)","100% (70)","100% (74)","100% (24)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","80.6% (112)","80.5% (33)","75.7% (53)","77% (57)","91.7% (22)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","73.4% (102)","80.5% (33)","70% (49)","68.9% (51)","75% (18)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","67.6% (94)","75.6% (31)","65.7% (46)","66.2% (49)","58.3% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","62.6% (87)","73.2% (30)","61.4% (43)","58.1% (43)","58.3% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","61.2% (85)","73.2% (30)","61.4% (43)","56.8% (42)","54.2% (13)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","57.6% (80)","68.3% (28)","58.6% (41)","54% (40)","50% (12)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","56.8% (79)","68.3% (28)","57.1% (40)","52.7% (39)","50% (12)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","53.2% (74)","68.3% (28)","55.7% (39)","46% (34)","50% (12)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","52.5% (73)","68.3% (28)","55.7% (39)","44.6% (33)","50% (12)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
