"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","96.2% (133)","100% (42)","100% (71)","98.5% (68)","82.6% (23)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","94.7% (124)","100% (42)","100% (71)","97.1% (68)","78.3% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","91% (116)","100% (42)","97.2% (71)","92.6% (68)","69.6% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","86.5% (110)","100% (42)","97.2% (71)","86.8% (68)","60.9% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","82.7% (102)","100% (42)","97.2% (71)","83.8% (60)","47.8% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","81.2% (96)","100% (42)","97.2% (71)","83.8% (54)","39.1% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","78.2% (93)","100% (42)","94.4% (71)","77.9% (51)","39.1% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","77.4% (91)","100% (42)","94.4% (71)","76.5% (49)","39.1% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","73.7% (91)","100% (42)","93% (71)","73.5% (49)","26.1% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","72.9% (89)","100% (42)","93% (71)","73.5% (47)","21.7% (0)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
