"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","99.1% (115)","100% (42)","100% (71)","98.5% (67)","100% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","98.3% (114)","100% (42)","100% (71)","97.1% (66)","100% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","95.7% (111)","100% (42)","97.2% (69)","92.6% (63)","100% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","92.2% (107)","100% (42)","97.2% (69)","86.8% (59)","100% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","89.7% (104)","100% (42)","97.2% (69)","83.8% (57)","83.3% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","88.8% (103)","100% (42)","97.2% (69)","83.8% (57)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","85.3% (99)","100% (42)","94.4% (67)","77.9% (53)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","84.5% (98)","100% (42)","94.4% (67)","76.5% (52)","66.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","81% (94)","100% (42)","93% (66)","73.5% (50)","33.3% (2)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","81% (94)","100% (42)","93% (66)","73.5% (50)","33.3% (2)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
