"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",165,44,72,66,55,NA,NA,NA,NA
"2 or more copies",132,44,72,66,22,NA,NA,NA,NA
"3 or more copies",121,44,72,66,11,NA,NA,NA,NA
"4 or more copies",110,44,72,66,0,NA,NA,NA,NA
"5 or more copies",104,44,72,60,0,NA,NA,NA,NA
"6 or more copies",99,44,72,55,0,NA,NA,NA,NA
"7 or more copies",95,44,72,51,0,NA,NA,NA,NA
"8 or more copies",93,44,72,49,0,NA,NA,NA,NA
"9 or more copies",87,44,72,43,0,NA,NA,NA,NA
"10 or more copies",83,44,72,39,0,NA,NA,NA,NA
