"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",128,42,71,67,19,NA,NA,NA,NA
"2 or more copies",126,42,71,66,18,NA,NA,NA,NA
"3 or more copies",121,42,69,63,16,NA,NA,NA,NA
"4 or more copies",115,42,69,59,14,NA,NA,NA,NA
"5 or more copies",110,42,69,57,11,NA,NA,NA,NA
"6 or more copies",108,42,69,57,9,NA,NA,NA,NA
"7 or more copies",104,42,67,53,9,NA,NA,NA,NA
"8 or more copies",103,42,67,52,9,NA,NA,NA,NA
"9 or more copies",98,42,66,50,6,NA,NA,NA,NA
"10 or more copies",97,42,66,50,5,NA,NA,NA,NA
