"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.9624,1,1,0.9851,0.8261,NA,NA,NA,NA
"2 or more copies",0.9474,1,1,0.9701,0.7826,NA,NA,NA,NA
"3 or more copies",0.9098,1,0.9722,0.9254,0.6957,NA,NA,NA,NA
"4 or more copies",0.8647,1,0.9722,0.8657,0.6087,NA,NA,NA,NA
"5 or more copies",0.8271,1,0.9722,0.8358,0.4783,NA,NA,NA,NA
"6 or more copies",0.812,1,0.9722,0.8358,0.3913,NA,NA,NA,NA
"7 or more copies",0.782,1,0.9444,0.7761,0.3913,NA,NA,NA,NA
"8 or more copies",0.7744,1,0.9444,0.7612,0.3913,NA,NA,NA,NA
"9 or more copies",0.7368,1,0.9306,0.7313,0.2609,NA,NA,NA,NA
"10 or more copies",0.7293,1,0.9306,0.7313,0.2174,NA,NA,NA,NA
