"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",1,1,1,1,1,NA,NA,NA,NA
"2 or more copies",0.8424,1,1,1,0.5273,NA,NA,NA,NA
"3 or more copies",0.7879,1,1,1,0.3636,NA,NA,NA,NA
"4 or more copies",0.7394,1,1,1,0.2182,NA,NA,NA,NA
"5 or more copies",0.6909,1,1,0.9697,0.1091,NA,NA,NA,NA
"6 or more copies",0.6727,1,1,0.9394,0.0909,NA,NA,NA,NA
"7 or more copies",0.6424,1,1,0.8939,0.0545,NA,NA,NA,NA
"8 or more copies",0.6364,1,1,0.8939,0.0364,NA,NA,NA,NA
"9 or more copies",0.6061,1,1,0.8333,0.0182,NA,NA,NA,NA
"10 or more copies",0.5939,1,1,0.8182,0,NA,NA,NA,NA
