"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","87.6%","97.1%","97.5%","95.4%","71.9%","NA%","NA%","NA%","NA%"
"2 or more copies","74.2%","94.3%","92.5%","90.9%","40.6%","NA%","NA%","NA%","NA%"
"3 or more copies","70.8%","94.3%","92.5%","86.4%","34.4%","NA%","NA%","NA%","NA%"
"4 or more copies","70.8%","94.3%","92.5%","86.4%","34.4%","NA%","NA%","NA%","NA%"
"5 or more copies","70.8%","94.3%","92.5%","86.4%","34.4%","NA%","NA%","NA%","NA%"
"6 or more copies","70.8%","94.3%","92.5%","86.4%","34.4%","NA%","NA%","NA%","NA%"
"7 or more copies","64%","91.4%","90%","81.8%","21.9%","NA%","NA%","NA%","NA%"
"8 or more copies","60.7%","91.4%","90%","81.8%","12.5%","NA%","NA%","NA%","NA%"
"9 or more copies","58.4%","91.4%","90%","81.8%","6.25%","NA%","NA%","NA%","NA%"
"10 or more copies","57.3%","91.4%","90%","81.8%","3.12%","NA%","NA%","NA%","NA%"
