"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","88.4%","96.8%","97.6%","87.5%","71.4%","NA%","NA%","NA%","NA%"
"2 or more copies","85.5%","90.3%","92.7%","87.5%","71.4%","NA%","NA%","NA%","NA%"
"3 or more copies","81.2%","90.3%","90.2%","79.2%","64.3%","NA%","NA%","NA%","NA%"
"4 or more copies","81.2%","90.3%","90.2%","79.2%","64.3%","NA%","NA%","NA%","NA%"
"5 or more copies","81.2%","90.3%","90.2%","79.2%","64.3%","NA%","NA%","NA%","NA%"
"6 or more copies","81.2%","90.3%","90.2%","79.2%","64.3%","NA%","NA%","NA%","NA%"
"7 or more copies","75.4%","87.1%","85.4%","70.8%","57.1%","NA%","NA%","NA%","NA%"
"8 or more copies","71%","87.1%","85.4%","70.8%","35.7%","NA%","NA%","NA%","NA%"
"9 or more copies","69.6%","87.1%","85.4%","66.7%","35.7%","NA%","NA%","NA%","NA%"
"10 or more copies","69.6%","87.1%","85.4%","66.7%","35.7%","NA%","NA%","NA%","NA%"
