"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",74,30,33,19,25,NA,NA,NA,NA
"2 or more copies",69,28,31,17,24,NA,NA,NA,NA
"3 or more copies",68,27,30,17,24,NA,NA,NA,NA
"4 or more copies",64,26,29,16,22,NA,NA,NA,NA
"5 or more copies",61,25,27,14,22,NA,NA,NA,NA
"6 or more copies",60,24,26,14,22,NA,NA,NA,NA
"7 or more copies",60,24,26,14,22,NA,NA,NA,NA
"8 or more copies",59,24,26,14,21,NA,NA,NA,NA
"9 or more copies",59,24,26,14,21,NA,NA,NA,NA
"10 or more copies",58,24,26,14,20,NA,NA,NA,NA
