"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",63,31,40,20,12,NA,NA,NA,NA
"2 or more copies",60,29,38,20,11,NA,NA,NA,NA
"3 or more copies",57,29,37,18,10,NA,NA,NA,NA
"4 or more copies",57,29,37,18,10,NA,NA,NA,NA
"5 or more copies",57,29,37,18,10,NA,NA,NA,NA
"6 or more copies",57,29,37,18,10,NA,NA,NA,NA
"7 or more copies",53,28,35,16,9,NA,NA,NA,NA
"8 or more copies",50,28,35,16,6,NA,NA,NA,NA
"9 or more copies",49,28,35,15,6,NA,NA,NA,NA
"10 or more copies",49,28,35,15,6,NA,NA,NA,NA
