"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",63,30,40,21,12,NA,NA,NA,NA
"2 or more copies",60,28,38,21,11,NA,NA,NA,NA
"3 or more copies",57,28,37,19,10,NA,NA,NA,NA
"4 or more copies",57,28,37,19,10,NA,NA,NA,NA
"5 or more copies",57,28,37,19,10,NA,NA,NA,NA
"6 or more copies",57,28,37,19,10,NA,NA,NA,NA
"7 or more copies",53,27,35,17,9,NA,NA,NA,NA
"8 or more copies",50,27,35,17,6,NA,NA,NA,NA
"9 or more copies",49,27,35,16,6,NA,NA,NA,NA
"10 or more copies",49,27,35,16,6,NA,NA,NA,NA
