"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","100% (75)","100% (32)","100% (41)","100% (23)","100% (20)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","85.3% (64)","87.5% (28)","90.2% (37)","91.3% (21)","75% (15)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","81.3% (61)","87.5% (28)","90.2% (37)","82.6% (19)","70% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","81.3% (61)","87.5% (28)","90.2% (37)","82.6% (19)","70% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","81.3% (61)","87.5% (28)","90.2% (37)","82.6% (19)","70% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","81.3% (61)","87.5% (28)","90.2% (37)","82.6% (19)","70% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","73.3% (55)","81.2% (26)","82.9% (34)","69.6% (16)","65% (13)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","70.7% (53)","81.2% (26)","82.9% (34)","69.6% (16)","55% (11)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","68% (51)","81.2% (26)","82.9% (34)","69.6% (16)","45% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","68% (51)","81.2% (26)","82.9% (34)","69.6% (16)","45% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
