"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.84,0.9375,0.9273,0.7647,0.5,NA,NA,NA,NA
"2 or more copies",0.8,0.8958,0.8909,0.7647,0.4,NA,NA,NA,NA
"3 or more copies",0.76,0.875,0.8545,0.6471,0.4,NA,NA,NA,NA
"4 or more copies",0.76,0.875,0.8545,0.6471,0.4,NA,NA,NA,NA
"5 or more copies",0.76,0.875,0.8545,0.6471,0.4,NA,NA,NA,NA
"6 or more copies",0.76,0.875,0.8545,0.6471,0.4,NA,NA,NA,NA
"7 or more copies",0.7067,0.8333,0.8,0.5294,0.4,NA,NA,NA,NA
"8 or more copies",0.6667,0.8333,0.8,0.4706,0.2,NA,NA,NA,NA
"9 or more copies",0.6533,0.8333,0.7818,0.4118,0.2,NA,NA,NA,NA
"10 or more copies",0.6533,0.8333,0.7818,0.4118,0.2,NA,NA,NA,NA
