"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.9178,0.9714,0.975,0.9545,0.75,NA,NA,NA,NA
"2 or more copies",0.8904,0.9429,0.925,0.9091,0.75,NA,NA,NA,NA
"3 or more copies",0.863,0.9429,0.925,0.8636,0.6875,NA,NA,NA,NA
"4 or more copies",0.863,0.9429,0.925,0.8636,0.6875,NA,NA,NA,NA
"5 or more copies",0.863,0.9429,0.925,0.8636,0.6875,NA,NA,NA,NA
"6 or more copies",0.863,0.9429,0.925,0.8636,0.6875,NA,NA,NA,NA
"7 or more copies",0.7808,0.9143,0.9,0.8182,0.4375,NA,NA,NA,NA
"8 or more copies",0.7397,0.9143,0.9,0.8182,0.25,NA,NA,NA,NA
"9 or more copies",0.7123,0.9143,0.9,0.8182,0.125,NA,NA,NA,NA
"10 or more copies",0.6986,0.9143,0.9,0.8182,0.0625,NA,NA,NA,NA
