"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.817647058823529,0.704545454545455,0.736111111111111,0.885714285714286,0.767857142857143,0,0,0,0
"2 or more copies",0.788235294117647,0.659090909090909,0.694444444444444,0.857142857142857,0.714285714285714,0,0,0,0
"3 or more copies",0.776470588235294,0.636363636363636,0.666666666666667,0.828571428571429,0.714285714285714,0,0,0,0
"4 or more copies",0.752941176470588,0.636363636363636,0.625,0.771428571428571,0.714285714285714,0,0,0,0
"5 or more copies",0.741176470588235,0.636363636363636,0.625,0.757142857142857,0.714285714285714,0,0,0,0
"6 or more copies",0.717647058823529,0.613636363636364,0.611111111111111,0.728571428571429,0.660714285714286,0,0,0,0
"7 or more copies",0.676470588235294,0.613636363636364,0.597222222222222,0.7,0.589285714285714,0,0,0,0
"8 or more copies",0.664705882352941,0.613636363636364,0.597222222222222,0.7,0.553571428571429,0,0,0,0
"9 or more copies",0.652941176470588,0.613636363636364,0.597222222222222,0.685714285714286,0.535714285714286,0,0,0,0
"10 or more copies",0.647058823529412,0.613636363636364,0.597222222222222,0.642857142857143,0.535714285714286,0,0,0,0
