"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","86.5% (74)","100% (32)","100% (41)","88% (23)","61.1% (19)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","85.1% (69)","100% (32)","100% (41)","88% (23)","55.6% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","81.1% (68)","100% (32)","100% (41)","84% (23)","44.4% (13)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","81.1% (64)","100% (32)","100% (41)","84% (23)","44.4% (9)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","81.1% (62)","100% (32)","100% (41)","84% (23)","44.4% (7)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","81.1% (61)","100% (32)","100% (41)","84% (23)","44.4% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","77% (61)","100% (32)","97.6% (41)","76% (23)","38.9% (6)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","73% (60)","100% (32)","97.6% (41)","76% (23)","22.2% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","70.3% (59)","100% (32)","97.6% (41)","72% (23)","16.7% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","68.9% (59)","100% (32)","97.6% (41)","72% (23)","11.1% (4)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
