"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",68,32,42,24,12,NA,NA,NA,NA
"2 or more copies",68,32,42,24,12,NA,NA,NA,NA
"3 or more copies",68,32,42,24,12,NA,NA,NA,NA
"4 or more copies",64,32,42,24,8,NA,NA,NA,NA
"5 or more copies",63,32,42,24,7,NA,NA,NA,NA
"6 or more copies",62,32,42,24,6,NA,NA,NA,NA
"7 or more copies",61,32,42,24,5,NA,NA,NA,NA
"8 or more copies",60,32,42,24,4,NA,NA,NA,NA
"9 or more copies",60,32,42,24,4,NA,NA,NA,NA
"10 or more copies",60,32,42,24,4,NA,NA,NA,NA
