"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",64,32,41,21,11,NA,NA,NA,NA
"2 or more copies",63,32,41,21,10,NA,NA,NA,NA
"3 or more copies",60,32,41,20,8,NA,NA,NA,NA
"4 or more copies",60,32,41,20,8,NA,NA,NA,NA
"5 or more copies",60,32,41,20,8,NA,NA,NA,NA
"6 or more copies",60,32,41,20,8,NA,NA,NA,NA
"7 or more copies",57,32,40,18,7,NA,NA,NA,NA
"8 or more copies",54,32,40,18,4,NA,NA,NA,NA
"9 or more copies",52,32,40,17,3,NA,NA,NA,NA
"10 or more copies",51,32,40,17,2,NA,NA,NA,NA
