"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","100% (74)","100% (31)","100% (41)","100% (24)","100% (18)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","85.1% (63)","80.6% (25)","85.4% (35)","91.7% (22)","83.3% (15)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","81.1% (60)","77.4% (24)","82.9% (34)","87.5% (21)","77.8% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","81.1% (60)","77.4% (24)","82.9% (34)","87.5% (21)","77.8% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","81.1% (60)","77.4% (24)","82.9% (34)","87.5% (21)","77.8% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","81.1% (60)","77.4% (24)","82.9% (34)","87.5% (21)","77.8% (14)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","73% (54)","74.2% (23)","75.6% (31)","75% (18)","72.2% (13)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","70.3% (52)","74.2% (23)","75.6% (31)","75% (18)","61.1% (11)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","67.6% (50)","71% (22)","73.2% (30)","75% (18)","55.6% (10)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","67.6% (50)","71% (22)","73.2% (30)","75% (18)","55.6% (10)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
