"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.8649,1,1,0.913,0.5789,NA,NA,NA,NA
"2 or more copies",0.8514,1,1,0.913,0.5263,NA,NA,NA,NA
"3 or more copies",0.8108,1,1,0.8696,0.4211,NA,NA,NA,NA
"4 or more copies",0.8108,1,1,0.8696,0.4211,NA,NA,NA,NA
"5 or more copies",0.8108,1,1,0.8696,0.4211,NA,NA,NA,NA
"6 or more copies",0.8108,1,1,0.8696,0.4211,NA,NA,NA,NA
"7 or more copies",0.7703,1,0.9762,0.7826,0.3684,NA,NA,NA,NA
"8 or more copies",0.7297,1,0.9762,0.7826,0.2105,NA,NA,NA,NA
"9 or more copies",0.7027,1,0.9762,0.7391,0.1579,NA,NA,NA,NA
"10 or more copies",0.6892,1,0.9762,0.7391,0.1053,NA,NA,NA,NA
