"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.9118,1,1,0.913,0.6923,NA,NA,NA,NA
"2 or more copies",0.9118,1,1,0.913,0.6923,NA,NA,NA,NA
"3 or more copies",0.8676,1,1,0.8696,0.5385,NA,NA,NA,NA
"4 or more copies",0.8676,1,1,0.8696,0.5385,NA,NA,NA,NA
"5 or more copies",0.8676,1,1,0.8696,0.5385,NA,NA,NA,NA
"6 or more copies",0.8676,1,1,0.8696,0.5385,NA,NA,NA,NA
"7 or more copies",0.8235,1,0.9756,0.7826,0.4615,NA,NA,NA,NA
"8 or more copies",0.7794,1,0.9756,0.7826,0.2308,NA,NA,NA,NA
"9 or more copies",0.75,1,0.9756,0.7391,0.1538,NA,NA,NA,NA
"10 or more copies",0.7353,1,0.9756,0.7391,0.0769,NA,NA,NA,NA
