"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies","89.2% (58)","100% (32)","100% (36)","90.5% (19)","58.3% (7)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"2 or more copies","89.2% (58)","100% (32)","100% (36)","90.5% (19)","58.3% (7)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"3 or more copies","84.6% (55)","100% (32)","100% (36)","85.7% (18)","41.7% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"4 or more copies","84.6% (55)","100% (32)","100% (36)","85.7% (18)","41.7% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"5 or more copies","84.6% (55)","100% (32)","100% (36)","85.7% (18)","41.7% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"6 or more copies","84.6% (55)","100% (32)","100% (36)","85.7% (18)","41.7% (5)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"7 or more copies","80% (52)","100% (32)","100% (36)","81% (17)","25% (3)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"8 or more copies","78.5% (51)","100% (32)","100% (36)","81% (17)","16.7% (2)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"9 or more copies","76.9% (50)","100% (32)","100% (36)","81% (17)","8.33% (1)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
"10 or more copies","75.4% (49)","100% (32)","100% (36)","76.2% (16)","8.33% (1)","NA% (NA)","NA% (NA)","NA% (NA)","NA% (NA)"
