"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",56,32,36,21,3,NA,NA,NA,NA
"2 or more copies",56,32,36,21,3,NA,NA,NA,NA
"3 or more copies",56,32,36,21,3,NA,NA,NA,NA
"4 or more copies",53,32,36,21,0,NA,NA,NA,NA
"5 or more copies",52,32,36,20,0,NA,NA,NA,NA
"6 or more copies",52,32,36,20,0,NA,NA,NA,NA
"7 or more copies",50,32,36,18,0,NA,NA,NA,NA
"8 or more copies",48,32,36,16,0,NA,NA,NA,NA
"9 or more copies",47,32,36,15,0,NA,NA,NA,NA
"10 or more copies",46,32,36,14,0,NA,NA,NA,NA
