"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",45,23,30,21,1,NA,NA,NA,NA
"2 or more copies",41,22,28,19,0,NA,NA,NA,NA
"3 or more copies",39,22,28,17,0,NA,NA,NA,NA
"4 or more copies",36,20,25,16,0,NA,NA,NA,NA
"5 or more copies",36,20,25,16,0,NA,NA,NA,NA
"6 or more copies",36,20,25,16,0,NA,NA,NA,NA
"7 or more copies",34,18,23,16,0,NA,NA,NA,NA
"8 or more copies",32,16,21,16,0,NA,NA,NA,NA
"9 or more copies",31,16,21,15,0,NA,NA,NA,NA
"10 or more copies",30,15,20,15,0,NA,NA,NA,NA
