Ind1,Ind2,Pop,Dist,Rel_Coeff
QAc-G-0029,QAc-G-0029,1,inbreeding coef,0.138495
QAc-G-0029,QAc-G-0030,1,-1,0.212806
QAc-G-0029,QAc-G-0031,1,-1,0.193875
QAc-G-0029,QAc-G-0061,1,-1,0.154194
QAc-G-0029,QAc-G-0062,1,-1,-0.058159
QAc-G-0029,QAc-G-0063,1,-1,0.002911
QAc-G-0029,QAc-G-0064,1,-1,-0.122387
QAc-G-0029,QAc-G-0065,1,-1,-0.051915
QAc-G-0029,QAc-G-0066,1,-1,-0.085029
QAc-G-0029,QAc-G-0067,1,-1,-0.077512
QAc-G-0029,QAc-G-0068,1,-1,-0.062774
QAc-G-0029,QAc-G-0070,1,-1,0.003777
QAc-G-0029,QAc-G-0071,1,-1,-0.06355
QAc-G-0029,QAc-G-0072,1,-1,0.031089
QAc-G-0029,QAc-G-0073,1,-1,0.075497
QAc-G-0029,QAc-G-0074,1,-1,-0.118777
QAc-G-0029,QAc-G-0075,1,-1,-0.039372
QAc-G-0029,QAc-G-0076,1,-1,0.033274
QAc-G-0029,QAc-G-0077,1,-1,0.204515
QAc-G-0029,QAc-G-0078,1,-1,0.251853
QAc-G-0029,QAc-G-0079,1,-1,0.165434
QAc-G-0029,QAc-G-0080,1,-1,-0.041158
QAc-G-0029,QAc-G-0081,1,-1,0.060717
QAc-G-0029,QAc-G-0082,1,-1,0.033499
QAc-G-0029,QAc-G-0083,1,-1,-0.065562
QAc-G-0029,QAc-G-0001,1,-1,0.21954
QAc-G-0029,QAc-G-0002,1,-1,0.299342
QAc-G-0029,QAc-G-0285,1,-1,0.012322
QAc-G-0029,QAc-G-0286,1,-1,-0.113241
QAc-G-0029,QAc-G-0287,1,-1,0.020987
QAc-G-0029,QAc-G-0288,1,-1,0.159384
QAc-G-0029,QAc-G-0289,1,-1,0.01265
QAc-G-0029,QAc-G-0290,1,-1,0.029547
QAc-G-0029,QAc-G-0291,1,-1,0.037707
QAc-G-0029,QAc-G-0292,1,-1,-0.046546
QAc-G-0029,QAc-G-0293,1,-1,-0.028282
QAc-G-0029,QAc-G-0294,1,-1,0.10866
QAc-G-0029,QAc-G-0295,1,-1,0.097909
QAc-G-0029,QAc-G-0296,1,-1,-0.163707
QAc-G-0029,QAc-G-0297,1,-1,-0.04521
QAc-G-0029,QAc-G-0298,1,-1,0.045375
QAc-G-0029,QAc-G-0299,1,-1,-0.034864
QAc-G-0029,QAc-G-0300,1,-1,-0.016934
QAc-G-0029,QAc-G-0301,1,-1,0.018309
QAc-G-0029,QAc-G-0302,1,-1,0.00738
QAc-G-0029,QAc-G-0303,1,-1,0.018057
QAc-G-0029,QAc-G-0304,1,-1,-0.014254
QAc-G-0029,QAc-G-0305,1,-1,-0.093297
QAc-G-0029,QAc-G-0306,1,-1,-0.109061
QAc-G-0029,QAc-G-0307,1,-1,0.047917
QAc-G-0029,QAc-G-0308,1,-1,0.01587
QAc-G-0029,QAc-G-0309,1,-1,0.277256
QAc-G-0029,QAc-G-0310,1,-1,0.261106
QAc-G-0029,QAc-G-0311,1,-1,0.039035
QAc-G-0029,QAc-G-0312,1,-1,0.052398
QAc-G-0029,QAc-G-0313,1,-1,0.033099
QAc-G-0029,QAc-G-0314,1,-1,0.059652
QAc-G-0029,QAc-G-0315,1,-1,-0.057975
QAc-G-0029,QAc-G-0316,1,-1,0.017676
QAc-G-0029,QAc-G-0032,1,-1,-0.064813
QAc-G-0029,QAc-G-0033,1,-1,-0.011288
QAc-G-0029,QAc-G-0034,1,-1,0.145165
QAc-G-0029,QAc-G-0035,1,-1,-0.038892
QAc-G-0029,QAc-G-0036,1,-1,-0.02824
QAc-G-0029,QAc-G-0037,1,-1,0.025504
QAc-G-0029,QAc-G-0038,1,-1,-0.133119
QAc-G-0029,QAc-G-0039,1,-1,0.158879
QAc-G-0029,QAc-G-0040,1,-1,-0.084393
QAc-G-0029,QAc-G-0041,1,-1,-0.03312
QAc-G-0029,QAc-G-0042,1,-1,-0.154271
QAc-G-0029,QAc-G-0043,1,-1,0.070507
QAc-G-0029,QAc-G-0044,1,-1,-0.126382
QAc-G-0029,QAc-G-0045,1,-1,-0.066061
QAc-G-0029,QAc-G-0046,1,-1,0.172124
QAc-G-0029,QAc-G-0047,1,-1,0.09609
QAc-G-0029,QAc-G-0048,1,-1,0.113098
QAc-G-0029,QAc-G-0049,1,-1,0.25423
QAc-G-0029,QAc-G-0050,1,-1,0.121462
QAc-G-0029,QAc-G-0051,1,-1,0.153711
QAc-G-0029,QAc-G-0052,1,-1,0.009439
QAc-G-0029,QAc-G-0053,1,-1,0.247187
QAc-G-0029,QAc-G-0054,1,-1,-0.028924
QAc-G-0029,QAc-G-0055,1,-1,0.016723
QAc-G-0029,QAc-G-0056,1,-1,0.019976
QAc-G-0029,QAc-G-0057,1,-1,0.171328
QAc-G-0029,QAc-G-0058,1,-1,0.188689
QAc-G-0029,QAc-G-0059,1,-1,0.037417
QAc-G-0029,QAc-G-0060,1,-1,0.066026
QAc-G-0029,QAc-G-0276,1,-1,-0.08128
QAc-G-0029,QAc-G-0279,1,-1,0.030302
QAc-G-0029,QAc-G-0280,1,-1,0.005101
QAc-G-0029,QAc-G-0281,1,-1,0.074897
QAc-G-0029,QAc-G-0018,1,-1,-0.010972
QAc-G-0029,QAc-G-0019,1,-1,-0.024169
QAc-G-0029,QAc-G-0020,1,-1,0.063065
QAc-G-0029,QAc-G-0021,1,-1,0.021065
QAc-G-0029,QAc-G-0022,1,-1,0.032499
QAc-G-0029,QAc-G-0023,1,-1,0.04107
QAc-G-0029,QAc-G-0024,1,-1,0.275093
QAc-G-0029,QAc-G-0016,1,-1,-0.123441
QAc-G-0029,QAc-G-0017,1,-1,-0.06224
QAc-G-0029,QAc-G-0250,1,-1,-0.146671
