Ind1,Ind2,Pop,Dist,Rel_Coeff
QAc-W-0001,QAc-W-0001,1,inbreeding coef,-0.135682
QAc-W-0001,QAc-W-0002,1,-1,0.025283
QAc-W-0001,QAc-W-0003,1,-1,0.032998
QAc-W-0001,QAc-W-0004,1,-1,0.13671
QAc-W-0001,QAc-W-0005,1,-1,0.09607
QAc-W-0001,QAc-W-0006,1,-1,-0.010402
QAc-W-0001,QAc-W-0007,1,-1,0.040037
QAc-W-0001,QAc-W-0008,1,-1,-0.028131
QAc-W-0001,QAc-W-0009,1,-1,-0.083966
QAc-W-0001,QAc-W-0010,1,-1,0.005385
QAc-W-0001,QAc-W-0011,1,-1,-0.0691
QAc-W-0001,QAc-W-0012,1,-1,-0.037151
QAc-W-0001,QAc-W-0013,1,-1,-0.085112
QAc-W-0001,QAc-W-0014,1,-1,0.106769
QAc-W-0001,QAc-W-0015,1,-1,0.040225
QAc-W-0001,QAc-W-0016,1,-1,0.034837
QAc-W-0001,QAc-W-0017,1,-1,-0.114864
QAc-W-0001,QAc-W-0018,1,-1,0.096858
QAc-W-0001,QAc-W-0019,1,-1,-0.058944
QAc-W-0001,QAc-W-0020,1,-1,0.058095
QAc-W-0001,QAc-W-0021,1,-1,0.05115
QAc-W-0001,QAc-W-0022,1,-1,-0.039309
QAc-W-0001,QAc-W-0023,1,-1,0.13237
QAc-W-0001,QAc-W-0024,1,-1,0.018337
QAc-W-0001,QAc-W-0025,1,-1,-0.099866
QAc-W-0001,QAc-W-0026,1,-1,-0.026564
QAc-W-0001,QAc-W-0027,1,-1,0.022017
QAc-W-0001,QAc-W-0028,1,-1,0.089237
QAc-W-0001,QAc-W-0029,1,-1,-0.007229
QAc-W-0001,QAc-W-0030,1,-1,-0.084492
QAc-W-0001,QAc-W-0031,1,-1,0.059109
QAc-W-0001,QAc-W-0032,1,-1,0.08674
QAc-W-0001,QAc-W-0033,1,-1,0.011392
QAc-W-0001,QAc-W-0034,1,-1,-0.08483
QAc-W-0001,QAc-W-0035,1,-1,-0.026977
QAc-W-0001,QAc-W-0036,1,-1,-0.099997
QAc-W-0001,QAc-W-0037,1,-1,-0.040811
QAc-W-0001,QAc-W-0038,1,-1,-0.030093
QAc-W-0001,QAc-W-0039,1,-1,-0.055303
QAc-W-0001,QAc-W-0040,1,-1,0.094324
QAc-W-0001,QAc-W-0041,1,-1,-0.050797
QAc-W-0002,QAc-W-0002,2,inbreeding coef,-0.183173
QAc-W-0002,QAc-W-0003,2,-1,-0.021533
QAc-W-0002,QAc-W-0004,2,-1,-0.010176
QAc-W-0002,QAc-W-0005,2,-1,-0.050816
QAc-W-0002,QAc-W-0006,2,-1,-0.064932
QAc-W-0002,QAc-W-0007,2,-1,-0.112999
QAc-W-0002,QAc-W-0008,2,-1,-0.01718
