Ind1,Ind2,Pop,Dist,Rel_Coeff
QAc-W-0001,QAc-W-0001,1,inbreeding coef,-0.016702
QAc-W-0001,QAc-W-0002,1,-1,0.106687
QAc-W-0001,QAc-W-0003,1,-1,0.155846
QAc-W-0001,QAc-W-0004,1,-1,0.248175
QAc-W-0001,QAc-W-0005,1,-1,0.207766
QAc-W-0001,QAc-W-0006,1,-1,0.114606
QAc-W-0001,QAc-W-0007,1,-1,0.135992
QAc-W-0001,QAc-W-0008,1,-1,0.08683
QAc-W-0001,QAc-W-0009,1,-1,-0.018455
QAc-W-0001,QAc-W-0010,1,-1,0.078731
QAc-W-0001,QAc-W-0011,1,-1,0.022192
QAc-W-0001,QAc-W-0012,1,-1,0.062543
QAc-W-0001,QAc-W-0013,1,-1,-0.011257
QAc-W-0001,QAc-W-0014,1,-1,0.186003
QAc-W-0001,QAc-W-0015,1,-1,0.066926
QAc-W-0001,QAc-W-0016,1,-1,0.075336
QAc-W-0001,QAc-W-0017,1,-1,-0.080092
QAc-W-0001,QAc-W-0018,1,-1,0.137404
QAc-W-0001,QAc-W-0019,1,-1,0.05951
QAc-W-0001,QAc-W-0020,1,-1,0.136695
QAc-W-0001,QAc-W-0021,1,-1,0.119662
QAc-W-0001,QAc-W-0022,1,-1,-0.010745
QAc-W-0001,QAc-W-0023,1,-1,0.221639
QAc-W-0001,QAc-W-0024,1,-1,0.056832
QAc-W-0001,QAc-W-0025,1,-1,0.013472
QAc-W-0001,QAc-W-0026,1,-1,0.036696
QAc-W-0001,QAc-W-0027,1,-1,0.099193
QAc-W-0001,QAc-W-0028,1,-1,0.175033
QAc-W-0001,QAc-W-0029,1,-1,0.123516
QAc-W-0001,QAc-W-0030,1,-1,0.008907
QAc-W-0001,QAc-W-0031,1,-1,0.181529
QAc-W-0001,QAc-W-0032,1,-1,0.19353
QAc-W-0001,QAc-W-0033,1,-1,0.061565
QAc-W-0001,QAc-W-0034,1,-1,0.035778
QAc-W-0001,QAc-W-0035,1,-1,0.018302
QAc-W-0001,QAc-W-0036,1,-1,0.001476
