Ind1,Ind2,Pop,Dist,Rel_Coeff
TMA-ZAIN-G-1,TMA-ZAIN-G-1,1,inbreeding coef,0.262308
TMA-ZAIN-G-1,TMA-ZAIN-G-2,1,-1,0.032833
TMA-ZAIN-G-1,TMA-ZAIN-G-3,1,-1,0.03203
TMA-ZAIN-G-1,TMA-ZAIN-G-4,1,-1,-0.003909
TMA-ZAIN-G-1,TMA-ZAIN-G-5,1,-1,0.258766
TMA-ZAIN-G-1,TMA-ZAIN-G-6,1,-1,0.107067
TMA-ZAIN-G-1,TMA-ZAIN-G-7,1,-1,-0.009749
TMA-ZAIN-G-1,TMA-ZAIN-G-8,1,-1,0.127392
TMA-ZAIN-G-1,TMA-ZAIN-G-9,1,-1,-0.053236
TMA-ZAIN-G-1,TMA-ZAIN-G-10,1,-1,-0.209866
TMA-ZAIN-G-1,TMA-ZAIN-G-11,1,-1,-0.042059
TMA-ZAIN-G-1,TMA-ZAIN-G-12,1,-1,-0.150657
TMA-ZAIN-G-1,TMA-ZAIN-G-13,1,-1,-0.069481
TMA-ZAIN-G-1,TMA-ZAIN-G-14,1,-1,0.121936
TMA-ZAIN-G-1,TMA-ZAIN-G-15,1,-1,0.287416
TMA-ZAIN-G-1,TMA-ZAIN-G-16,1,-1,-0.188602
TMA-ZAIN-G-1,TMA-ZAIN-G-17,1,-1,0.046718
TMA-ZAIN-G-1,TMA-ZAIN-G-18,1,-1,0.297987
TMA-ZAIN-G-1,TMA-ZAIN-G-19,1,-1,0.076481
TMA-ZAIN-G-1,TMA-ZAIN-G-20,1,-1,0.071754
TMA-ZAIN-G-1,TMA-ZAIN-G-21,1,-1,-0.182208
TMA-ZAIN-G-1,TMA-ZAIN-G-22,1,-1,0.159143
TMA-ZAIN-G-1,TMA-ZAIN-G-23,1,-1,0.064373
TMA-ZAIN-G-1,TMA-ZAIN-G-24,1,-1,-0.118738
TMA-ZAIN-G-1,TMA-ZAIN-G-25,1,-1,0.314561
TMA-ZAIN-G-1,TMA-ZAIN-G-26,1,-1,-0.131354
TMA-ZAIN-G-1,TMA-ZAIN-G-27,1,-1,0.027872
TMA-ZAIN-G-1,TMA-ZAIN-G-28,1,-1,0.259595
TMA-ZAIN-G-1,TMA-ZAIN-G-29,1,-1,0.041139
TMA-ZAIN-G-1,TMA-ZAIN-G-30,1,-1,-0.116697
TMA-ZAIN-G-1,TMA-ZAIN-G-31,1,-1,0.208113
TMA-ZAIN-G-1,TMA-ZAIN-G-32,1,-1,0.019161
TMA-ZAIN-G-1,TMA-ZAIN-G-33,1,-1,0.062798
TMA-ZAIN-G-1,TMA-ZAIN-G-34,1,-1,0.112355
TMA-ZAIN-G-1,TMA-ZAIN-G-35,1,-1,0.147431
TMA-ZAIN-G-1,TMA-ZAIN-G-36,1,-1,0.008615
TMA-ZAIN-G-1,TMA-ZAIN-G-37,1,-1,0.126831
TMA-ZAIN-G-1,TMA-ZAIN-G-38,1,-1,0.42715
TMA-ZAIN-G-1,TMA-ZAIN-G-39,1,-1,-0.111496
TMA-ZAIN-G-1,TMA-ZAIN-G-40,1,-1,-0.057689
TMA-ZAIN-G-1,TMA-ZAIN-G-41,1,-1,0.014495
TMA-ZAIN-G-1,TMA-ZAIN-G-42,1,-1,0.088603
TMA-ZAIN-G-1,TMA-ZAIN-G-43,1,-1,0.175512
TMA-ZAIN-G-1,TMA-ZAIN-G-44,1,-1,-0.068835
TMA-ZAIN-G-1,TMA-ZAIN-G-45,1,-1,-0.019215
TMA-ZAIN-G-1,TMA-ZAIN-G-46,1,-1,-0.087042
TMA-ZAIN-G-1,TMA-ZAIN-G-47,1,-1,0.071871
TMA-ZAIN-G-1,TMA-ZAIN-G-48,1,-1,-0.159855
TMA-ZAIN-G-1,TMA-ZAIN-G-49,1,-1,0.039127
TMA-ZAIN-G-1,TMA-ZAIN-G-50,1,-1,0.04366
TMA-ZAIN-G-1,TMA-ZAIN-G-51,1,-1,-0.005016
TMA-ZAIN-G-1,TMA-ZAIN-G-52,1,-1,-0.066545
TMA-ZAIN-G-1,TMA-ZAIN-G-53,1,-1,0.17738
TMA-ZAIN-G-1,TMA-ZAIN-G-54,1,-1,0.063072
TMA-ZAIN-G-1,TMA-ZAIN-G-55,1,-1,-0.030018
TMA-ZAIN-G-1,TMA-ZAIN-G-56,1,-1,-0.23663
TMA-ZAIN-G-1,TMA-ZAIN-G-57,1,-1,0.112542
TMA-ZAIN-G-1,TMA-ZAIN-G-58,1,-1,0.13621
TMA-ZAIN-G-1,TMA-ZAIN-G-59,1,-1,-0.120707
TMA-ZAIN-G-1,TMA-ZAIN-G-60,1,-1,0.16006
TMA-ZAIN-G-1,TMA-ZAIN-G-61,1,-1,0.194443
TMA-ZAIN-G-1,TMA-ZAIN-G-62,1,-1,0.486861
TMA-ZAIN-G-1,TMA-ZAIN-G-63,1,-1,0.180386
TMA-ZAIN-G-1,TMA-ZAIN-G-64,1,-1,-0.154023
TMA-ZAIN-G-1,TMA-ZAIN-G-65,1,-1,-0.070225
TMA-ZAIN-G-1,TMA-ZAIN-G-66,1,-1,-0.145035
TMA-ZAIN-G-1,TMA-ZAIN-G-67,1,-1,-0.092225
TMA-ZAIN-G-1,TMA-ZAIN-G-68,1,-1,-0.10849
TMA-ZAIN-G-1,TMA-ZAIN-G-69,1,-1,0.021905
TMA-ZAIN-G-1,TMA-ZAIN-G-70,1,-1,-0.066212
TMA-ZAIN-G-1,TMA-ZAIN-G-71,1,-1,-0.136249
TMA-ZAIN-G-1,TMA-ZAIN-G-72,1,-1,-0.10038
TMA-ZAIN-G-1,TMA-ZAIN-G-73,1,-1,-0.201366
TMA-ZAIN-G-1,TMA-ZAIN-G-74,1,-1,0.000719
TMA-ZAIN-G-1,TMA-ZAIN-G-75,1,-1,-0.041374
TMA-ZAIN-G-1,TMA-ZAIN-G-76,1,-1,-0.024434
TMA-ZAIN-G-1,TMA-ZAIN-G-77,1,-1,-0.261189
TMA-ZAIN-G-1,TMA-ZAIN-G-78,1,-1,-0.068042
TMA-ZAIN-G-1,TMA-ZAIN-G-79,1,-1,-0.203969
TMA-ZAIN-G-1,TMA-ZAIN-G-80,1,-1,-0.094805
TMA-ZAIN-G-1,TMA-ZAIN-G-81,1,-1,-0.155626
TMA-ZAIN-G-1,TMA-ZAIN-G-82,1,-1,0.019861
TMA-ZAIN-G-1,TMA-ZAIN-G-83,1,-1,-0.11288
TMA-ZAIN-G-1,TMA-ZAIN-G-84,1,-1,-0.138414
TMA-ZAIN-G-1,TMA-ZAIN-G-85,1,-1,-0.036026
TMA-ZAIN-G-1,TMA-ZAIN-G-86,1,-1,-0.093563
TMA-ZAIN-G-1,TMA-ZAIN-G-87,1,-1,-0.072418
TMA-ZAIN-G-1,TMA-ZAIN-G-88,1,-1,0.006837
TMA-ZAIN-G-1,TMA-ZAIN-G-89,1,-1,0.117099
TMA-ZAIN-G-1,TMA-ZAIN-G-90,1,-1,-0.032114
TMA-ZAIN-G-1,TMA-ZAIN-G-91,1,-1,0.061907
TMA-ZAIN-G-1,TMA-ZAIN-G-92,1,-1,0.08979
TMA-ZAIN-G-1,TMA-ZAIN-G-93,1,-1,0.138789
TMA-ZAIN-G-1,TMA-ZAIN-G-94,1,-1,0.105072
TMA-ZAIN-G-1,TMA-ZAIN-G-95,1,-1,0.08437
TMA-ZAIN-G-1,TMA-ZAIN-G-96,1,-1,0.153416
TMA-ZAIN-G-1,TMA-ZAIN-G-97,1,-1,0.29267
TMA-ZAIN-G-1,TMA-ZAIN-G-98,1,-1,0.220211
TMA-ZAIN-G-1,TMA-ZAIN-G-99,1,-1,0.103694
TMA-ZAIN-G-1,TMA-ZAIN-G-101,1,-1,0.036438
