Ind1,Ind2,Pop,Dist,Rel_Coeff
TMA-ZAIN-G-1,TMA-ZAIN-G-1,1,inbreeding coef,0.19121
TMA-ZAIN-G-1,TMA-ZAIN-G-2,1,-1,-0.007966
TMA-ZAIN-G-1,TMA-ZAIN-G-3,1,-1,-0.000789
TMA-ZAIN-G-1,TMA-ZAIN-G-4,1,-1,-0.030355
TMA-ZAIN-G-1,TMA-ZAIN-G-5,1,-1,0.189971
TMA-ZAIN-G-1,TMA-ZAIN-G-6,1,-1,0.066401
TMA-ZAIN-G-1,TMA-ZAIN-G-7,1,-1,-0.03599
TMA-ZAIN-G-1,TMA-ZAIN-G-8,1,-1,0.086972
TMA-ZAIN-G-1,TMA-ZAIN-G-9,1,-1,-0.07411
TMA-ZAIN-G-1,TMA-ZAIN-G-10,1,-1,-0.22745
TMA-ZAIN-G-1,TMA-ZAIN-G-11,1,-1,-0.064269
TMA-ZAIN-G-1,TMA-ZAIN-G-12,1,-1,-0.172604
TMA-ZAIN-G-1,TMA-ZAIN-G-13,1,-1,-0.085611
TMA-ZAIN-G-1,TMA-ZAIN-G-14,1,-1,0.086359
TMA-ZAIN-G-1,TMA-ZAIN-G-15,1,-1,0.238434
TMA-ZAIN-G-1,TMA-ZAIN-G-16,1,-1,-0.191287
TMA-ZAIN-G-1,TMA-ZAIN-G-17,1,-1,0.029492
TMA-ZAIN-G-1,TMA-ZAIN-G-18,1,-1,0.236703
TMA-ZAIN-G-1,TMA-ZAIN-G-19,1,-1,0.048783
TMA-ZAIN-G-1,TMA-ZAIN-G-20,1,-1,0.02487
TMA-ZAIN-G-1,TMA-ZAIN-G-21,1,-1,-0.210982
TMA-ZAIN-G-1,TMA-ZAIN-G-22,1,-1,0.109924
TMA-ZAIN-G-1,TMA-ZAIN-G-23,1,-1,0.043203
TMA-ZAIN-G-1,TMA-ZAIN-G-24,1,-1,-0.15138
TMA-ZAIN-G-1,TMA-ZAIN-G-25,1,-1,0.270797
TMA-ZAIN-G-1,TMA-ZAIN-G-26,1,-1,-0.170953
TMA-ZAIN-G-1,TMA-ZAIN-G-27,1,-1,-0.028934
TMA-ZAIN-G-1,TMA-ZAIN-G-28,1,-1,0.196954
TMA-ZAIN-G-1,TMA-ZAIN-G-29,1,-1,-0.009783
TMA-ZAIN-G-1,TMA-ZAIN-G-30,1,-1,-0.137352
TMA-ZAIN-G-1,TMA-ZAIN-G-31,1,-1,0.144026
TMA-ZAIN-G-1,TMA-ZAIN-G-32,1,-1,0.011364
TMA-ZAIN-G-1,TMA-ZAIN-G-33,1,-1,0.032295
TMA-ZAIN-G-1,TMA-ZAIN-G-34,1,-1,0.089109
TMA-ZAIN-G-1,TMA-ZAIN-G-35,1,-1,0.115596
TMA-ZAIN-G-1,TMA-ZAIN-G-36,1,-1,-0.017644
TMA-ZAIN-G-1,TMA-ZAIN-G-37,1,-1,0.080951
TMA-ZAIN-G-1,TMA-ZAIN-G-38,1,-1,0.374471
TMA-ZAIN-G-1,TMA-ZAIN-G-39,1,-1,-0.13068
TMA-ZAIN-G-1,TMA-ZAIN-G-40,1,-1,-0.076585
TMA-ZAIN-G-1,TMA-ZAIN-G-41,1,-1,-0.01928
TMA-ZAIN-G-1,TMA-ZAIN-G-42,1,-1,0.052688
