"","Ia","p.Ia","rbarD","p.rD"
"0C11:1G13",0.07,0,0.07,0
"0C11:G07",0.02,0.27,0.02,0.27
"0C11:1F02",0.07,0,0.08,0
"0C11:FIR031",0.04,0,0.04,0
"0C11:GOT009",0.01,0.28,0.01,0.28
"0C11:POR016",0.02,0.21,0.03,0.23
"0C11:FIR013",0.02,0.19,0.02,0.18
"0C11:FIR043",0,0.45,0,0.45
"0C11:GOTO40",0.01,0.42,0.01,0.42
"0C11:PIE039",0.02,0.22,0.02,0.22
"0C11:FIR53",-0.01,0.67,-0.01,0.67
"0C11:FIR048",0.08,0,0.08,0
"0C11:PIE125",0.01,0.4,0.01,0.4
"0C11:QpZAG9",0.05,0.01,0.05,0.01
"1G13:G07",-0.04,0.95,-0.04,0.95
"1G13:1F02",0.01,0.26,0.01,0.26
"1G13:FIR031",0.03,0.01,0.03,0.01
"1G13:GOT009",0.02,0.14,0.02,0.14
"1G13:POR016",-0.02,0.84,-0.02,0.82
"1G13:FIR013",0,0.53,0,0.53
"1G13:FIR043",0.02,0.07,0.02,0.07
"1G13:GOTO40",-0.05,0.99,-0.05,0.99
"1G13:PIE039",0.01,0.33,0.01,0.33
"1G13:FIR53",0.04,0.01,0.04,0.01
"1G13:FIR048",0.07,0,0.07,0
"1G13:PIE125",0,0.56,0,0.56
"1G13:QpZAG9",0.06,0,0.06,0
"G07:1F02",0.09,0.38,0.11,0.35
"G07:FIR031",0.02,0.13,0.02,0.13
"G07:GOT009",-0.05,0.91,-0.05,0.91
"G07:POR016",-0.01,0.41,-0.01,0.41
"G07:FIR013",-0.09,0.99,-0.1,0.99
"G07:FIR043",-0.03,0.84,-0.04,0.85
"G07:GOTO40",-0.1,0.99,-0.1,0.99
"G07:PIE039",-0.01,0.58,-0.01,0.58
"G07:FIR53",0.03,0.21,0.03,0.2
"G07:FIR048",0.04,0.06,0.04,0.06
"G07:PIE125",-0.06,0.91,-0.06,0.9
"G07:QpZAG9",0.03,0.15,0.03,0.16
"1F02:FIR031",0.06,0,0.07,0
"1F02:GOT009",-0.05,0.94,-0.05,0.95
"1F02:POR016",0.08,0.02,0.1,0.02
"1F02:FIR013",0.01,0.43,0.01,0.43
"1F02:FIR043",0.02,0.3,0.02,0.3
"1F02:GOTO40",-0.11,0.99,-0.12,0.99
"1F02:PIE039",0.08,0.04,0.08,0.04
"1F02:FIR53",0,0.46,0,0.46
"1F02:FIR048",-0.01,0.64,-0.01,0.65
"1F02:PIE125",-0.02,0.63,-0.02,0.63
"1F02:QpZAG9",0.04,0.01,0.04,0.01
"FIR031:GOT009",0.06,0,0.06,0
"FIR031:POR016",0.07,0,0.08,0
"FIR031:FIR013",0.03,0.08,0.03,0.08
"FIR031:FIR043",0.08,0,0.08,0
"FIR031:GOTO40",0,0.38,0,0.38
"FIR031:PIE039",0.06,0,0.06,0
"FIR031:FIR53",0.02,0.04,0.03,0.04
"FIR031:FIR048",0.03,0.01,0.03,0.01
"FIR031:PIE125",0.03,0.05,0.03,0.04
"FIR031:QpZAG9",0.06,0,0.06,0
"GOT009:POR016",0.02,0.29,0.02,0.31
"GOT009:FIR013",-0.01,0.63,-0.01,0.63
"GOT009:FIR043",0.06,0.01,0.06,0.01
"GOT009:GOTO40",0.09,0.01,0.09,0.01
"GOT009:PIE039",-0.04,0.85,-0.04,0.85
"GOT009:FIR53",0.01,0.41,0.01,0.41
"GOT009:FIR048",0.03,0.09,0.03,0.08
"GOT009:PIE125",-0.01,0.66,-0.01,0.66
"GOT009:QpZAG9",0.06,0.01,0.06,0.01
"POR016:FIR013",0.07,0.05,0.08,0.07
"POR016:FIR043",0.02,0.3,0.02,0.31
"POR016:GOTO40",-0.07,0.86,-0.07,0.86
"POR016:PIE039",0.12,0.03,0.13,0.03
"POR016:FIR53",0.07,0.03,0.08,0.04
"POR016:FIR048",0.02,0.27,0.02,0.29
"POR016:PIE125",-0.01,0.57,-0.01,0.56
"POR016:QpZAG9",0.01,0.53,0.01,0.54
"FIR013:FIR043",-0.03,0.84,-0.03,0.84
"FIR013:GOTO40",0.06,0.08,0.06,0.08
"FIR013:PIE039",-0.04,0.84,-0.04,0.84
"FIR013:FIR53",-0.04,0.93,-0.04,0.93
"FIR013:FIR048",0.01,0.42,0.01,0.42
"FIR013:PIE125",0.03,0.18,0.03,0.19
"FIR013:QpZAG9",-0.02,0.75,-0.02,0.75
"FIR043:GOTO40",0.02,0.23,0.02,0.24
"FIR043:PIE039",0.05,0.07,0.05,0.07
"FIR043:FIR53",0.01,0.3,0.01,0.3
"FIR043:FIR048",0.03,0.03,0.04,0.03
"FIR043:PIE125",0.02,0.27,0.02,0.27
"FIR043:QpZAG9",0.03,0.17,0.03,0.17
"GOTO40:PIE039",0,0.51,0,0.51
"GOTO40:FIR53",-0.05,0.95,-0.05,0.95
"GOTO40:FIR048",0.03,0.14,0.03,0.14
"GOTO40:PIE125",0.03,0.26,0.03,0.26
"GOTO40:QpZAG9",-0.04,0.86,-0.04,0.86
"PIE039:FIR53",0.03,0.17,0.03,0.17
"PIE039:FIR048",0.05,0.04,0.05,0.04
"PIE039:PIE125",0.05,0.1,0.05,0.1
"PIE039:QpZAG9",-0.05,0.89,-0.05,0.89
"FIR53:FIR048",0.01,0.38,0.01,0.38
"FIR53:PIE125",-0.07,0.99,-0.07,0.99
"FIR53:QpZAG9",0.06,0,0.06,0
"FIR048:PIE125",0.07,0,0.07,0
"FIR048:QpZAG9",0.01,0.2,0.01,0.2
"PIE125:QpZAG9",-0.04,0.89,-0.04,0.89
