"","Ia","p.Ia","rbarD","p.rD"
"0C11:1G13",0.13,0,0.13,0
"0C11:G07",0.03,0.09,0.03,0.09
"0C11:1F02",0.05,0,0.06,0
"0C11:FIR031",0.06,0,0.06,0
"0C11:GOT009",0.01,0.27,0.01,0.27
"0C11:POR016",0.06,0.01,0.06,0.01
"0C11:FIR013",0.01,0.25,0.01,0.25
"0C11:FIR043",0.02,0.05,0.02,0.05
"0C11:GOTO40",0.06,0.01,0.06,0.01
"0C11:PIE039",-0.01,0.7,-0.01,0.7
"0C11:FIR53",0.01,0.35,0.01,0.35
"0C11:FIR048",0.06,0,0.06,0
"0C11:PIE125",0.03,0.03,0.03,0.03
"0C11:QpZAG9",0.04,0,0.04,0
"1G13:G07",0,0.5,0,0.5
"1G13:1F02",0.04,0,0.04,0
"1G13:FIR031",0.06,0,0.06,0
"1G13:GOT009",0.03,0.01,0.03,0.01
"1G13:POR016",0.01,0.32,0.01,0.32
"1G13:FIR013",0.02,0.3,0.02,0.3
"1G13:FIR043",0.01,0.27,0.01,0.27
"1G13:GOTO40",0,0.51,0,0.51
"1G13:PIE039",-0.04,0.96,-0.04,0.96
"1G13:FIR53",0,0.46,0,0.46
"1G13:FIR048",0.06,0,0.06,0
"1G13:PIE125",0,0.35,0,0.35
"1G13:QpZAG9",0.09,0,0.09,0
"G07:1F02",0.06,0.14,0.07,0.11
"G07:FIR031",0.03,0.04,0.03,0.04
"G07:GOT009",0,0.45,0,0.45
"G07:POR016",-0.06,0.96,-0.07,0.96
"G07:FIR013",-0.03,0.87,-0.04,0.88
"G07:FIR043",-0.01,0.69,-0.01,0.69
"G07:GOTO40",0.01,0.42,0.01,0.41
"G07:PIE039",0.04,0.12,0.04,0.12
"G07:FIR53",-0.03,0.93,-0.03,0.94
"G07:FIR048",0.02,0.07,0.03,0.07
"G07:PIE125",0.01,0.43,0.01,0.43
"G07:QpZAG9",0.02,0.08,0.02,0.08
"1F02:FIR031",0.06,0,0.06,0
"1F02:GOT009",0.06,0,0.06,0
"1F02:POR016",0.02,0.18,0.03,0.18
"1F02:FIR013",0.06,0.01,0.06,0.01
"1F02:FIR043",0.04,0,0.04,0
"1F02:GOTO40",0.01,0.39,0.01,0.39
"1F02:PIE039",0.01,0.31,0.01,0.3
"1F02:FIR53",0.03,0.03,0.03,0.03
"1F02:FIR048",0.04,0,0.04,0
"1F02:PIE125",0.08,0,0.08,0
"1F02:QpZAG9",0.12,0,0.12,0
"FIR031:GOT009",0.08,0,0.08,0
"FIR031:POR016",0.03,0.02,0.03,0.02
"FIR031:FIR013",0.04,0,0.04,0
"FIR031:FIR043",0.06,0,0.06,0
"FIR031:GOTO40",0.03,0.02,0.03,0.01
"FIR031:PIE039",0,0.41,0,0.41
"FIR031:FIR53",0.02,0.03,0.02,0.03
"FIR031:FIR048",0.07,0,0.07,0
"FIR031:PIE125",0.03,0,0.04,0
"FIR031:QpZAG9",0.06,0,0.06,0
"GOT009:POR016",0.01,0.34,0.01,0.34
"GOT009:FIR013",0,0.42,0,0.42
"GOT009:FIR043",0.06,0,0.06,0
"GOT009:GOTO40",0.06,0,0.06,0
"GOT009:PIE039",0,0.43,0,0.43
"GOT009:FIR53",0,0.39,0,0.39
"GOT009:FIR048",0.06,0,0.06,0
"GOT009:PIE125",0,0.65,0,0.65
"GOT009:QpZAG9",0.09,0,0.09,0
"POR016:FIR013",0.06,0.06,0.06,0.06
"POR016:FIR043",0.06,0,0.06,0
"POR016:GOTO40",0.04,0.15,0.04,0.15
"POR016:PIE039",0.01,0.39,0.01,0.39
"POR016:FIR53",-0.03,0.92,-0.03,0.91
"POR016:FIR048",0.02,0.16,0.02,0.16
"POR016:PIE125",-0.03,0.87,-0.03,0.86
"POR016:QpZAG9",0,0.61,0,0.61
"FIR013:FIR043",0.01,0.3,0.01,0.3
"FIR013:GOTO40",0.1,0.01,0.1,0.01
"FIR013:PIE039",0.02,0.27,0.02,0.26
"FIR013:FIR53",0,0.49,0,0.49
"FIR013:FIR048",0.04,0,0.04,0
"FIR013:PIE125",0.06,0.01,0.06,0.01
"FIR013:QpZAG9",0.02,0.24,0.02,0.24
"FIR043:GOTO40",-0.03,0.91,-0.03,0.91
"FIR043:PIE039",0.05,0,0.05,0
"FIR043:FIR53",0,0.5,0,0.5
"FIR043:FIR048",0.04,0,0.05,0
"FIR043:PIE125",0.01,0.34,0.01,0.34
"FIR043:QpZAG9",0.05,0,0.05,0
"GOTO40:PIE039",0.05,0.04,0.05,0.05
"GOTO40:FIR53",-0.02,0.84,-0.02,0.84
"GOTO40:FIR048",0.07,0,0.07,0
"GOTO40:PIE125",0.07,0,0.07,0
"GOTO40:QpZAG9",-0.02,0.83,-0.02,0.82
"PIE039:FIR53",-0.02,0.88,-0.02,0.88
"PIE039:FIR048",0.03,0.02,0.03,0.02
"PIE039:PIE125",0.06,0.01,0.06,0.01
"PIE039:QpZAG9",-0.01,0.79,-0.01,0.79
"FIR53:FIR048",0.01,0.17,0.01,0.16
"FIR53:PIE125",0.01,0.23,0.01,0.23
"FIR53:QpZAG9",0.05,0,0.05,0
"FIR048:PIE125",0.08,0,0.09,0
"FIR048:QpZAG9",0.07,0,0.07,0
"PIE125:QpZAG9",0.05,0,0.05,0
