"","Ia","p.Ia","rbarD","p.rD"
"locus1:locus2",0.01,0.22,0.01,0.22
"locus1:locus3",-0.02,0.96,-0.02,0.96
"locus1:locus4",-0.02,0.97,-0.02,0.97
"locus1:locus5",0.01,0.28,0.01,0.28
"locus1:locus6",0.04,0.01,0.04,0.01
"locus1:locus7",-0.03,1,-0.04,1
"locus1:locus8",0.05,0,0.05,0
"locus1:locus9",0.01,0.07,0.02,0.06
"locus1:locus10",0,0.33,0,0.33
"locus1:locus11",0,0.42,0,0.42
"locus2:locus3",0.04,0,0.04,0
"locus2:locus4",0,0.37,0,0.37
"locus2:locus5",0.08,0,0.08,0
"locus2:locus6",-0.04,1,-0.05,1
"locus2:locus7",0.04,0,0.04,0
"locus2:locus8",0.02,0.01,0.02,0.01
"locus2:locus9",0.02,0,0.02,0
"locus2:locus10",0.02,0.07,0.02,0.07
"locus2:locus11",0.02,0.01,0.02,0.01
"locus3:locus4",0.08,0,0.08,0
"locus3:locus5",0.03,0.01,0.03,0.01
"locus3:locus6",-0.07,1,-0.07,1
"locus3:locus7",0.1,0,0.1,0
"locus3:locus8",0.05,0,0.05,0
"locus3:locus9",0.1,0,0.1,0
"locus3:locus10",0.15,0,0.15,0
"locus3:locus11",0.09,0,0.1,0
"locus4:locus5",0.02,0.05,0.02,0.05
"locus4:locus6",0.04,0,0.04,0
"locus4:locus7",0.1,0,0.1,0
"locus4:locus8",0.03,0,0.03,0
"locus4:locus9",0.05,0,0.05,0
"locus4:locus10",0.13,0,0.13,0
"locus4:locus11",0.06,0,0.06,0
"locus5:locus6",0.01,0.22,0.01,0.23
"locus5:locus7",0.09,0,0.09,0
"locus5:locus8",0.04,0,0.04,0
"locus5:locus9",0.06,0,0.06,0
"locus5:locus10",0.04,0,0.04,0
"locus5:locus11",0.02,0.02,0.02,0.02
"locus6:locus7",0.01,0.22,0.01,0.23
"locus6:locus8",0.01,0.18,0.01,0.19
"locus6:locus9",-0.02,0.93,-0.02,0.93
"locus6:locus10",0.12,0,0.13,0
"locus6:locus11",0.04,0.01,0.04,0.01
"locus7:locus8",0.06,0,0.06,0
"locus7:locus9",0.13,0,0.13,0
"locus7:locus10",0.21,0,0.21,0
"locus7:locus11",0.14,0,0.14,0
"locus8:locus9",0.08,0,0.08,0
"locus8:locus10",0.06,0,0.06,0
"locus8:locus11",0.03,0,0.03,0
"locus9:locus10",0.07,0,0.07,0
"locus9:locus11",0.18,0,0.18,0
"locus10:locus11",0.15,0,0.15,0
