"","Ind","MLG","NAll","All_Rich","Hexp"
"MBC",302,302,72,2.28,0.576
"MSBG",16,16,47,2.2,0.547
"AA",2,2,21,1.91,0.424
"HBG",2,2,24,2.18,0.5
"FTBG",7,7,40,2.28,0.549
"UCBBG",13,13,39,2.16,0.547
"GWL",13,13,24,1.61,0.323
"HPLG",7,7,30,1.9,0.427
"NBG",11,11,40,2.08,0.497
"KWTFBG",9,9,39,2.17,0.536
"ZFB",35,35,32,1.88,0.442
"ZFBP1",36,36,40,1.82,0.384
"ZFBP2",33,33,35,1.85,0.416
"ZFCC",40,40,31,1.76,0.39
"ZFCNS",39,39,24,1.48,0.241
"ZFCR",40,40,53,2.39,0.63
"ZFENP",37,37,52,2.11,0.509
"ZFFDSP",40,40,30,1.7,0.349
"ZFI",27,27,27,1.7,0.372
"ZFK",15,15,19,1.45,0.247
"ZFLB",13,13,25,1.61,0.303
"ZFLTI",14,14,21,1.64,0.349
"ZFONF1",25,25,32,1.84,0.393
"ZFONF2",40,40,33,1.81,0.373
"ZFO",32,32,32,1.85,0.435
"ZFBP",20,20,19,1.39,0.207
"ZFSF",4,4,24,1.8,0.406
"ZFSW1",23,23,34,1.95,0.467
"ZFSW2",39,39,30,1.56,0.292
"ZFTS",38,38,24,1.73,0.384
"ZFTSP1",45,45,33,1.88,0.435
"ZFTSP2",28,28,35,1.95,0.458
"ZFW",6,6,27,1.9,0.435
"ZFWB",40,40,36,1.8,0.406
"ZCF",42,42,50,2.23,0.552
