"","Ia","p.Ia","rbarD","p.rD"
"Zam05:Zam17",0.03,0.17,0.03,0.17
"Zam05:Zam34",0.06,0.06,0.06,0.06
"Zam05:Zam39",-0.02,0.73,-0.02,0.73
"Zam05:Zam55",0.02,0.31,0.02,0.31
"Zam05:Zam60",-0.01,0.62,-0.02,0.61
"Zam05:Zam62",-0.03,0.8,-0.03,0.8
"Zam05:Zfg02",0.08,0.01,0.08,0.01
"Zam05:Zfg25",0.04,0.14,0.04,0.14
"Zam05:Zfg31",0.02,0.35,0.02,0.35
"Zam05:Zfg38",0.06,0.06,0.06,0.06
"Zam17:Zam34",0.01,0.38,0.01,0.38
"Zam17:Zam39",0,0.49,0,0.49
"Zam17:Zam55",0.16,0,0.16,0
"Zam17:Zam60",-0.01,0.54,-0.01,0.53
"Zam17:Zam62",-0.02,0.72,-0.02,0.72
"Zam17:Zfg02",0.07,0.02,0.07,0.02
"Zam17:Zfg25",0.02,0.2,0.02,0.2
"Zam17:Zfg31",-0.03,0.82,-0.03,0.83
"Zam17:Zfg38",0.09,0,0.09,0
"Zam34:Zam39",0.11,0,0.11,0
"Zam34:Zam55",0.07,0.04,0.07,0.04
"Zam34:Zam60",-0.01,0.55,-0.01,0.54
"Zam34:Zam62",0.12,0,0.12,0
"Zam34:Zfg02",0.06,0.02,0.06,0.02
"Zam34:Zfg25",0.13,0,0.13,0
"Zam34:Zfg31",0.16,0,0.16,0
"Zam34:Zfg38",0.1,0.01,0.1,0.01
"Zam39:Zam55",0,0.48,0,0.48
"Zam39:Zam60",0.13,0,0.13,0
"Zam39:Zam62",0.14,0,0.14,0
"Zam39:Zfg02",0.03,0.22,0.03,0.22
"Zam39:Zfg25",0.09,0,0.09,0
"Zam39:Zfg31",0.26,0,0.26,0
"Zam39:Zfg38",0.07,0.02,0.07,0.02
"Zam55:Zam60",0.08,0.07,0.09,0.07
"Zam55:Zam62",0.04,0.16,0.04,0.16
"Zam55:Zfg02",0.01,0.38,0.01,0.38
"Zam55:Zfg25",0.08,0,0.08,0
"Zam55:Zfg31",0,0.5,0,0.5
"Zam55:Zfg38",0.08,0.02,0.08,0.02
"Zam60:Zam62",0.14,0.01,0.15,0.01
"Zam60:Zfg02",0.02,0.3,0.03,0.32
"Zam60:Zfg25",-0.05,0.91,-0.05,0.89
"Zam60:Zfg31",0.31,0,0.31,0
"Zam60:Zfg38",0.01,0.41,0.01,0.42
"Zam62:Zfg02",0.07,0.02,0.07,0.02
"Zam62:Zfg25",0.16,0,0.16,0
"Zam62:Zfg31",0.28,0,0.28,0
"Zam62:Zfg38",0.1,0.01,0.1,0.01
"Zfg02:Zfg25",0.06,0.01,0.06,0.01
"Zfg02:Zfg31",0.08,0.02,0.08,0.03
"Zfg02:Zfg38",0.05,0.05,0.06,0.04
"Zfg25:Zfg31",0.19,0,0.2,0
"Zfg25:Zfg38",0.24,0,0.24,0
"Zfg31:Zfg38",0.26,0,0.27,0
