"","V1","V2","V3"
"QUAC_boudoin_lebrun",40.2,72.8,97.5
"QUAC_Cavalli_Sforza_Edwards",35.9,62.3,91.4
"QUAC_Goldstein",59.1,78.2,85.5
"QUAC_nei_da",37.3,64.5,92.3
"QUAC_nei_min",32.7,63.6,90
"QUAC_nei_standard",29.5,59.1,92.7
"QUAC_Paetkau",39.5,68.2,91.8
"QUAC_rannala_mountain",45,72.3,94.1
"ZAIN_boudoin_lebrun",2.5,5.42,9.58
"ZAIN_Cavalli_Sforza_Edwards",13.3,25,33.3
"ZAIN_Goldstein",30.4,42.5,48.3
"ZAIN_nei_da",7.5,14.2,19.6
"ZAIN_nei_min",5.83,9.58,13.8
"ZAIN_nei_standard",9.17,9.17,9.17
"ZAIN_paetkau",3.33,8.33,15.8
"ZAIN_rannala_mountain",2.5,5.42,7.92
