"X","MOR_RenamedTissue_","Site","Longitude","Latitude"
1,"QAc-W-0001","Porter",-91.059579,37.386295
2,"QAc-W-0002","Porter",-91.059931,37.386268
3,"QAc-W-0003","Porter",-91.060836,37.386238
4,"QAc-W-0004","Porter",-91.060836,37.386238
5,"QAc-W-0005","Porter",-91.060904,37.386255
6,"QAc-W-0006","Porter",-91.060922,37.386243
7,"QAc-W-0007","Porter",-91.060871,37.386351
8,"QAc-W-0008","Porter",-91.060871,37.386376
9,"QAc-W-0009","Porter",-91.061682,37.386076
10,"QAc-W-0010","Porter",-91.064493,37.386348
11,"QAc-W-0011","Porter",-91.064493,37.386348
12,"QAc-W-0012","Porter",-91.064436,37.386375
13,"QAc-W-0013","Porter",-91.064441,37.386301
14,"QAc-W-0014","Porter",-91.064292,37.386334
15,"QAc-W-0015","Porter",-91.064209,37.38637
16,"QAc-W-0016","Porter",-91.064206,37.38632
17,"QAc-W-0017","Porter",-91.064098,37.386366
18,"QAc-W-0018","Porter",-91.063909,37.386301
19,"QAc-W-0019","Porter",-91.063827,37.386336
20,"QAc-W-0020","Porter",-91.063834,37.386175
21,"QAc-W-0021","Porter",-91.063694,37.386208
22,"QAc-W-0022","Porter",-91.063549,37.386329
23,"QAc-W-0023","Porter",-91.063277,37.386592
24,"QAc-W-0024","Porter",-91.063141,37.386733
25,"QAc-W-0025","Porter",-91.06292,37.386651
26,"QAc-W-0026","Porter",-91.062636,37.386525
27,"QAc-W-0027","Porter",-91.062355,37.386443
28,"QAc-W-0028","Porter",-91.062209,37.386343
29,"QAc-W-0029","Porter",-91.062078,37.386354
30,"QAc-W-0030","Porter",-91.062014,37.38619
31,"QAc-W-0031","Porter",-91.062198,37.386144
32,"QAc-W-0032","Porter",-91.06234,37.386083
33,"QAc-W-0033","Porter",-91.062511,37.386097
34,"QAc-W-0034","Porter",-91.062667,37.386097
35,"QAc-W-0035","Porter",-91.062773,37.386088
36,"QAc-W-0036","Porter",-91.062902,37.385937
37,"QAc-W-0037","Porter",-91.0629,37.385857
38,"QAc-W-0038","Porter",-91.063009,37.385961
39,"QAc-W-0039","Porter",-91.06332,37.386022
40,"QAc-W-0040","Porter",-91.062961,37.386329
41,"QAc-W-0041","Porter",-91.06128,37.386102
42,"QAc-W-0042","Magazine",-90.652557,38.171192
