"X","Morton.Arboretum.ID","Longitude","Latitude"
1,"TMA-ZAIN-G-1",-79.93333333,32.58888889
2,"TMA-ZAIN-G-2",-79.93333333,32.58888889
3,"TMA-ZAIN-G-3",-78.88041667,32.42433333
4,"TMA-ZAIN-G-4",-79.02633333,29.87344444
5,"TMA-ZAIN-G-5",-79.93333333,32.58888889
6,"TMA-ZAIN-G-6",-78.88041667,32.42433333
7,"TMA-ZAIN-G-7",-78.42102778,33.45358333
8,"TMA-ZAIN-G-8",-78.42102778,33.45358333
9,"TMA-ZAIN-G-9",-78.23369444,32.71441667
10,"TMA-ZAIN-G-10",-78.23369444,32.71441667
11,"TMA-ZAIN-G-11",-78.23369444,32.71441667
12,"TMA-ZAIN-G-12",-78.26602778,32.67425
13,"TMA-ZAIN-G-13",-78.26602778,32.67425
14,"TMA-ZAIN-G-14",-77.80955,31.90533333
15,"TMA-ZAIN-G-15",-77.80955,31.90533333
16,"TMA-ZAIN-G-16",-78.20663889,32.62791667
17,"TMA-ZAIN-G-17",-78.4345,33.67008333
18,"TMA-ZAIN-G-18",-77.71667,28.41667
19,"TMA-ZAIN-G-19",-77.71667,28.41667
20,"TMA-ZAIN-G-20",-77.71667,28.4
21,"TMA-ZAIN-G-21",-77.11944444,29.39175
22,"TMA-ZAIN-G-22",-80.47088983,32.73738
23,"TMA-ZAIN-G-23",-80.47124983,32.73751983
24,"TMA-ZAIN-G-24",-80.49097,32.74972222
25,"TMA-ZAIN-G-25",-77.282325,28.66268611
26,"TMA-ZAIN-G-26",-79.47069444,30.17133333
27,"TMA-ZAIN-G-27",-79.65363889,31.95722222
28,"TMA-ZAIN-G-28",-79.96475,32.49680556
29,"TMA-ZAIN-G-29",-78.77,32.18083333
30,"TMA-ZAIN-G-30",-79.71875,31.29144444
31,"TMA-ZAIN-G-31",-79.97661667,32.20278333
32,"TMA-ZAIN-G-32",-80.06241667,32.20758333
33,"TMA-ZAIN-G-33",-79.96475,32.49680556
34,"TMA-ZAIN-G-34",-78.88041667,32.42433333
35,"TMA-ZAIN-G-35",-78.88041667,32.42433333
36,"TMA-ZAIN-G-36",-78.644,32.63483333
37,"TMA-ZAIN-G-37",-79.46316667,32.744
38,"TMA-ZAIN-G-38",-79.76861111,32.97402778
39,"TMA-ZAIN-G-39",-78.14,32.433
40,"TMA-ZAIN-G-40",-78.14,32.433
41,"TMA-ZAIN-G-41",-78.08169444,32.31338889
42,"TMA-ZAIN-G-42",-78.08169444,32.31338889
43,"TMA-ZAIN-G-43",-77.80955,31.90533333
44,"TMA-ZAIN-G-44",-77.27980556,29.07836111
45,"TMA-ZAIN-G-45",-78.20663889,32.62791667
46,"TMA-ZAIN-G-46",-77.11944444,29.39175
47,"TMA-ZAIN-G-47",-79.25019444,29.69813889
48,"TMA-ZAIN-G-48",-79.05477778,29.75244444
49,"TMA-ZAIN-G-49",-77.27961111,28.66111111
50,"TMA-ZAIN-G-50",-77.2807715,28.66153911
51,"TMA-ZAIN-G-51",-77.27921981,28.66300231
52,"TMA-ZAIN-G-52",-77.28324581,28.66141061
53,"TMA-ZAIN-G-53",-77.28255469,28.65998969
54,"TMA-ZAIN-G-54",-79.47069444,30.17133333
55,"TMA-ZAIN-G-55",-79.47069444,30.17133333
56,"TMA-ZAIN-G-56",-79.46058333,30.17388889
57,"TMA-ZAIN-G-57",-79.46058333,30.17388889
58,"TMA-ZAIN-G-58",-79.65363889,31.95722222
59,"TMA-ZAIN-G-59",-79.96475,32.49680556
60,"TMA-ZAIN-G-60",-79.96475,32.49680556
61,"TMA-ZAIN-G-61",-79.93333333,32.58888889
62,"TMA-ZAIN-G-62",-79.93333333,32.58888889
63,"TMA-ZAIN-G-63",-79.93333333,32.58888889
64,"TMA-ZAIN-G-64",-78.77,32.18083333
65,"TMA-ZAIN-G-65",-78.77,32.18083333
66,"TMA-ZAIN-G-66",-78.77,32.18083333
67,"TMA-ZAIN-G-67",-78.77,32.18083333
68,"TMA-ZAIN-G-68",-78.77,32.18083333
69,"TMA-ZAIN-G-69",-78.77,32.18083333
70,"TMA-ZAIN-G-70",-78.83177778,32.47855556
71,"TMA-ZAIN-G-71",-78.83177778,32.47855556
72,"TMA-ZAIN-G-72",-78.83177778,32.47855556
73,"TMA-ZAIN-G-73",-78.83177778,32.47855556
74,"TMA-ZAIN-G-74",-78.83177778,32.47855556
75,"TMA-ZAIN-G-75",-78.83177778,32.47855556
76,"TMA-ZAIN-G-76",-78.83177778,32.47855556
77,"TMA-ZAIN-G-77",-78.83177778,32.47855556
78,"TMA-ZAIN-G-78",-78.83177778,32.47855556
79,"TMA-ZAIN-G-79",-78.83177778,32.47855556
80,"TMA-ZAIN-G-80",-78.83177778,32.47855556
81,"TMA-ZAIN-G-81",-78.83177778,32.47855556
82,"TMA-ZAIN-G-82",-78.88041667,32.42433333
83,"TMA-ZAIN-G-83",-78.88041667,32.42433333
84,"TMA-ZAIN-G-84",-78.83177778,32.47855556
85,"TMA-ZAIN-G-85",-78.81205556,29.43530556
86,"TMA-ZAIN-G-86",-78.81205556,29.43530556
87,"TMA-ZAIN-G-87",-78.81205556,29.43530556
88,"TMA-ZAIN-G-88",-79.02633333,29.87344444
89,"TMA-ZAIN-G-89",-79.02633333,29.87344444
90,"TMA-ZAIN-G-90",-79.02633333,29.87344444
91,"TMA-ZAIN-G-91",-79.02633333,29.87344444
92,"TMA-ZAIN-G-92",-79.02633333,29.87344444
93,"TMA-ZAIN-G-93",-79.02633333,29.87344444
94,"TMA-ZAIN-G-94",-79.02633333,29.87344444
95,"TMA-ZAIN-G-95",-79.71875,31.29144444
96,"TMA-ZAIN-G-96",-79.71875,31.29144444
97,"TMA-ZAIN-G-97",-79.97661667,32.20278333
98,"TMA-ZAIN-G-98",-79.97661667,32.20278333
99,"TMA-ZAIN-G-99",-79.97661667,32.20278333
100,"TMA-ZAIN-G-101",-79.97661667,32.20278333
101,"TMA-ZAIN-G-102",-79.97661667,32.20278333
102,"TMA-ZAIN-G-103",-80.06241667,32.20758333
103,"TMA-ZAIN-G-104",-80.06241667,32.20758333
104,"TMA-ZAIN-G-105",-80.06241667,32.20758333
105,"TMA-ZAIN-G-106",-80.06241667,32.20758333
106,"TMA-ZAIN-G-107",-79.96475,32.49680556
107,"TMA-ZAIN-G-108",-79.96475,32.49680556
108,"TMA-ZAIN-G-109",-79.96475,32.49680556
109,"TMA-ZAIN-G-110",-79.96475,32.49680556
110,"TMA-ZAIN-G-111",-79.96475,32.49680556
111,"TMA-ZAIN-G-112",-79.96475,32.49680556
112,"TMA-ZAIN-G-113",-79.96475,32.49680556
113,"TMA-ZAIN-G-114",-79.93333333,32.58888889
114,"TMA-ZAIN-G-115",-79.93333333,32.58888889
115,"TMA-ZAIN-G-116",-79.93333333,32.58888889
116,"TMA-ZAIN-G-117",-78.88041667,32.42433333
117,"TMA-ZAIN-G-118",-78.88041667,32.42433333
118,"TMA-ZAIN-G-119",-78.88041667,32.42433333
119,"TMA-ZAIN-G-120",-78.88041667,32.42433333
120,"TMA-ZAIN-G-121",-78.88041667,32.42433333
121,"TMA-ZAIN-G-122",-78.88041667,32.42433333
122,"TMA-ZAIN-G-123",-79.46316667,32.744
123,"TMA-ZAIN-G-124",-79.76861111,32.97402778
124,"TMA-ZAIN-G-125",-78.42102778,33.45358333
125,"TMA-ZAIN-G-126",-78.42102778,33.45358333
126,"TMA-ZAIN-G-127",-78.42102778,33.45358333
127,"TMA-ZAIN-G-128",-78.42102778,33.45358333
128,"TMA-ZAIN-G-129",-78.42102778,33.45358333
129,"TMA-ZAIN-G-130",-78.42102778,33.45358333
130,"TMA-ZAIN-G-131",-78.42102778,33.45358333
131,"TMA-ZAIN-G-132",-78.42102778,33.45358333
132,"TMA-ZAIN-G-133",-78.42102778,33.45358333
133,"TMA-ZAIN-G-134",-78.4345,33.67008333
134,"TMA-ZAIN-G-135",-78.4345,33.67008333
135,"TMA-ZAIN-G-136",-78.4345,33.67008333
136,"TMA-ZAIN-G-137",-78.4345,33.67008333
137,"TMA-ZAIN-G-138",-78.4345,33.67008333
138,"TMA-ZAIN-G-139",-78.4345,33.67008333
139,"TMA-ZAIN-G-140",-78.4345,33.67008333
140,"TMA-ZAIN-G-141",-78.23369444,32.71441667
141,"TMA-ZAIN-G-142",-78.23369444,32.71441667
142,"TMA-ZAIN-G-143",-78.23369444,32.71441667
143,"TMA-ZAIN-G-144",-78.23369444,32.71441667
144,"TMA-ZAIN-G-145",-78.23369444,32.71441667
145,"TMA-ZAIN-G-146",-78.23369444,32.71441667
146,"TMA-ZAIN-G-147",-78.23369444,32.71441667
147,"TMA-ZAIN-G-148",-78.23369444,32.71441667
148,"TMA-ZAIN-G-149",-78.23369444,32.71441667
149,"TMA-ZAIN-G-150",-78.23369444,32.71441667
150,"TMA-ZAIN-G-151",-78.23369444,32.71441667
151,"TMA-ZAIN-G-152",-78.26602778,32.67425
152,"TMA-ZAIN-G-153",-78.26602778,32.67425
153,"TMA-ZAIN-G-154",-78.26602778,32.67425
154,"TMA-ZAIN-G-155",-78.26602778,32.67425
155,"TMA-ZAIN-G-156",-78.26602778,32.67425
156,"TMA-ZAIN-G-157",-78.26602778,32.67425
157,"TMA-ZAIN-G-158",-78.26602778,32.67425
158,"TMA-ZAIN-G-159",-78.26602778,32.67425
159,"TMA-ZAIN-G-160",-78.26602778,32.67425
160,"TMA-ZAIN-G-161",-78.26602778,32.67425
161,"TMA-ZAIN-G-162",-78.26602778,32.67425
162,"TMA-ZAIN-G-163",-78.26602778,32.67425
163,"TMA-ZAIN-G-164",-78.26602778,32.67425
164,"TMA-ZAIN-G-165",-78.26602778,32.67425
165,"TMA-ZAIN-G-166",-78.26602778,32.67425
166,"TMA-ZAIN-G-167",-78.14,32.433
167,"TMA-ZAIN-G-168",-78.14,32.433
168,"TMA-ZAIN-G-169",-78.14,32.433
169,"TMA-ZAIN-G-170",-78.14,32.433
170,"TMA-ZAIN-G-171",-78.14,32.433
171,"TMA-ZAIN-G-172",-78.14,32.433
172,"TMA-ZAIN-G-173",-78.14,32.433
173,"TMA-ZAIN-G-174",-78.14,32.433
174,"TMA-ZAIN-G-175",-78.14,32.433
175,"TMA-ZAIN-G-176",-78.14,32.433
176,"TMA-ZAIN-G-177",-78.14,32.433
177,"TMA-ZAIN-G-178",-78.14,32.433
178,"TMA-ZAIN-G-179",-78.14,32.433
179,"TMA-ZAIN-G-180",-78.14,32.433
180,"TMA-ZAIN-G-181",-78.08169444,32.31338889
181,"TMA-ZAIN-G-182",-78.08169444,32.31338889
182,"TMA-ZAIN-G-183",-78.08169444,32.31338889
183,"TMA-ZAIN-G-184",-78.08169444,32.31338889
184,"TMA-ZAIN-G-185",-78.08169444,32.31338889
185,"TMA-ZAIN-G-186",-78.08169444,32.31338889
186,"TMA-ZAIN-G-187",-78.08169444,32.31338889
187,"TMA-ZAIN-G-188",-78.08169444,32.31338889
188,"TMA-ZAIN-G-189",-78.08169444,32.31338889
189,"TMA-ZAIN-G-190",-78.08169444,32.31338889
190,"TMA-ZAIN-G-191",-78.08169444,32.31338889
191,"TMA-ZAIN-G-192",-78.08169444,32.31338889
192,"TMA-ZAIN-G-193",-78.08169444,32.31338889
193,"TMA-ZAIN-G-194",-77.80955,31.90533333
194,"TMA-ZAIN-G-195",-77.80955,31.90533333
195,"TMA-ZAIN-G-196",-77.80955,31.90533333
196,"TMA-ZAIN-G-197",-77.80955,31.90533333
197,"TMA-ZAIN-G-198",-77.80955,31.90533333
198,"TMA-ZAIN-G-199",-77.80955,31.90533333
199,"TMA-ZAIN-G-200",-77.80955,31.90533333
200,"TMA-ZAIN-G-201",-77.27980556,29.07836111
201,"TMA-ZAIN-G-202",-77.27980556,29.07836111
202,"TMA-ZAIN-G-203",-77.27980556,29.07836111
203,"TMA-ZAIN-G-204",-77.27980556,29.07836111
204,"TMA-ZAIN-G-205",-77.27616667,29.08155556
205,"TMA-ZAIN-G-206",-77.27616667,29.08155556
206,"TMA-ZAIN-G-207",-77.27616667,29.08155556
207,"TMA-ZAIN-G-208",-78.20663889,32.62791667
208,"TMA-ZAIN-G-209",-78.20663889,32.62791667
209,"TMA-ZAIN-G-210",-78.20663889,32.62791667
210,"TMA-ZAIN-G-211",-78.20663889,32.62791667
211,"TMA-ZAIN-G-212",-78.20663889,32.62791667
212,"TMA-ZAIN-G-213",-78.20663889,32.62791667
213,"TMA-ZAIN-G-214",-78.4345,33.67008333
214,"TMA-ZAIN-G-215",-78.4345,33.67008333
215,"TMA-ZAIN-G-216",-78.4345,33.67008333
216,"TMA-ZAIN-G-217",-78.4345,33.67008333
217,"TMA-ZAIN-G-218",-78.4345,33.67008333
218,"TMA-ZAIN-G-219",-77.71667,28.41667
219,"TMA-ZAIN-G-220",-77.71667,28.41667
220,"TMA-ZAIN-G-221",-77.71667,28.41667
221,"TMA-ZAIN-G-222",-77.71667,28.41667
222,"TMA-ZAIN-G-223",-77.71667,28.41667
223,"TMA-ZAIN-G-224",-77.71667,28.41667
224,"TMA-ZAIN-G-225",-77.71667,28.41667
225,"TMA-ZAIN-G-226",-77.71667,28.41667
226,"TMA-ZAIN-G-227",-77.71667,28.41667
227,"TMA-ZAIN-G-228",-77.71667,28.41667
228,"TMA-ZAIN-G-229",-77.71667,28.41667
229,"TMA-ZAIN-G-230",-77.71667,28.41667
230,"TMA-ZAIN-G-231",-77.71667,28.41667
231,"TMA-ZAIN-G-232",-77.63333,28.4
232,"TMA-ZAIN-G-233",-77.63333,28.4
233,"TMA-ZAIN-G-234",-77.63333,28.4
234,"TMA-ZAIN-G-235",-77.63333,28.4
235,"TMA-ZAIN-G-236",-77.63333,28.4
236,"TMA-ZAIN-G-237",-77.63333,28.4
237,"TMA-ZAIN-G-238",-77.63333,28.4
238,"TMA-ZAIN-G-239",-77.63333,28.4
239,"TMA-ZAIN-G-240",-77.11944444,29.39175
240,"TMA-ZAIN-G-241",-77.11944444,29.39175
241,"TMA-ZAIN-G-242",-77.11944444,29.39175
242,"TMA-ZAIN-G-243",-77.11944444,29.39175
243,"TMA-ZAIN-G-244",-77.11944444,29.39175
244,"TMA-ZAIN-G-245",-77.11944444,29.39175
245,"TMA-ZAIN-G-246",-77.11944444,29.39175
246,"TMA-ZAIN-G-247",-77.11944444,29.39175
247,"TMA-ZAIN-G-248",-77.11944444,29.39175
248,"TMA-ZAIN-G-249",-77.11944444,29.39175
249,"TMA-ZAIN-G-250",-77.11944444,29.39175
250,"TMA-ZAIN-G-251",-77.11944444,29.39175
251,"TMA-ZAIN-G-252",-77.11944444,29.39175
252,"TMA-ZAIN-G-253",-79.25019444,29.69813889
253,"TMA-ZAIN-G-254",-79.25019444,29.69813889
254,"TMA-ZAIN-G-255",-79.25019444,29.69813889
255,"TMA-ZAIN-G-256",-79.25019444,29.69813889
256,"TMA-ZAIN-G-257",-79.25019444,29.69813889
257,"TMA-ZAIN-G-258",-79.25019444,29.69813889
258,"TMA-ZAIN-G-259",-79.25019444,29.69813889
259,"TMA-ZAIN-G-260",-79.25019444,29.69813889
260,"TMA-ZAIN-G-261",-79.25019444,29.69813889
261,"TMA-ZAIN-G-262",-79.25019444,29.69813889
262,"TMA-ZAIN-G-263",-79.25019444,29.69813889
263,"TMA-ZAIN-G-264",-79.25019444,29.69813889
264,"TMA-ZAIN-G-265",-79.25019444,29.69813889
265,"TMA-ZAIN-G-266",-79.25019444,29.69813889
266,"TMA-ZAIN-G-267",-79.05477778,29.75244444
267,"TMA-ZAIN-G-268",-79.05477778,29.75244444
268,"TMA-ZAIN-G-269",-79.05477778,29.75244444
269,"TMA-ZAIN-G-270",-80.47088983,32.73738
270,"TMA-ZAIN-G-271",-80.47088983,32.73738
271,"TMA-ZAIN-G-272",-80.47088983,32.73738
272,"TMA-ZAIN-G-273",-80.47088983,32.73738
273,"TMA-ZAIN-G-274",-80.47088983,32.73738
274,"TMA-ZAIN-G-275",-80.47088983,32.73738
275,"TMA-ZAIN-G-276",-80.47088983,32.73738
276,"TMA-ZAIN-G-277",-80.47124983,32.73751983
277,"TMA-ZAIN-G-278",-80.47124983,32.73751983
278,"TMA-ZAIN-G-279",-80.47124983,32.73751983
279,"TMA-ZAIN-G-280",-80.47124983,32.73751983
280,"TMA-ZAIN-G-281",-80.47124983,32.73751983
281,"TMA-ZAIN-G-282",-80.47124983,32.73751983
282,"TMA-ZAIN-G-283",-80.47124983,32.73751983
283,"TMA-ZAIN-G-284",-80.47124983,32.73751983
284,"TMA-ZAIN-G-285",-80.49097,32.74972222
285,"TMA-ZAIN-G-286",-80.49097,32.74972222
286,"TMA-ZAIN-G-287",-80.49097,32.74972222
287,"TMA-ZAIN-G-288",-80.49097,32.74972222
288,"TMA-ZAIN-G-289",-80.49097,32.74972222
289,"TMA-ZAIN-G-290",-80.49097,32.74972222
290,"TMA-ZAIN-G-291",-80.49097,32.74972222
291,"TMA-ZAIN-G-292",-80.49097,32.74972222
292,"TMA-ZAIN-G-293",-77.28160231,28.65975111
293,"TMA-ZAIN-G-294",-78.27859619,32.89267869
294,"TMA-ZAIN-G-295",-78.27859619,32.89267869
295,"TMA-ZAIN-G-296",-78.27859619,32.89267869
296,"TMA-ZAIN-G-297",-78.27859619,32.89267869
297,"TMA-ZAIN-G-298",-78.27859619,32.89267869
298,"TMA-ZAIN-G-299",-78.27859619,32.89267869
299,"TMA-ZAIN-G-300",-78.27859619,32.89267869
300,"TMA-ZAIN-G-301",-78.27859619,32.89267869
301,"TMA-ZAIN-G-302",-78.27859619,32.89267869
302,"TMA-ZAIN-G-303",-78.27859619,32.89267869
303,"TMA-ZAIN-G-304",-78.27859619,32.89267869
304,"TMA-ZAIN-G-305",-78.27859619,32.89267869
305,"TMA-ZAIN-G-306",-77.28137561,28.661802
306,"TMA-ZAIN-G-360",-78.3581643,31.568534
307,"TMA-ZAIN-G-361",-78.3590571,31.5684486
308,"TMA-ZAIN-G-362",-78.3589287,31.5684163
309,"TMA-ZAIN-G-363",-78.3581928,31.5684787
310,"TMA-ZAIN-G-364",-78.3582652,31.5685175
311,"TMA-ZAIN-G-365",-78.358921,31.5684104
312,"TMA-ZAIN-G-366",-78.3570361,31.5684852
313,"TMA-ZAIN-G-367",-78.7726145,29.1047937
314,"TMA-ZAIN-G-370",-78.7730695,29.1049352
315,"TMA-ZAIN-G-371",-78.7730866,29.1048205
316,"TMA-ZAIN-G-373",-78.7713495,29.1064174
317,"TMA-ZAIN-G-374",-78.7719765,29.106093
318,"TMA-ZAIN-G-376",-78.7713495,29.1064174
319,"TMA-ZAIN-G-377",-78.7718063,29.1089668
320,"TMA-ZAIN-G-385",-78.7489205,27.5729838
321,"TMA-ZAIN-G-386",-78.7490385,27.5733076
