Tissue_ID,Botanic_Garden,Accession
QAc-G-0001,Bartlett,2015-0458*B
QAc-G-0002,Bartlett,2015-0458*C
QAc-G-0003,MBG,2017-2653-2
QAc-G-0004,MBG,2017-2652-2
QAc-G-0005,MBG,2017-2651-2
QAc-G-0006,MBG,2017-2650-2
QAc-G-0007,MBG,2017-2654-2
QAc-G-0008,MBG,2017-2655-2
QAc-G-0009,MBG,1992-1254-11
QAc-G-0010,TMA,702-50*1
QAc-G-0011,TMA,14-2013*1
QAc-G-0012,TMA,14-2013*2
QAc-G-0013,TMA,14-2013*3
QAc-G-0014,TMA,14-2013*4
QAc-G-0015,TMA,469-2015*1
QAc-G-0016,HBG,133381*1
QAc-G-0017,HBG,133381*2
QAc-G-0018,HBG,133381*3
QAc-G-0019,HBG,133381*4
QAc-G-0020,HBG,133381*6
QAc-G-0021,HBG,133382*1
QAc-G-0022,HBG,133382*2
QAc-G-0023,HBG,133382*3
QAc-G-0024,HBG,133382*5
QAc-G-0025,USNA,D2017-0698
QAc-G-0026,USNA,D2017-0699
QAc-G-0027,USNA,D2017-0700
QAc-G-0028,USNA,D2017-0701
QAc-G-0029,AP,APO1884
QAc-G-0030,AP,APO1885
QAc-G-0031,AP,APO1889
QAc-G-0032,DBG,173605*1
QAc-G-0033,DBG,173607*1
QAc-G-0034,DBG,173607*10
QAc-G-0035,DBG,173607*11
QAc-G-0036,DBG,173607*12
QAc-G-0037,DBG,173607*13
QAc-G-0038,DBG,173607*14
QAc-G-0039,DBG,173607*15
QAc-G-0040,DBG,173607*16
QAc-G-0041,DBG,173607*2
QAc-G-0042,DBG,173607*3
QAc-G-0043,DBG,173607*4
QAc-G-0044,DBG,173607*5
QAc-G-0045,DBG,173607*6
QAc-G-0046,DBG,173607*7
QAc-G-0047,DBG,173607*8
QAc-G-0048,DBG,173607*9
QAc-G-0049,DBG,173608*1
QAc-G-0050,DBG,173608*10
QAc-G-0051,DBG,173608*11
QAc-G-0052,DBG,173608*12
QAc-G-0053,DBG,173608*2
QAc-G-0054,DBG,173608*3
QAc-G-0055,DBG,173608*4
QAc-G-0056,DBG,173608*5
QAc-G-0057,DBG,173608*6
QAc-G-0058,DBG,173608*7
QAc-G-0059,DBG,173608*8
QAc-G-0060,DBG,173608*9
QAc-G-0061,Arnold,630-91*B
QAc-G-0062,Arnold,344-89*A
QAc-G-0063,Arnold,21804*B
QAc-G-0064,Arnold,369-2017*A
QAc-G-0065,Arnold,369-2017*B
QAc-G-0066,Arnold,369-2017*C
QAc-G-0067,Arnold,369-2017*D
QAc-G-0068,Arnold,370-2017*A
QAc-G-0069,Arnold,370-2017*C
QAc-G-0070,Arnold,371-2017*A
QAc-G-0071,Arnold,371-2017*B
QAc-G-0072,Arnold,371-2017*D
QAc-G-0073,Arnold,372-2017*A
QAc-G-0074,Arnold,372-2017*B
QAc-G-0075,Arnold,372-2017*C
QAc-G-0076,Arnold,372-2017*D
QAc-G-0077,Arnold,373-2017*A
QAc-G-0078,Arnold,373-2017*B
QAc-G-0079,Arnold,373-2017*C
QAc-G-0080,Arnold,373-2017*D
QAc-G-0081,Arnold,631-91*B
QAc-G-0082,Arnold,631-91*C
QAc-G-0083,Arnold,351-2014*A
QAc-G-0106,TMA,519-2018*1
QAc-G-0107,TMA,519-2018*2
QAc-G-0108,TMA,519-2018*3
QAc-G-0109,TMA,519-2018*4
QAc-G-0110,TMA,519-2018*5
QAc-G-0111,TMA,519-2018*6
QAc-G-0112,TMA,519-2018*7
QAc-G-0113,TMA,519-2018*8
QAc-G-0114,TMA,519-2018*9
QAc-G-0115,TMA,519-2018*10
QAc-G-0116,TMA,519-2018*11
QAc-G-0117,TMA,519-2018*12
QAc-G-0118,TMA,519-2018*13
QAc-G-0119,TMA,519-2018*14
QAc-G-0120,TMA,519-2018*15
QAc-G-0121,TMA,519-2018*16
QAc-G-0122,TMA,519-2018*17
QAc-G-0123,TMA,519-2018*18
QAc-G-0124,TMA,519-2018*19
QAc-G-0125,TMA,519-2018*20
QAc-G-0126,TMA,519-2018*21
QAc-G-0127,TMA,519-2018*22
QAc-G-0128,TMA,519-2018*23
QAc-G-0129,TMA,519-2018*24
QAc-G-0130,TMA,519-2018*25
QAc-G-0131,TMA,520-2018*1
QAc-G-0132,TMA,520-2018*2
QAc-G-0133,TMA,520-2018*3
QAc-G-0134,TMA,520-2018*4
QAc-G-0135,TMA,520-2018*5
QAc-G-0136,TMA,520-2018*6
QAc-G-0137,TMA,520-2018*7
QAc-G-0138,TMA,520-2018*8
QAc-G-0139,TMA,520-2018*9
QAc-G-0140,TMA,520-2018*10
QAc-G-0141,TMA,520-2018*11
QAc-G-0142,TMA,520-2018*12
QAc-G-0143,TMA,520-2018*13
QAc-G-0144,TMA,520-2018*14
QAc-G-0145,TMA,520-2018*15
QAc-G-0146,TMA,520-2018*16
QAc-G-0147,TMA,520-2018*17
QAc-G-0148,TMA,520-2018*18
QAc-G-0149,TMA,520-2018*19
QAc-G-0150,TMA,520-2018*20
QAc-G-0151,TMA,520-2018*21
QAc-G-0152,TMA,520-2018*22
QAc-G-0153,TMA,520-2018*23
QAc-G-0154,TMA,520-2018*24
QAc-G-0155,TMA,520-2018*25
QAc-G-0156,TMA,521-2018*1
QAc-G-0157,TMA,521-2018*2
QAc-G-0158,TMA,521-2018*3
QAc-G-0159,TMA,521-2018*4
QAc-G-0160,TMA,521-2018*5
QAc-G-0161,TMA,521-2018*6
QAc-G-0162,TMA,521-2018*7
QAc-G-0163,TMA,521-2018*8
QAc-G-0164,TMA,521-2018*9
QAc-G-0165,TMA,521-2018*10
QAc-G-0166,TMA,521-2018*11
QAc-G-0167,TMA,521-2018*12
QAc-G-0168,TMA,521-2018*13
QAc-G-0169,TMA,521-2018*14
QAc-G-0170,TMA,521-2018*15
QAc-G-0171,TMA,521-2018*16
QAc-G-0172,TMA,521-2018*17
QAc-G-0173,TMA,521-2018*18
QAc-G-0174,TMA,521-2018*19
QAc-G-0175,TMA,521-2018*20
QAc-G-0176,TMA,521-2018*21
QAc-G-0177,TMA,521-2018*22
QAc-G-0178,TMA,521-2018*23
QAc-G-0179,TMA,521-2018*24
QAc-G-0180,TMA,521-2018*25
QAc-G-0181,TMA,521-2018*26
QAc-G-0182,TMA,521-2018*27
QAc-G-0183,TMA,521-2018*28
QAc-G-0184,TMA,521-2018*29
QAc-G-0185,TMA,522-2018*1
QAc-G-0186,TMA,522-2018*2
QAc-G-0187,TMA,522-2018*3
QAc-G-0188,TMA,522-2018*4
QAc-G-0189,TMA,522-2018*5
QAc-G-0190,TMA,522-2018*6
QAc-G-0191,TMA,522-2018*7
QAc-G-0192,TMA,522-2018*8
QAc-G-0193,TMA,522-2018*9
QAc-G-0194,TMA,522-2018*10
QAc-G-0195,TMA,522-2018*11
QAc-G-0196,TMA,522-2018*12
QAc-G-0197,TMA,522-2018*13
QAc-G-0198,TMA,522-2018*14
QAc-G-0199,TMA,522-2018*15
QAc-G-0200,TMA,522-2018*16
QAc-G-0201,TMA,522-2018*17
QAc-G-0202,TMA,522-2018*18
QAc-G-0203,TMA,522-2018*19
QAc-G-0204,TMA,523-2018*1
QAc-G-0205,TMA,523-2018*2
QAc-G-0206,TMA,523-2018*3
QAc-G-0207,TMA,523-2018*4
QAc-G-0208,TMA,523-2018*5
QAc-G-0209,TMA,523-2018*6
QAc-G-0210,TMA,523-2018*7
QAc-G-0211,TMA,523-2018*8
QAc-G-0212,TMA,523-2018*9
QAc-G-0213,TMA,523-2018*10
QAc-G-0214,TMA,523-2018*11
QAc-G-0215,TMA,523-2018*12
QAc-G-0216,TMA,523-2018*13
QAc-G-0217,TMA,523-2018*14
QAc-G-0218,TMA,523-2018*15
QAc-G-0219,TMA,523-2018*16
QAc-G-0220,TMA,523-2018*17
QAc-G-0221,TMA,523-2018*18
QAc-G-0222,TMA,523-2018*19
QAc-G-0223,TMA,523-2018*20
QAc-G-0224,TMA,523-2018*21
QAc-G-0226,TMA,546-2018*1
QAc-G-0227,TMA,546-2018*2
QAc-G-0228,TMA,546-2018*3
QAc-G-0229,TMA,546-2018*4
QAc-G-0230,TMA,546-2018*5
QAc-G-0231,TMA,546-2018*6
QAc-G-0232,TMA,546-2018*7
QAc-G-0233,TMA,546-2018*8
QAc-G-0234,TMA,546-2018*9
QAc-G-0235,TMA,546-2018*10
QAc-G-0236,TMA,546-2018*11
QAc-G-0237,TMA,546-2018*12
QAc-G-0238,TMA,546-2018*13
QAc-G-0239,TMA,546-2018*14
QAc-G-0240,TMA,546-2018*15
QAc-G-0241,TMA,546-2018*16
QAc-G-0242,TMA,546-2018*17
QAc-G-0243,TMA,546-2018*18
QAc-G-0244,TMA,546-2018*19
QAc-G-0245,TMA,546-2018*20
QAc-G-0246,TMA,546-2018*21
QAc-G-0247,TMA,546-2018*22
QAc-G-0248,TMA,18-2013*1
QAc-G-0249,TTA,TR20797
QAc-G-0250,Meise,19891628
QAc-G-0251,Peckerwood,TDAAR17-015*A
QAc-G-0252,Peckerwood,TDAAR17-015*B
QAc-G-0253,Peckerwood,TDAAR17-017*A
QAc-G-0254,Peckerwood,TDAAR17-017*B
QAc-G-0255,Peckerwood,Magazine Mtn 001*01
QAc-G-0256,Peckerwood,Magazine Mtn 001*02
QAc-G-0257,Peckerwood,Magazine Mtn 001*03
QAc-G-0258,Peckerwood,Magazine Mtn 001*04
QAc-G-0259,Peckerwood,Magazine Mtn 002*01
QAc-G-0260,Peckerwood,Magazine Mtn 002*02
QAc-G-0261,Peckerwood,Magazine Mtn 002*03
QAc-G-0262,Peckerwood,Magazine Mtn 002*04
QAc-G-0263,ZBGP,0302-06-70
QAc-G-0264,ZBGP,0302-06-73
QAc-G-0265,MA,2013-107
QAc-G-0266,MA,2013-107
QAc-G-0267,MA,2014-224
QAc-G-0268,MA,2017-244
QAc-G-0269,MA,2017-244
QAc-G-0270,MA,2017-245
QAc-G-0271,MA,2017-245
QAc-G-0272,MA,2017-245
QAc-G-0273,MA,2018-131
QAc-G-0274,MA,2018-134
