Ind,Pop,Long,Lat
ZFBP101,BP1,-81.1400116,29.43345088
ZFBP102,BP1,-81.14016783,29.43332196
ZFBP103,BP1,-81.14002643,29.43325097
ZFBP104,BP1,-81.14009676,29.43328567
ZFBP105,BP1,-81.13993691,29.43302197
ZFBP106,BP1,-81.13992384,29.43295601
ZFBP107,BP1,-81.14003272,29.43290697
ZFBP108,BP1,-81.13977623,29.43290563
ZFBP109,BP1,-81.13964832,29.43255443
ZFBP110,BP1,-81.13956786,29.43252074
ZFBP111,BP1,-81.13951396,29.43223156
ZFBP112,BP1,-81.13949225,29.43218638
ZFBP113,BP1,-81.13946954,29.43202763
ZFBP114,BP1,-81.13954171,29.43170534
ZFBP115,BP1,-81.13967523,29.43149353
ZFBP116,BP1,-81.13941078,29.43141893
ZFBP117,BP1,-81.13927172,29.43144609
ZFBP118,BP1,-81.13909478,29.43143738
ZFBP119,BP1,-81.13915128,29.43140108
ZFBP120,BP1,-81.14032265,29.43192319
ZFBP121,BP1,-81.14048693,29.43172596
ZFBP122,BP1,-81.14067871,29.4315445
ZFBP123,BP1,-81.14063974,29.43134333
ZFBP124,BP1,-81.14104081,29.43133126
ZFBP125,BP1,-81.14118833,29.43032065
ZFBP126,BP1,-81.14141699,29.42949235
ZFBP127,BP1,-81.14122965,29.42953125
ZFBP128,BP1,-81.14111801,29.42937165
ZFBP129,BP1,-81.14103762,29.42888131
ZFBP130,BP1,-81.14103997,29.42887679
ZFBP131,BP1,-81.14119403,29.42871217
ZFBP132,BP1,-81.1416252,29.42472967
ZFBP133,BP1,-81.14052599,29.42217034
ZFBP134,BP1,-81.14200808,29.42491491
ZFBP135,BP1,-81.14001813,29.43377282
ZFBP136,BP1,-81.1481034,29.43181833
ZFBP201,BP2,-81.1480832,29.43184339
ZFBP202,BP2,-81.14808228,29.4318506
ZFBP203,BP2,-81.14812461,29.43197164
ZFBP204,BP2,-81.14809326,29.43197298
ZFBP205,BP2,-81.14799234,29.43195756
ZFBP206,BP2,-81.14780635,29.43199812
ZFBP207,BP2,-81.14768087,29.43181833
ZFBP208,BP2,-81.14785102,29.4316569
ZFBP209,BP2,-81.14791246,29.4317346
ZFBP210,BP2,-81.14824573,29.43171993
ZFBP211,BP2,-81.14844421,29.43175731
ZFBP212,BP2,-81.14847061,29.43160853
ZFBP213,BP2,-81.14849676,29.4317372
ZFBP214,BP2,-81.14857765,29.43169302
ZFBP215,BP2,-81.14863339,29.43172093
ZFBP216,BP2,-81.14864336,29.43172932
ZFBP217,BP2,-81.14892055,29.4317113
ZFBP218,BP2,-81.14904536,29.43164323
ZFBP219,BP2,-81.14911627,29.43164173
ZFBP220,BP2,-81.14943503,29.43155447
ZFBP221,BP2,-81.14949874,29.43141927
