Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0001,/BTRL,Magazine,99.331,NA,Pryor,0.657,Porter,0.012,Sugar_Loaf,0
QAc-G-0002,/BTRL,Magazine,99.199,NA,Pryor,0.729,Porter,0.072,Sugar_Loaf,0
QAc-G-0003,/MBG,Pryor,60.773,NA,Magazine,38.594,Porter,0.633,Sugar_Loaf,0
QAc-G-0004,/MBG,Magazine,99.999,NA,Pryor,0.001,Sugar_Loaf,0,Porter,0
QAc-G-0005,/MBG,Pryor,87.576,NA,Magazine,6.547,Porter,5.878,Sugar_Loaf,0
QAc-G-0006,/MBG,Magazine,99.961,NA,Porter,0.025,Sugar_Loaf,0.014,Pryor,0
QAc-G-0010,/TMA,Magazine,88.108,NA,Pryor,7.133,Porter,4.759,Sugar_Loaf,0
QAc-G-0011,/TMA,Porter,69.596,NA,Pryor,29.693,Magazine,0.711,Sugar_Loaf,0
QAc-G-0015,/TMA,Pryor,95.953,NA,Magazine,4.04,Sugar_Loaf,0.004,Porter,0.004
QAc-G-0016,/HBG,Magazine,99.782,NA,Pryor,0.169,Porter,0.043,Sugar_Loaf,0.006
QAc-G-0017,/HBG,Magazine,56.977,Porter,Pryor,40.348,Porter,2.64,Sugar_Loaf,0.034
QAc-G-0018,/HBG,Pryor,65.929,Porter,Magazine,33.943,Porter,0.128,Sugar_Loaf,0
QAc-G-0019,/HBG,Pryor,96.502,Porter,Porter,3.187,Magazine,0.311,Sugar_Loaf,0
QAc-G-0020,/HBG,Magazine,98.676,Porter,Porter,1.179,Pryor,0.145,Sugar_Loaf,0
QAc-G-0021,/HBG,Porter,69.052,Pryor,Magazine,30.876,Pryor,0.057,Sugar_Loaf,0.015
QAc-G-0022,/HBG,Porter,91.295,Pryor,Sugar_Loaf,5.547,Magazine,2.85,Pryor,0.309
QAc-G-0023,/HBG,Pryor,99.996,Pryor,Magazine,0.003,Porter,0.001,Sugar_Loaf,0
QAc-G-0024,/HBG,Pryor,61.216,Pryor,Magazine,37.578,Porter,1.206,Sugar_Loaf,0
QAc-G-0025,/USNA,Magazine,88.163,Magazine,Pryor,11.827,Porter,0.01,Sugar_Loaf,0
QAc-G-0028,/USNA,Pryor,90.042,Porter,Magazine,9.824,Porter,0.133,Sugar_Loaf,0
QAc-G-0029,/AP,Magazine,99.987,Pryor,Porter,0.012,Pryor,0.002,Sugar_Loaf,0
QAc-G-0030,/AP,Pryor,77.595,Pryor,Magazine,21.801,Porter,0.604,Sugar_Loaf,0
QAc-G-0031,/AP,Pryor,77.257,Pryor,Porter,12.546,Magazine,10.197,Sugar_Loaf,0
QAc-G-0032,/DBG,Magazine,99.913,Magazine,Pryor,0.086,Porter,0.001,Sugar_Loaf,0
QAc-G-0033,/DBG,Magazine,99.736,Porter,Pryor,0.187,Porter,0.078,Sugar_Loaf,0
QAc-G-0034,/DBG,Magazine,90.052,Porter,Pryor,9.734,Porter,0.214,Sugar_Loaf,0
QAc-G-0035,/DBG,Pryor,83.572,Porter,Magazine,16.427,Porter,0.002,Sugar_Loaf,0
QAc-G-0036,/DBG,Pryor,54.414,Porter,Porter,44.616,Magazine,0.932,Sugar_Loaf,0.038
QAc-G-0037,/DBG,Magazine,97.235,Porter,Pryor,2.56,Porter,0.189,Sugar_Loaf,0.016
QAc-G-0038,/DBG,Magazine,99.897,Porter,Pryor,0.078,Porter,0.023,Sugar_Loaf,0.002
QAc-G-0039,/DBG,Porter,73.313,Porter,Magazine,22.626,Sugar_Loaf,3.956,Pryor,0.105
QAc-G-0040,/DBG,Magazine,98.981,Porter,Pryor,0.524,Porter,0.495,Sugar_Loaf,0
QAc-G-0041,/DBG,Magazine,75.584,Porter,Pryor,24.288,Porter,0.128,Sugar_Loaf,0
QAc-G-0042,/DBG,Magazine,92.645,Porter,Pryor,7.312,Porter,0.025,Sugar_Loaf,0.019
QAc-G-0043,/DBG,Magazine,72.667,Porter,Pryor,24.772,Porter,2.469,Sugar_Loaf,0.092
QAc-G-0044,/DBG,Magazine,84.757,Porter,Pryor,12.145,Porter,3.098,Sugar_Loaf,0
QAc-G-0045,/DBG,Pryor,59.67,Porter,Magazine,40.23,Porter,0.1,Sugar_Loaf,0
QAc-G-0046,/DBG,Magazine,59.492,Porter,Porter,40.186,Pryor,0.316,Sugar_Loaf,0.006
QAc-G-0047,/DBG,Pryor,64.327,Porter,Magazine,35.412,Porter,0.259,Sugar_Loaf,0.002
QAc-G-0048,/DBG,Magazine,89.1,Porter,Porter,10.536,Sugar_Loaf,0.289,Pryor,0.075
QAc-G-0049,/DBG,Magazine,99.929,Pryor,Pryor,0.055,Porter,0.016,Sugar_Loaf,0
QAc-G-0050,/DBG,Magazine,98.902,Pryor,Porter,0.884,Pryor,0.194,Sugar_Loaf,0.02
QAc-G-0051,/DBG,Pryor,88.752,Pryor,Magazine,11.082,Porter,0.166,Sugar_Loaf,0
QAc-G-0052,/DBG,Magazine,82.118,Pryor,Pryor,17.834,Porter,0.047,Sugar_Loaf,0.001
QAc-G-0053,/DBG,Magazine,97.607,Pryor,Pryor,1.441,Porter,0.95,Sugar_Loaf,0.001
QAc-G-0054,/DBG,Pryor,77.199,Pryor,Magazine,19.412,Sugar_Loaf,2.908,Porter,0.481
QAc-G-0055,/DBG,Magazine,99.152,Pryor,Sugar_Loaf,0.401,Pryor,0.342,Porter,0.104
QAc-G-0056,/DBG,Magazine,99.449,Pryor,Pryor,0.365,Porter,0.186,Sugar_Loaf,0.001
QAc-G-0057,/DBG,Magazine,99.821,Pryor,Pryor,0.175,Porter,0.004,Sugar_Loaf,0
QAc-G-0058,/DBG,Pryor,97.842,Pryor,Porter,1.596,Magazine,0.562,Sugar_Loaf,0
QAc-G-0059,/DBG,Magazine,99.646,Pryor,Pryor,0.268,Porter,0.053,Sugar_Loaf,0.033
QAc-G-0060,/DBG,Magazine,86.932,Pryor,Porter,13.065,Pryor,0.003,Sugar_Loaf,0.001
QAc-G-0061,/AA,Magazine,48.645,NA,Pryor,45.527,Porter,5.828,Sugar_Loaf,0
