Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0001,/BTRL,Magazine,28.975,NA,Pryor,24.093,Porter,23.603,Sugar_Loaf,23.328
QAc-G-0002,/BTRL,Magazine,28.2,NA,Pryor,26.152,Porter,24.483,Sugar_Loaf,21.165
QAc-G-0003,/MBG,Pryor,29.886,NA,Magazine,24.816,Porter,24.388,Sugar_Loaf,20.91
QAc-G-0004,/MBG,Magazine,28.34,NA,Sugar_Loaf,24.259,Porter,24.164,Pryor,23.236
QAc-G-0005,/MBG,Porter,27.774,NA,Pryor,27.261,Magazine,25.015,Sugar_Loaf,19.951
QAc-G-0006,/MBG,Magazine,28.648,NA,Sugar_Loaf,26.025,Porter,24.491,Pryor,20.835
QAc-G-0010,/TMA,Pryor,27.081,NA,Porter,24.83,Magazine,24.767,Sugar_Loaf,23.323
QAc-G-0011,/TMA,Porter,29.506,NA,Pryor,26.503,Magazine,23.178,Sugar_Loaf,20.813
QAc-G-0015,/TMA,Pryor,26.397,NA,Magazine,25.907,Porter,24.565,Sugar_Loaf,23.131
QAc-G-0016,/HBG,Magazine,26.384,NA,Pryor,25.031,Sugar_Loaf,24.618,Porter,23.967
QAc-G-0017,/HBG,Magazine,26.167,Porter,Porter,25.587,Pryor,24.826,Sugar_Loaf,23.42
QAc-G-0018,/HBG,Pryor,26.809,Porter,Magazine,25.935,Porter,23.984,Sugar_Loaf,23.271
QAc-G-0019,/HBG,Porter,28.641,Porter,Pryor,27.248,Magazine,24.762,Sugar_Loaf,19.35
QAc-G-0020,/HBG,Magazine,26.989,Porter,Porter,26.846,Pryor,23.293,Sugar_Loaf,22.871
QAc-G-0021,/HBG,Porter,27.029,Pryor,Magazine,25.091,Pryor,24.608,Sugar_Loaf,23.273
QAc-G-0022,/HBG,Porter,27.85,Pryor,Magazine,26.159,Sugar_Loaf,23.004,Pryor,22.987
QAc-G-0023,/HBG,Pryor,27.631,Pryor,Magazine,24.804,Porter,24.146,Sugar_Loaf,23.419
