Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-1,/MBC,SW,6.283,NWS_North,CC,5.051,ENP,5.048,BP,4.669,LTI,4.515
TMA-ZAIN-G-2,/MBC,SW,7.781,NWS_North,B,7.535,K,6.694,TS,6.027,CF,5.1
TMA-ZAIN-G-3,/MBC,LTI,6.852,ONF,WB,6.007,TSP,5.967,TSP,5.371,ENP,5.3
TMA-ZAIN-G-4,/MBC,ENP,6.901,NWS_South,K,5.345,LB,4.879,BP,4.756,CC,4.739
TMA-ZAIN-G-5,/MBC,SW,7.912,NWS_North,TS,6.311,B,5.86,ZFCR,5.131,SW,4.907
TMA-ZAIN-G-6,/MBC,WB,6.204,ONF,LTI,5.486,O,5.268,CC,5.239,CNS,4.942
TMA-ZAIN-G-7,/MBC,WB,5.968,LTI,ENP,5.571,TSP,5.193,BP,5.029,O,4.939
TMA-ZAIN-G-8,/MBC,LTI,7.508,LTI,WB,5.731,ONF,5.318,BP,5.197,BP,4.948
TMA-ZAIN-G-9,/MBC,WB,7.014,FDSP,BP,6.817,ONF,6.615,BP,6.413,ZFFDSP,6.329
TMA-ZAIN-G-10,/MBC,ENP,7.57,FDSP,WB,6.089,BP,5.7,TSP,5.503,BP,5.496
TMA-ZAIN-G-11,/MBC,O,6.03,FDSP,CC,5.647,BP,5.194,TSP,5.167,CNS,5.021
TMA-ZAIN-G-12,/MBC,TS,6.9,FDSP,K,6.497,B,5.758,SW,5.676,BP,5.653
TMA-ZAIN-G-13,/MBC,BP,6.858,FDSP,BP,5.945,ZFFDSP,5.67,TSP,5.256,O,5.212
TMA-ZAIN-G-14,/MBC,ENP,7.976,CNS,CNS,7.561,CC,5.947,O,5.517,CF,4.663
TMA-ZAIN-G-15,/MBC,CNS,10.065,CNS,CC,5.939,ENP,5.777,O,5.461,TSP,4.791
TMA-ZAIN-G-16,/MBC,ENP,6.157,FDSP,BP,6.016,K,5.733,LB,5.508,BP,5.427
TMA-ZAIN-G-17,/MBC,ENP,6.384,NWS_North,CF,4.973,LTI,4.756,BP,4.752,WB,4.614
TMA-ZAIN-G-18,/MBC,ENP,9.139,ENP,BP,6.214,CF,5.597,LB,5.095,K,4.809
TMA-ZAIN-G-19,/MBC,ENP,9.01,ENP,BP,7.312,CF,5.348,LB,5.264,K,4.947
TMA-ZAIN-G-20,/MBC,ENP,6.013,ENP,CC,6.008,CF,5.094,CNS,4.998,O,4.974
TMA-ZAIN-G-21,/MBC,BP,10.554,PB,LB,9.477,K,6.628,ENP,5.516,CF,4.878
TMA-ZAIN-G-22,/MBC,TS,8.465,TS,SW,7.376,B,5.735,SW,4.737,K,4.631
TMA-ZAIN-G-23,/MBC,TS,6.29,TS,SW,6.01,ZFSF,4.691,B,4.678,SW,4.564
TMA-ZAIN-G-24,/MBC,TS,7.884,TS,BP,6.208,WB,5.261,SW,5.218,ZFFDSP,5.21
TMA-ZAIN-G-25,/MBC,LB,8.19,NWS_South,K,6.533,ENP,5.959,BP,5.199,CF,5.139
TMA-ZAIN-G-26,/MBC,BP,10.04,OS,LB,8.445,K,7.545,O,4.975,ENP,4.63
TMA-ZAIN-G-27,/MBC,ENP,8.523,CR,WB,5.857,CNS,4.978,BP,4.909,O,4.723
TMA-ZAIN-G-28,/MBC,WB,8.017,NWS_North,ENP,7.531,LTI,5.234,TSP,4.838,CNS,4.702
TMA-ZAIN-G-29,/MBC,ONF,9.955,ONF,BP,5.532,ZFFDSP,5.445,BP,5.427,LTI,5.32
TMA-ZAIN-G-30,/MBC,ENP,8.728,WB,WB,7.238,TSP,4.773,BP,4.671,BP,4.556
TMA-ZAIN-G-31,/MBC,B,8.432,W,TS,6.114,SW,5.821,ZFW,4.756,O,4.721
TMA-ZAIN-G-32,/MBC,SW,7.143,SW,TS,6.701,K,6.114,B,5.236,O,4.583
TMA-ZAIN-G-33,/MBC,BP,7.171,NWS_North,WB,6.409,ZFFDSP,6.171,TSP,6.17,BP,5.944
TMA-ZAIN-G-34,/MBC,BP,6.017,ONF,SW,5.463,BP,5.41,TS,5.149,SW,4.817
TMA-ZAIN-G-35,/MBC,WB,7.369,ONF,TS,6.786,BP,5.444,BP,5.011,SW,4.903
TMA-ZAIN-G-36,/MBC,WB,6.674,NWS_North,ENP,6.028,TSP,5.703,O,5.285,TSP,5.059
TMA-ZAIN-G-37,/MBC,TSP,6.58,SF,BP,6.432,BP,5.516,TSP,5.51,O,5.298
TMA-ZAIN-G-38,/MBC,ENP,6.515,I,B,5.83,TS,5.749,LB,5.396,BP,4.849
TMA-ZAIN-G-39,/MBC,BP,7.107,BP,ZFFDSP,5.766,ENP,5.61,BP,5.573,LB,5.483
TMA-ZAIN-G-40,/MBC,LB,8.138,BP,K,6.968,BP,6.178,TSP,5.887,ZFFDSP,5.129
TMA-ZAIN-G-41,/MBC,BP,9.157,TS,ENP,8.14,LB,7.969,CF,5.723,TSP,5.318
TMA-ZAIN-G-42,/MBC,ENP,8.214,TS,LB,5.974,BP,5.636,CF,5.475,TSP,4.858
TMA-ZAIN-G-43,/MBC,CNS,6.586,CNS,CC,5.613,ENP,5.246,LTI,4.87,CF,4.485
TMA-ZAIN-G-44,/MBC,BP,12.59,LB,LB,8.464,ENP,5.892,K,5.557,CF,4.799
TMA-ZAIN-G-45,/MBC,LB,7.114,FDSP,ENP,6.175,BP,6.049,TSP,5.628,K,5.248
TMA-ZAIN-G-46,/MBC,LB,7.966,PB,BP,7.754,K,7.568,ENP,5.832,CF,5.031
TMA-ZAIN-G-47,/MBC,BP,7.933,CC,K,7.453,LB,7.04,ENP,6.711,CF,5.007
TMA-ZAIN-G-48,/MBC,CC,6.473,NWS_South,O,6.086,BP,5.4,BP,5.021,K,5.004
TMA-ZAIN-G-49,/MBC,K,6.35,NWS_South,ENP,5.733,BP,5.26,BP,5.184,LB,4.925
TMA-ZAIN-G-50,/MBC,ENP,7.547,NWS_South,BP,5.47,CF,5.16,LTI,4.906,WB,4.705
TMA-ZAIN-G-51,/MBC,BP,11.779,NWS_South,LB,8.192,ENP,7.464,K,5.91,CF,5.398
TMA-ZAIN-G-52,/MBC,K,10.724,NWS_South,B,6.517,LB,5.966,SW,5.486,TS,5.406
TMA-ZAIN-G-53,/MBC,LB,7.784,NWS_South,ENP,7.714,K,7.52,BP,6.732,CF,5.435
TMA-ZAIN-G-54,/MBC,CC,10.168,OS,O,7.256,CNS,5.388,ENP,4.874,ZFCR,4.199
TMA-ZAIN-G-55,/MBC,CC,7.347,OS,O,5.662,K,5.211,ENP,4.923,CNS,4.864
