Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-1,/MBC,SF,4.753,NWS_North,CR,4.542,W,4.537,ZFSW2,4.433,B,4.392
TMA-ZAIN-G-2,/MBC,SW,5.15,NWS_North,B,4.768,CR,4.754,ENP,4.338,W,4.337
TMA-ZAIN-G-3,/MBC,B,4.868,ONF,ONF,4.586,BP,4.324,ONF,4.301,ZFFDSP,4.265
TMA-ZAIN-G-4,/MBC,B,4.605,NWS_South,BP,4.522,LB,4.416,ONF,4.402,BP,4.32
TMA-ZAIN-G-5,/MBC,CR,4.946,NWS_North,W,4.555,SF,4.51,WB,4.508,SW,4.438
TMA-ZAIN-G-6,/MBC,B,4.389,ONF,ONF,4.3,CC,4.294,BP,4.273,TS,4.262
TMA-ZAIN-G-7,/MBC,ONF,4.767,LTI,TS,4.575,BP,4.44,CR,4.338,BP,4.328
TMA-ZAIN-G-8,/MBC,ONF,4.461,LTI,CR,4.396,SF,4.327,ONF,4.28,BP,4.262
TMA-ZAIN-G-9,/MBC,ONF,5.012,FDSP,ONF,4.4,BP,4.348,ENP,4.316,CF,4.296
TMA-ZAIN-G-10,/MBC,B,4.871,FDSP,TS,4.601,BP,4.311,ENP,4.299,CF,4.271
TMA-ZAIN-G-11,/MBC,ONF,4.637,FDSP,BP,4.434,CF,4.399,LB,4.396,TSP,4.285
TMA-ZAIN-G-12,/MBC,B,5.132,FDSP,CR,4.474,BP,4.358,CF,4.287,ONF,4.252
TMA-ZAIN-G-13,/MBC,ONF,4.987,FDSP,BP,4.858,BP,4.852,TSP,4.61,O,4.42
TMA-ZAIN-G-14,/MBC,B,4.997,CNS,TS,4.68,CC,4.326,CR,4.278,O,4.25
TMA-ZAIN-G-15,/MBC,B,4.537,CNS,CC,4.437,O,4.389,CR,4.312,W,4.309
TMA-ZAIN-G-16,/MBC,B,4.829,FDSP,ONF,4.63,BP,4.486,BP,4.434,TSP,4.372
TMA-ZAIN-G-17,/MBC,ENP,4.429,NWS_North,CF,4.362,B,4.306,CR,4.254,SF,4.209
TMA-ZAIN-G-18,/MBC,SF,5.101,ENP,CR,4.607,SW,4.448,CF,4.429,ENP,4.424
TMA-ZAIN-G-19,/MBC,TS,4.861,ENP,CF,4.621,B,4.591,ENP,4.432,SF,4.375
TMA-ZAIN-G-20,/MBC,SF,4.976,ENP,TS,4.651,B,4.645,WB,4.623,SW,4.583
TMA-ZAIN-G-21,/MBC,B,4.581,PB,ENP,4.337,K,4.335,SF,4.25,CR,4.242
TMA-ZAIN-G-22,/MBC,SF,4.813,TS,WB,4.69,SW,4.631,B,4.601,TS,4.588
TMA-ZAIN-G-23,/MBC,SW,4.874,TS,ZFI,4.653,SF,4.611,B,4.521,TS,4.504
TMA-ZAIN-G-24,/MBC,WB,5.411,TS,B,4.686,BP,4.56,BP,4.479,CR,4.386
TMA-ZAIN-G-25,/MBC,B,4.817,NWS_South,ENP,4.611,W,4.597,SF,4.582,CR,4.554
TMA-ZAIN-G-26,/MBC,CF,4.771,OS,ENP,4.613,B,4.589,BP,4.482,LB,4.436
TMA-ZAIN-G-27,/MBC,TS,5.274,CR,BP,4.855,ENP,4.771,LB,4.735,CF,4.6
TMA-ZAIN-G-28,/MBC,TS,5.093,NWS_North,SF,4.781,ENP,4.496,B,4.399,WB,4.377
TMA-ZAIN-G-29,/MBC,WB,4.7,ONF,B,4.533,SF,4.451,ONF,4.412,ENP,4.403
TMA-ZAIN-G-30,/MBC,TS,4.874,WB,B,4.754,ONF,4.405,SF,4.349,BP,4.313
TMA-ZAIN-G-31,/MBC,SF,4.71,W,CR,4.675,W,4.424,WB,4.42,SW,4.393
TMA-ZAIN-G-32,/MBC,B,4.622,SW,ONF,4.516,W,4.381,SW,4.338,CR,4.315
TMA-ZAIN-G-33,/MBC,ONF,4.728,NWS_North,B,4.485,ONF,4.292,CR,4.288,CF,4.204
TMA-ZAIN-G-34,/MBC,ONF,4.757,ONF,B,4.643,BP,4.565,BP,4.264,TSP,4.222
TMA-ZAIN-G-35,/MBC,B,4.843,ONF,W,4.459,TS,4.427,SF,4.401,ZFI,4.315
TMA-ZAIN-G-36,/MBC,CF,4.487,NWS_North,B,4.483,TS,4.376,ONF,4.353,ENP,4.288
TMA-ZAIN-G-37,/MBC,B,4.553,SF,CC,4.469,CF,4.43,LB,4.406,CR,4.303
