Ind,Population,C1,C2,C3
QAc-G-0029,AP,0.013,0.008,0.979
QAc-G-0030,AP,0.004,0.003,0.992
QAc-G-0031,AP,0.006,0.004,0.99
NA,NA,0,0,0
QAc-G-0061,Arnold,0.004,0.005,0.991
QAc-G-0062,Arnold,0.271,0.72,0.009
QAc-G-0063,Arnold,0.945,0.048,0.007
QAc-G-0064,Arnold,0.008,0.987,0.005
QAc-G-0065,Arnold,0.005,0.98,0.015
QAc-G-0066,Arnold,0.99,0.004,0.006
QAc-G-0067,Arnold,0.008,0.959,0.033
QAc-G-0068,Arnold,0.785,0.208,0.007
QAc-G-0070,Arnold,0.882,0.108,0.01
QAc-G-0071,Arnold,0.99,0.004,0.006
QAc-G-0072,Arnold,0.99,0.005,0.005
QAc-G-0073,Arnold,0.006,0.982,0.012
QAc-G-0074,Arnold,0.364,0.63,0.006
QAc-G-0075,Arnold,0.02,0.969,0.011
QAc-G-0076,Arnold,0.014,0.972,0.014
QAc-G-0077,Arnold,0.009,0.006,0.985
QAc-G-0078,Arnold,0.004,0.003,0.993
QAc-G-0079,Arnold,0.006,0.004,0.99
QAc-G-0080,Arnold,0.015,0.27,0.715
QAc-G-0081,Arnold,0.012,0.979,0.009
QAc-G-0082,Arnold,0.005,0.985,0.011
QAc-G-0083,Arnold,0.441,0.473,0.087
NA,NA,0,0,0
QAc-G-0001,Bartlett,0.006,0.004,0.991
QAc-G-0002,Bartlett,0.004,0.003,0.992
NA,NA,0,0,0
QAc-G-0285,CBG,0.974,0.014,0.013
QAc-G-0286,CBG,0.993,0.003,0.004
QAc-G-0287,CBG,0.993,0.003,0.004
QAc-G-0288,CBG,0.978,0.008,0.014
QAc-G-0289,CBG,0.991,0.004,0.005
QAc-G-0290,CBG,0.991,0.005,0.004
QAc-G-0291,CBG,0.99,0.003,0.007
QAc-G-0292,CBG,0.939,0.058,0.004
QAc-G-0293,CBG,0.989,0.003,0.008
QAc-G-0294,CBG,0.006,0.975,0.018
QAc-G-0295,CBG,0.02,0.952,0.028
QAc-G-0296,CBG,0.016,0.979,0.005
QAc-G-0297,CBG,0.004,0.991,0.006
QAc-G-0298,CBG,0.008,0.977,0.015
QAc-G-0299,CBG,0.017,0.973,0.01
QAc-G-0300,CBG,0.006,0.99,0.004
QAc-G-0301,CBG,0.021,0.967,0.013
QAc-G-0302,CBG,0.007,0.988,0.005
QAc-G-0303,CBG,0.013,0.982,0.005
QAc-G-0304,CBG,0.992,0.004,0.005
QAc-G-0305,CBG,0.812,0.047,0.14
QAc-G-0306,CBG,0.992,0.003,0.005
QAc-G-0307,CBG,0.022,0.06,0.918
QAc-G-0308,CBG,0.014,0.011,0.975
QAc-G-0309,CBG,0.006,0.006,0.989
QAc-G-0310,CBG,0.005,0.005,0.99
QAc-G-0311,CBG,0.004,0.003,0.994
QAc-G-0312,CBG,0.008,0.487,0.505
QAc-G-0313,CBG,0.036,0.947,0.016
QAc-G-0314,CBG,0.005,0.984,0.011
QAc-G-0315,CBG,0.032,0.962,0.006
QAc-G-0316,CBG,0.017,0.912,0.071
NA,NA,0,0,0
QAc-G-0032,DBG,0.012,0.981,0.007
QAc-G-0033,DBG,0.008,0.981,0.01
QAc-G-0034,DBG,0.01,0.935,0.055
QAc-G-0035,DBG,0.014,0.978,0.009
QAc-G-0036,DBG,0.03,0.957,0.012
