Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8
QAc-G-0029,AP,0.013,0.019,0.005,0.01,0.003,0.004,0.939,0.006
QAc-G-0030,AP,0.003,0.002,0.003,0.003,0.003,0.002,0.98,0.004
QAc-G-0031,AP,0.004,0.003,0.003,0.003,0.002,0.002,0.977,0.005
QAc-G-0061,Arnold,0.004,0.007,0.005,0.003,0.003,0.007,0.969,0.003
QAc-G-0062,Arnold,0.027,0.007,0.115,0.066,0.006,0.433,0.005,0.341
QAc-G-0063,Arnold,0.554,0.112,0.037,0.09,0.008,0.012,0.005,0.182
QAc-G-0064,Arnold,0.005,0.004,0.003,0.004,0.003,0.972,0.003,0.006
QAc-G-0065,Arnold,0.003,0.003,0.003,0.003,0.004,0.979,0.004,0.002
QAc-G-0066,Arnold,0.979,0.004,0.003,0.003,0.002,0.002,0.004,0.004
QAc-G-0067,Arnold,0.003,0.003,0.004,0.003,0.003,0.975,0.007,0.002
QAc-G-0068,Arnold,0.551,0.003,0.02,0.29,0.123,0.006,0.003,0.004
QAc-G-0070,Arnold,0.533,0.011,0.298,0.023,0.007,0.01,0.006,0.113
QAc-G-0071,Arnold,0.913,0.004,0.007,0.006,0.007,0.003,0.015,0.046
QAc-G-0072,Arnold,0.977,0.004,0.004,0.003,0.003,0.003,0.003,0.003
QAc-G-0073,Arnold,0.003,0.975,0.004,0.004,0.003,0.003,0.004,0.003
QAc-G-0074,Arnold,0.117,0.741,0.035,0.024,0.009,0.004,0.005,0.065
QAc-G-0075,Arnold,0.01,0.948,0.005,0.008,0.009,0.006,0.007,0.006
QAc-G-0076,Arnold,0.011,0.934,0.009,0.022,0.006,0.007,0.008,0.004
QAc-G-0077,Arnold,0.009,0.006,0.002,0.004,0.003,0.008,0.962,0.007
QAc-G-0078,Arnold,0.003,0.002,0.003,0.003,0.003,0.002,0.981,0.004
QAc-G-0079,Arnold,0.004,0.004,0.003,0.003,0.004,0.002,0.974,0.005
QAc-G-0080,Arnold,0.006,0.045,0.006,0.53,0.012,0.021,0.369,0.012
QAc-G-0081,Arnold,0.005,0.02,0.319,0.598,0.016,0.004,0.006,0.031
QAc-G-0082,Arnold,0.002,0.017,0.016,0.941,0.011,0.003,0.003,0.006
QAc-G-0083,Arnold,0.009,0.034,0.011,0.008,0.006,0.012,0.016,0.904
QAc-G-0001,Bartlett,0.005,0.003,0.003,0.003,0.003,0.002,0.977,0.004
QAc-G-0002,Bartlett,0.003,0.003,0.002,0.002,0.003,0.003,0.982,0.002
QAc-G-0285,CBG,0.015,0.004,0.008,0.006,0.008,0.004,0.007,0.949
QAc-G-0286,CBG,0.978,0.003,0.003,0.003,0.002,0.003,0.003,0.006
QAc-G-0287,CBG,0.982,0.002,0.002,0.002,0.002,0.003,0.003,0.003
QAc-G-0288,CBG,0.865,0.019,0.04,0.016,0.007,0.01,0.036,0.007
QAc-G-0289,CBG,0.979,0.003,0.003,0.003,0.003,0.003,0.003,0.003
QAc-G-0290,CBG,0.975,0.004,0.003,0.003,0.003,0.006,0.003,0.004
QAc-G-0291,CBG,0.911,0.007,0.002,0.005,0.003,0.003,0.041,0.027
QAc-G-0292,CBG,0.241,0.004,0.012,0.006,0.009,0.003,0.004,0.72
QAc-G-0293,CBG,0.498,0.003,0.003,0.003,0.003,0.002,0.008,0.482
QAc-G-0294,CBG,0.003,0.954,0.006,0.009,0.012,0.006,0.006,0.003
QAc-G-0295,CBG,0.014,0.947,0.004,0.006,0.003,0.006,0.009,0.01
QAc-G-0296,CBG,0.006,0.964,0.004,0.004,0.004,0.01,0.003,0.005
QAc-G-0297,CBG,0.003,0.389,0.008,0.557,0.031,0.005,0.004,0.003
QAc-G-0298,CBG,0.003,0.971,0.004,0.005,0.004,0.004,0.005,0.005
QAc-G-0299,CBG,0.008,0.966,0.003,0.005,0.006,0.004,0.004,0.004
QAc-G-0300,CBG,0.004,0.951,0.01,0.005,0.005,0.02,0.003,0.003
QAc-G-0301,CBG,0.011,0.895,0.004,0.005,0.004,0.069,0.005,0.007
QAc-G-0302,CBG,0.005,0.011,0.004,0.011,0.955,0.003,0.004,0.006
QAc-G-0303,CBG,0.003,0.007,0.027,0.046,0.899,0.005,0.005,0.008
QAc-G-0304,CBG,0.978,0.004,0.003,0.003,0.002,0.003,0.003,0.005
QAc-G-0305,CBG,0.524,0.006,0.045,0.062,0.081,0.003,0.056,0.223
QAc-G-0306,CBG,0.979,0.002,0.003,0.003,0.002,0.002,0.003,0.005
QAc-G-0307,CBG,0.005,0.01,0.061,0.035,0.013,0.006,0.843,0.027
QAc-G-0308,CBG,0.017,0.014,0.009,0.011,0.011,0.003,0.925,0.01
QAc-G-0309,CBG,0.004,0.004,0.004,0.019,0.004,0.002,0.955,0.007
QAc-G-0310,CBG,0.004,0.004,0.004,0.003,0.003,0.003,0.976,0.004
QAc-G-0311,CBG,0.003,0.002,0.002,0.003,0.002,0.002,0.982,0.003
QAc-G-0312,CBG,0.007,0.049,0.054,0.582,0.045,0.015,0.243,0.005
QAc-G-0313,CBG,0.006,0.019,0.077,0.822,0.006,0.007,0.01,0.053
QAc-G-0314,CBG,0.004,0.172,0.183,0.599,0.02,0.009,0.01,0.003
QAc-G-0315,CBG,0.007,0.011,0.017,0.939,0.01,0.006,0.004,0.005
QAc-G-0316,CBG,0.008,0.007,0.185,0.756,0.006,0.009,0.02,0.01
QAc-G-0032,DBG,0.008,0.011,0.009,0.393,0.43,0.139,0.008,0.003
QAc-G-0033,DBG,0.005,0.966,0.005,0.003,0.004,0.008,0.005,0.004
QAc-G-0034,DBG,0.004,0.924,0.013,0.009,0.01,0.008,0.028,0.004
QAc-G-0035,DBG,0.006,0.957,0.005,0.006,0.005,0.01,0.004,0.007
QAc-G-0036,DBG,0.016,0.933,0.013,0.01,0.005,0.005,0.006,0.014
QAc-G-0037,DBG,0.015,0.954,0.003,0.005,0.003,0.005,0.01,0.006
QAc-G-0038,DBG,0.003,0.978,0.005,0.003,0.003,0.003,0.002,0.003
QAc-G-0039,DBG,0.005,0.913,0.018,0.015,0.012,0.006,0.027,0.004
QAc-G-0040,DBG,0.06,0.835,0.062,0.017,0.006,0.003,0.006,0.01
QAc-G-0041,DBG,0.003,0.909,0.026,0.007,0.003,0.03,0.003,0.02
QAc-G-0042,DBG,0.007,0.967,0.004,0.004,0.005,0.006,0.003,0.004
QAc-G-0043,DBG,0.005,0.968,0.004,0.005,0.003,0.002,0.007,0.004
QAc-G-0044,DBG,0.009,0.923,0.006,0.011,0.013,0.03,0.003,0.004
QAc-G-0045,DBG,0.006,0.936,0.007,0.006,0.005,0.011,0.025,0.004
QAc-G-0046,DBG,0.002,0.91,0.019,0.014,0.003,0.004,0.041,0.006
QAc-G-0047,DBG,0.006,0.921,0.009,0.012,0.014,0.006,0.028,0.004
QAc-G-0048,DBG,0.004,0.968,0.007,0.005,0.004,0.006,0.002,0.005
QAc-G-0049,DBG,0.005,0.003,0.003,0.003,0.002,0.002,0.979,0.003
QAc-G-0050,DBG,0.014,0.004,0.012,0.917,0.019,0.004,0.024,0.005
QAc-G-0051,DBG,0.003,0.002,0.003,0.003,0.003,0.002,0.978,0.006
QAc-G-0052,DBG,0.004,0.013,0.015,0.021,0.005,0.027,0.911,0.004
QAc-G-0053,DBG,0.009,0.018,0.003,0.007,0.003,0.006,0.949,0.007
QAc-G-0054,DBG,0.006,0.008,0.014,0.894,0.012,0.004,0.059,0.003
QAc-G-0055,DBG,0.006,0.009,0.01,0.619,0.046,0.003,0.302,0.005
QAc-G-0056,DBG,0.014,0.007,0.038,0.906,0.009,0.007,0.014,0.005
QAc-G-0057,DBG,0.004,0.004,0.003,0.003,0.004,0.002,0.976,0.004
QAc-G-0058,DBG,0.003,0.003,0.003,0.003,0.003,0.003,0.978,0.004
QAc-G-0059,DBG,0.003,0.005,0.007,0.839,0.005,0.003,0.135,0.003
QAc-G-0060,DBG,0.015,0.012,0.006,0.09,0.007,0.014,0.851,0.006
QAc-G-0276,FGT,0.329,0.018,0.006,0.007,0.005,0.003,0.01,0.623
QAc-G-0279,FGT,0.977,0.003,0.003,0.003,0.002,0.002,0.005,0.004
QAc-G-0280,FGT,0.969,0.008,0.004,0.005,0.003,0.004,0.003,0.004
QAc-G-0281,FGT,0.007,0.003,0.004,0.004,0.003,0.004,0.972,0.003
QAc-G-0018,HBG,0.007,0.892,0.01,0.025,0.024,0.005,0.032,0.005
QAc-G-0019,HBG,0.015,0.886,0.007,0.006,0.005,0.063,0.004,0.013
QAc-G-0020,HBG,0.002,0.945,0.004,0.033,0.003,0.003,0.005,0.004
QAc-G-0021,HBG,0.004,0.961,0.003,0.006,0.003,0.013,0.008,0.003
QAc-G-0022,HBG,0.004,0.775,0.088,0.042,0.009,0.045,0.02,0.017
QAc-G-0023,HBG,0.003,0.003,0.003,0.003,0.003,0.002,0.975,0.007
QAc-G-0024,HBG,0.003,0.006,0.003,0.003,0.004,0.004,0.974,0.003
QAc-G-0016,HBG,0.013,0.01,0.009,0.806,0.1,0.004,0.055,0.004
QAc-G-0017,HBG,0.005,0.008,0.012,0.028,0.73,0.206,0.004,0.007
QAc-G-0250,Meis,0.123,0.016,0.013,0.559,0.045,0.007,0.008,0.229
QAc-G-0003,MBG,0.965,0.005,0.006,0.003,0.003,0.003,0.005,0.01
