Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9
QAc-W-0001,Porter,0.004,0.005,0.013,0.901,0.041,0.02,0.009,0.004,0.003
QAc-W-0002,Porter,0.005,0.026,0.105,0.033,0.629,0.036,0.13,0.025,0.01
QAc-W-0003,Porter,0.04,0.019,0.034,0.782,0.066,0.007,0.014,0.005,0.033
QAc-W-0004,Porter,0.007,0.004,0.003,0.953,0.015,0.004,0.004,0.004,0.005
QAc-W-0005,Porter,0.003,0.003,0.006,0.95,0.02,0.004,0.005,0.005,0.004
QAc-W-0006,Porter,0.005,0.004,0.004,0.872,0.083,0.012,0.007,0.008,0.004
QAc-W-0007,Porter,0.004,0.005,0.006,0.949,0.014,0.006,0.005,0.007,0.005
QAc-W-0008,Porter,0.003,0.021,0.021,0.838,0.049,0.006,0.044,0.013,0.004
QAc-W-0009,Porter,0.011,0.055,0.054,0.031,0.191,0.066,0.489,0.089,0.013
QAc-W-0010,Porter,0.006,0.032,0.008,0.784,0.035,0.048,0.029,0.042,0.017
QAc-W-0011,Porter,0.017,0.021,0.017,0.292,0.432,0.034,0.143,0.007,0.035
QAc-W-0012,Porter,0.005,0.007,0.005,0.382,0.561,0.005,0.021,0.009,0.005
QAc-W-0013,Porter,0.065,0.006,0.025,0.016,0.35,0.488,0.041,0.005,0.006
QAc-W-0014,Porter,0.004,0.007,0.007,0.89,0.037,0.007,0.014,0.024,0.01
QAc-W-0015,Porter,0.029,0.007,0.082,0.02,0.337,0.089,0.089,0.04,0.308
QAc-W-0016,Porter,0.026,0.064,0.01,0.831,0.005,0.003,0.032,0.016,0.012
QAc-W-0017,Porter,0.023,0.012,0.502,0.018,0.056,0.023,0.182,0.042,0.143
QAc-W-0018,Porter,0.055,0.104,0.022,0.693,0.016,0.014,0.082,0.01,0.005
QAc-W-0019,Porter,0.007,0.005,0.01,0.837,0.111,0.006,0.009,0.01,0.005
QAc-W-0020,Porter,0.003,0.008,0.064,0.892,0.006,0.005,0.015,0.004,0.004
QAc-W-0021,Porter,0.246,0.011,0.015,0.516,0.034,0.013,0.145,0.015,0.004
QAc-W-0022,Porter,0.039,0.013,0.264,0.05,0.038,0.031,0.483,0.054,0.027
QAc-W-0023,Porter,0.024,0.017,0.105,0.296,0.06,0.125,0.277,0.091,0.006
QAc-W-0024,Porter,0.185,0.006,0.162,0.526,0.037,0.007,0.047,0.009,0.021
QAc-W-0025,Porter,0.009,0.012,0.019,0.12,0.794,0.005,0.026,0.011,0.005
QAc-W-0026,Porter,0.025,0.008,0.006,0.059,0.816,0.009,0.025,0.025,0.027
