Ind,Pop,C1,C2,C3,C4,C5
QAc-W-0001,Porter,0.007,0.979,0.005,0.005,0.004
QAc-W-0002,Porter,0.069,0.885,0.026,0.006,0.014
QAc-W-0003,Porter,0.013,0.926,0.004,0.027,0.03
QAc-W-0004,Porter,0.004,0.979,0.005,0.008,0.004
QAc-W-0005,Porter,0.004,0.981,0.006,0.004,0.005
QAc-W-0006,Porter,0.005,0.981,0.005,0.006,0.004
QAc-W-0007,Porter,0.004,0.98,0.006,0.005,0.004
QAc-W-0008,Porter,0.008,0.975,0.01,0.004,0.004
QAc-W-0009,Porter,0.25,0.475,0.217,0.028,0.031
QAc-W-0010,Porter,0.023,0.915,0.033,0.005,0.023
QAc-W-0011,Porter,0.036,0.907,0.007,0.013,0.036
QAc-W-0012,Porter,0.007,0.973,0.008,0.006,0.005
QAc-W-0013,Porter,0.648,0.221,0.009,0.112,0.01
QAc-W-0014,Porter,0.006,0.967,0.016,0.004,0.007
QAc-W-0015,Porter,0.06,0.341,0.078,0.048,0.473
QAc-W-0016,Porter,0.015,0.897,0.034,0.034,0.02
QAc-W-0017,Porter,0.05,0.431,0.206,0.059,0.256
QAc-W-0018,Porter,0.096,0.83,0.021,0.048,0.005
QAc-W-0019,Porter,0.007,0.97,0.011,0.007,0.005
QAc-W-0020,Porter,0.009,0.978,0.005,0.003,0.005
QAc-W-0021,Porter,0.021,0.739,0.025,0.21,0.006
QAc-W-0022,Porter,0.086,0.552,0.239,0.068,0.055
QAc-W-0023,Porter,0.134,0.669,0.145,0.046,0.006
QAc-W-0024,Porter,0.007,0.816,0.01,0.153,0.015
QAc-W-0025,Porter,0.008,0.958,0.016,0.014,0.005
QAc-W-0026,Porter,0.012,0.92,0.02,0.026,0.022
QAc-W-0027,Porter,0.006,0.974,0.008,0.006,0.006
QAc-W-0028,Porter,0.009,0.974,0.006,0.003,0.008
QAc-W-0029,Porter,0.056,0.928,0.005,0.007,0.003
QAc-W-0030,Porter,0.164,0.731,0.007,0.018,0.08
QAc-W-0031,Porter,0.008,0.95,0.005,0.033,0.003
QAc-W-0032,Porter,0.004,0.98,0.009,0.004,0.003
QAc-W-0033,Porter,0.048,0.852,0.075,0.015,0.01
QAc-W-0034,Porter,0.018,0.961,0.009,0.008,0.004
QAc-W-0035,Porter,0.029,0.863,0.032,0.017,0.059
QAc-W-0036,Porter,0.009,0.975,0.008,0.004,0.004
QAc-W-0037,Porter,0.014,0.937,0.018,0.014,0.017
QAc-W-0038,Porter,0.009,0.929,0.008,0.006,0.047
QAc-W-0039,Porter,0.012,0.937,0.006,0.013,0.032
QAc-W-0040,Porter,0.005,0.794,0.172,0.018,0.011
QAc-W-0041,Porter,0.068,0.789,0.012,0.123,0.007
NA,NA,0,0,0,0,0
QAc-W-0042,Magazine,0.978,0.006,0.005,0.005,0.005
QAc-W-0043,Magazine,0.972,0.006,0.005,0.005,0.011
