Ind,Pop,C1,C2,C3,C4,C5,C6,C7
QAc-W-0001,Porter,0.007,0.004,0.003,0.004,0.973,0.006,0.004
QAc-W-0002,Porter,0.061,0.006,0.016,0.041,0.829,0.017,0.029
QAc-W-0003,Porter,0.008,0.024,0.029,0.004,0.915,0.006,0.014
QAc-W-0004,Porter,0.005,0.007,0.004,0.004,0.97,0.007,0.004
QAc-W-0005,Porter,0.004,0.004,0.005,0.005,0.972,0.006,0.005
QAc-W-0006,Porter,0.006,0.005,0.004,0.006,0.971,0.005,0.004
QAc-W-0007,Porter,0.004,0.005,0.004,0.006,0.97,0.007,0.005
QAc-W-0008,Porter,0.005,0.003,0.004,0.005,0.957,0.012,0.013
QAc-W-0009,Porter,0.108,0.021,0.024,0.331,0.308,0.033,0.175
QAc-W-0010,Porter,0.023,0.005,0.013,0.033,0.874,0.025,0.027
QAc-W-0011,Porter,0.044,0.015,0.034,0.006,0.856,0.015,0.03
QAc-W-0012,Porter,0.007,0.005,0.005,0.01,0.96,0.007,0.006
QAc-W-0013,Porter,0.717,0.127,0.009,0.009,0.122,0.007,0.01
QAc-W-0014,Porter,0.006,0.004,0.008,0.011,0.946,0.019,0.006
QAc-W-0015,Porter,0.145,0.05,0.458,0.032,0.219,0.085,0.011
QAc-W-0016,Porter,0.005,0.029,0.015,0.021,0.757,0.045,0.129
QAc-W-0017,Porter,0.069,0.053,0.232,0.134,0.315,0.164,0.034
QAc-W-0018,Porter,0.016,0.047,0.004,0.01,0.724,0.038,0.161
QAc-W-0019,Porter,0.008,0.006,0.005,0.008,0.955,0.012,0.005
QAc-W-0020,Porter,0.009,0.003,0.005,0.005,0.967,0.004,0.007
QAc-W-0021,Porter,0.017,0.229,0.005,0.012,0.693,0.03,0.012
QAc-W-0022,Porter,0.125,0.074,0.046,0.17,0.366,0.16,0.058
QAc-W-0023,Porter,0.21,0.038,0.006,0.074,0.542,0.108,0.023
QAc-W-0024,Porter,0.007,0.176,0.017,0.008,0.773,0.014,0.006
QAc-W-0025,Porter,0.006,0.014,0.006,0.006,0.934,0.023,0.011
QAc-W-0026,Porter,0.014,0.02,0.022,0.018,0.901,0.017,0.01
QAc-W-0027,Porter,0.007,0.006,0.005,0.008,0.959,0.008,0.007
QAc-W-0028,Porter,0.015,0.004,0.008,0.006,0.956,0.006,0.005
QAc-W-0029,Porter,0.054,0.007,0.003,0.005,0.901,0.008,0.021
QAc-W-0030,Porter,0.029,0.013,0.067,0.012,0.483,0.007,0.389
QAc-W-0031,Porter,0.012,0.04,0.003,0.004,0.932,0.004,0.004
QAc-W-0032,Porter,0.004,0.004,0.003,0.009,0.967,0.007,0.006
QAc-W-0033,Porter,0.023,0.012,0.009,0.087,0.783,0.03,0.056
QAc-W-0034,Porter,0.033,0.007,0.004,0.008,0.93,0.011,0.007
QAc-W-0035,Porter,0.007,0.011,0.035,0.051,0.616,0.022,0.259
QAc-W-0036,Porter,0.014,0.004,0.004,0.008,0.957,0.007,0.006
QAc-W-0037,Porter,0.017,0.017,0.017,0.019,0.905,0.012,0.012
QAc-W-0038,Porter,0.006,0.006,0.053,0.008,0.901,0.009,0.018
QAc-W-0039,Porter,0.026,0.013,0.033,0.006,0.912,0.006,0.005
QAc-W-0040,Porter,0.004,0.017,0.01,0.121,0.783,0.059,0.006
QAc-W-0041,Porter,0.047,0.132,0.007,0.007,0.767,0.018,0.021
NA,NA,0,0,0,0,0,0,0
QAc-W-0042,Magazine,0.965,0.004,0.005,0.005,0.006,0.006,0.009
QAc-W-0043,Magazine,0.966,0.004,0.009,0.005,0.006,0.004,0.006
QAc-W-0044,Magazine,0.916,0.005,0.02,0.018,0.01,0.022,0.009
QAc-W-0045,Magazine,0.705,0.005,0.006,0.005,0.006,0.005,0.269
QAc-W-0046,Magazine,0.974,0.005,0.004,0.005,0.005,0.004,0.004
QAc-W-0047,Magazine,0.947,0.003,0.024,0.008,0.006,0.006,0.006
QAc-W-0048,Magazine,0.965,0.004,0.004,0.005,0.012,0.004,0.006
QAc-W-0049,Magazine,0.971,0.004,0.003,0.006,0.007,0.004,0.006
QAc-W-0050,Magazine,0.093,0.004,0.005,0.06,0.006,0.011,0.819
QAc-W-0051,Magazine,0.017,0.015,0.017,0.005,0.011,0.004,0.93
QAc-W-0052,Magazine,0.556,0.007,0.015,0.054,0.307,0.015,0.048
QAc-W-0053,Magazine,0.929,0.007,0.005,0.013,0.013,0.012,0.022
QAc-W-0054,Magazine,0.021,0.008,0.072,0.029,0.007,0.013,0.851
QAc-W-0055,Magazine,0.006,0.007,0.055,0.008,0.005,0.009,0.91
QAc-W-0056,Magazine,0.006,0.011,0.009,0.007,0.062,0.018,0.887
QAc-W-0057,Magazine,0.033,0.009,0.081,0.005,0.007,0.012,0.853
QAc-W-0058,Magazine,0.019,0.013,0.007,0.004,0.005,0.004,0.949
QAc-W-0059,Magazine,0.974,0.003,0.005,0.004,0.005,0.004,0.005
QAc-W-0060,Magazine,0.007,0.004,0.959,0.013,0.005,0.006,0.006
QAc-W-0061,Magazine,0.022,0.012,0.773,0.044,0.054,0.072,0.023
QAc-W-0062,Magazine,0.004,0.007,0.969,0.005,0.003,0.008,0.004
QAc-W-0063,Magazine,0.007,0.103,0.822,0.019,0.018,0.012,0.018
QAc-W-0064,Magazine,0.004,0.009,0.952,0.01,0.008,0.006,0.011
QAc-W-0065,Magazine,0.007,0.009,0.756,0.015,0.013,0.032,0.168
QAc-W-0066,Magazine,0.007,0.015,0.96,0.003,0.007,0.004,0.005
QAc-W-0067,Magazine,0.006,0.013,0.938,0.02,0.004,0.014,0.006
QAc-W-0068,Magazine,0.006,0.006,0.968,0.005,0.006,0.004,0.006
QAc-W-0069,Magazine,0.004,0.008,0.97,0.004,0.006,0.003,0.004
QAc-W-0070,Magazine,0.003,0.004,0.979,0.003,0.003,0.003,0.005
QAc-W-0071,Magazine,0.006,0.005,0.97,0.004,0.005,0.004,0.005
