Ind,Population,C1,C2,C3,C4,C5,C6
QAc-G-0029,AP,0.005,0.004,0.96,0.005,0.014,0.011
QAc-G-0030,AP,0.003,0.003,0.985,0.003,0.003,0.003
QAc-G-0031,AP,0.003,0.003,0.982,0.004,0.003,0.006
QAc-G-0061,Arnold,0.006,0.003,0.975,0.005,0.007,0.004
QAc-G-0062,Arnold,0.503,0.017,0.01,0.377,0.005,0.087
QAc-G-0063,Arnold,0.006,0.025,0.006,0.018,0.149,0.796
QAc-G-0064,Arnold,0.98,0.004,0.003,0.004,0.004,0.005
QAc-G-0065,Arnold,0.985,0.003,0.004,0.003,0.003,0.003
QAc-G-0066,Arnold,0.003,0.003,0.005,0.003,0.004,0.982
QAc-G-0067,Arnold,0.978,0.004,0.008,0.004,0.003,0.003
QAc-G-0068,Arnold,0.007,0.365,0.004,0.014,0.004,0.605
QAc-G-0070,Arnold,0.009,0.01,0.007,0.226,0.019,0.73
QAc-G-0071,Arnold,0.003,0.004,0.005,0.003,0.004,0.982
QAc-G-0072,Arnold,0.003,0.003,0.004,0.006,0.005,0.978
QAc-G-0073,Arnold,0.003,0.004,0.004,0.004,0.981,0.003
QAc-G-0074,Arnold,0.007,0.013,0.004,0.026,0.79,0.16
QAc-G-0075,Arnold,0.007,0.01,0.008,0.005,0.962,0.009
QAc-G-0076,Arnold,0.008,0.006,0.009,0.008,0.96,0.008
QAc-G-0077,Arnold,0.008,0.003,0.97,0.003,0.007,0.009
QAc-G-0078,Arnold,0.002,0.003,0.986,0.003,0.003,0.003
QAc-G-0079,Arnold,0.002,0.004,0.981,0.004,0.004,0.005
QAc-G-0080,Arnold,0.042,0.095,0.706,0.006,0.137,0.014
QAc-G-0081,Arnold,0.006,0.047,0.007,0.898,0.033,0.008
QAc-G-0082,Arnold,0.003,0.801,0.005,0.111,0.077,0.003
QAc-G-0083,Arnold,0.09,0.048,0.092,0.143,0.123,0.504
QAc-G-0001,Bartlett,0.003,0.003,0.983,0.003,0.003,0.005
QAc-G-0002,Bartlett,0.003,0.003,0.986,0.003,0.003,0.003
QAc-G-0285,CBG,0.005,0.029,0.012,0.026,0.016,0.913
QAc-G-0286,CBG,0.003,0.003,0.003,0.003,0.003,0.984
QAc-G-0287,CBG,0.003,0.003,0.003,0.003,0.003,0.985
QAc-G-0288,CBG,0.006,0.005,0.019,0.016,0.01,0.943
QAc-G-0289,CBG,0.004,0.003,0.004,0.003,0.003,0.982
QAc-G-0290,CBG,0.008,0.003,0.003,0.004,0.004,0.978
QAc-G-0291,CBG,0.003,0.003,0.006,0.003,0.003,0.983
QAc-G-0292,CBG,0.004,0.024,0.003,0.253,0.006,0.709
QAc-G-0293,CBG,0.002,0.003,0.007,0.003,0.003,0.982
QAc-G-0294,CBG,0.007,0.013,0.007,0.007,0.963,0.004
QAc-G-0295,CBG,0.006,0.006,0.01,0.004,0.959,0.015
QAc-G-0296,CBG,0.012,0.003,0.003,0.004,0.971,0.006
QAc-G-0297,CBG,0.006,0.612,0.004,0.009,0.365,0.003
QAc-G-0298,CBG,0.005,0.005,0.005,0.004,0.977,0.004
QAc-G-0299,CBG,0.004,0.006,0.005,0.004,0.975,0.006
QAc-G-0300,CBG,0.019,0.005,0.003,0.01,0.958,0.004
QAc-G-0301,CBG,0.063,0.005,0.005,0.005,0.91,0.012
QAc-G-0302,CBG,0.004,0.973,0.004,0.005,0.008,0.005
QAc-G-0303,CBG,0.008,0.961,0.005,0.015,0.005,0.006
QAc-G-0304,CBG,0.003,0.003,0.004,0.003,0.004,0.984
QAc-G-0305,CBG,0.004,0.103,0.067,0.051,0.006,0.769
QAc-G-0306,CBG,0.003,0.002,0.004,0.003,0.003,0.985
QAc-G-0307,CBG,0.006,0.02,0.858,0.095,0.011,0.01
QAc-G-0308,CBG,0.004,0.01,0.95,0.008,0.014,0.015
QAc-G-0309,CBG,0.003,0.005,0.977,0.005,0.005,0.005
QAc-G-0310,CBG,0.003,0.003,0.981,0.004,0.004,0.004
QAc-G-0311,CBG,0.002,0.003,0.987,0.003,0.003,0.003
QAc-G-0312,CBG,0.018,0.176,0.569,0.112,0.118,0.007
QAc-G-0313,CBG,0.017,0.073,0.11,0.715,0.044,0.042
QAc-G-0314,CBG,0.014,0.172,0.017,0.473,0.319,0.004
QAc-G-0315,CBG,0.01,0.703,0.008,0.223,0.032,0.025
QAc-G-0316,CBG,0.005,0.074,0.025,0.876,0.01,0.009
QAc-G-0032,DBG,0.069,0.901,0.008,0.006,0.011,0.006
QAc-G-0033,DBG,0.008,0.004,0.006,0.005,0.972,0.004
QAc-G-0034,DBG,0.009,0.009,0.034,0.012,0.931,0.005
QAc-G-0035,DBG,0.012,0.005,0.005,0.005,0.967,0.006
QAc-G-0036,DBG,0.005,0.007,0.006,0.013,0.951,0.018
QAc-G-0037,DBG,0.006,0.004,0.011,0.003,0.964,0.013
QAc-G-0038,DBG,0.003,0.004,0.002,0.005,0.983,0.003
QAc-G-0039,DBG,0.005,0.009,0.023,0.024,0.934,0.005
QAc-G-0040,DBG,0.004,0.007,0.006,0.062,0.862,0.059
QAc-G-0041,DBG,0.035,0.004,0.003,0.021,0.928,0.007
QAc-G-0042,DBG,0.006,0.005,0.003,0.005,0.975,0.006
QAc-G-0043,DBG,0.003,0.003,0.008,0.005,0.976,0.005
QAc-G-0044,DBG,0.021,0.009,0.004,0.007,0.951,0.009
QAc-G-0045,DBG,0.012,0.005,0.025,0.007,0.945,0.006
QAc-G-0046,DBG,0.005,0.005,0.051,0.024,0.912,0.003
QAc-G-0047,DBG,0.007,0.012,0.029,0.009,0.937,0.005
QAc-G-0048,DBG,0.006,0.005,0.003,0.008,0.975,0.004
QAc-G-0049,DBG,0.003,0.003,0.984,0.003,0.003,0.005
QAc-G-0050,DBG,0.005,0.761,0.123,0.063,0.005,0.042
QAc-G-0051,DBG,0.002,0.003,0.985,0.003,0.003,0.004
QAc-G-0052,DBG,0.031,0.007,0.935,0.012,0.012,0.003
QAc-G-0053,DBG,0.006,0.003,0.964,0.003,0.015,0.009
QAc-G-0054,DBG,0.006,0.449,0.377,0.138,0.025,0.005
QAc-G-0055,DBG,0.003,0.42,0.55,0.013,0.009,0.005
QAc-G-0056,DBG,0.013,0.378,0.042,0.537,0.014,0.016
QAc-G-0057,DBG,0.003,0.004,0.982,0.003,0.004,0.004
QAc-G-0058,DBG,0.003,0.003,0.984,0.003,0.003,0.003
QAc-G-0059,DBG,0.005,0.303,0.611,0.029,0.05,0.003
QAc-G-0060,DBG,0.019,0.012,0.936,0.007,0.013,0.014
QAc-G-0276,FGT,0.003,0.007,0.028,0.011,0.028,0.924
QAc-G-0279,FGT,0.003,0.003,0.007,0.004,0.004,0.981
QAc-G-0280,FGT,0.004,0.004,0.004,0.005,0.008,0.975
QAc-G-0281,FGT,0.004,0.003,0.978,0.004,0.004,0.007
QAc-G-0018,HBG,0.006,0.025,0.039,0.011,0.913,0.006
QAc-G-0019,HBG,0.082,0.005,0.004,0.007,0.889,0.013
QAc-G-0020,HBG,0.003,0.012,0.005,0.004,0.972,0.003
QAc-G-0021,HBG,0.013,0.004,0.008,0.003,0.969,0.004
QAc-G-0022,HBG,0.049,0.014,0.024,0.104,0.802,0.008
QAc-G-0023,HBG,0.002,0.004,0.983,0.003,0.004,0.003
QAc-G-0024,HBG,0.004,0.004,0.979,0.003,0.006,0.003
QAc-G-0016,HBG,0.006,0.775,0.18,0.012,0.012,0.015
QAc-G-0017,HBG,0.196,0.765,0.003,0.021,0.009,0.006
QAc-G-0250,Meis,0.008,0.378,0.012,0.016,0.027,0.56
