Ind,Population,C1,C2
QAc-G-0029,AP,0.032,0.968
QAc-G-0030,AP,0.012,0.988
QAc-G-0031,AP,0.01,0.99
QAc-G-0061,Arnold,0.035,0.965
QAc-G-0062,Arnold,0.853,0.147
QAc-G-0063,Arnold,0.305,0.695
QAc-G-0064,Arnold,0.984,0.016
QAc-G-0065,Arnold,0.977,0.023
QAc-G-0066,Arnold,0.012,0.988
QAc-G-0067,Arnold,0.938,0.062
QAc-G-0068,Arnold,0.46,0.54
QAc-G-0070,Arnold,0.432,0.568
QAc-G-0071,Arnold,0.014,0.986
QAc-G-0072,Arnold,0.019,0.981
QAc-G-0073,Arnold,0.974,0.026
QAc-G-0074,Arnold,0.818,0.182
QAc-G-0075,Arnold,0.954,0.046
QAc-G-0076,Arnold,0.954,0.046
QAc-G-0077,Arnold,0.022,0.978
QAc-G-0078,Arnold,0.011,0.989
QAc-G-0079,Arnold,0.015,0.985
QAc-G-0080,Arnold,0.423,0.577
QAc-G-0081,Arnold,0.973,0.027
QAc-G-0082,Arnold,0.979,0.021
QAc-G-0083,Arnold,0.474,0.526
QAc-G-0001,Bartlett,0.011,0.989
QAc-G-0002,Bartlett,0.012,0.988
QAc-G-0285,CBG,0.169,0.831
QAc-G-0286,CBG,0.014,0.986
QAc-G-0287,CBG,0.012,0.988
QAc-G-0288,CBG,0.016,0.984
QAc-G-0289,CBG,0.015,0.985
QAc-G-0290,CBG,0.025,0.975
QAc-G-0291,CBG,0.01,0.99
QAc-G-0292,CBG,0.493,0.507
QAc-G-0293,CBG,0.009,0.991
QAc-G-0294,CBG,0.968,0.032
QAc-G-0295,CBG,0.91,0.09
QAc-G-0296,CBG,0.975,0.025
QAc-G-0297,CBG,0.986,0.014
QAc-G-0298,CBG,0.974,0.026
QAc-G-0299,CBG,0.956,0.044
QAc-G-0300,CBG,0.987,0.013
QAc-G-0301,CBG,0.946,0.054
QAc-G-0302,CBG,0.985,0.015
QAc-G-0303,CBG,0.983,0.017
QAc-G-0304,CBG,0.012,0.988
QAc-G-0305,CBG,0.09,0.91
QAc-G-0306,CBG,0.01,0.99
QAc-G-0307,CBG,0.083,0.917
QAc-G-0308,CBG,0.017,0.983
QAc-G-0309,CBG,0.021,0.979
QAc-G-0310,CBG,0.015,0.985
QAc-G-0311,CBG,0.01,0.99
QAc-G-0312,CBG,0.665,0.335
QAc-G-0313,CBG,0.927,0.073
QAc-G-0314,CBG,0.982,0.018
QAc-G-0315,CBG,0.952,0.048
QAc-G-0316,CBG,0.883,0.117
QAc-G-0032,DBG,0.974,0.026
