Ind,Pop,C1,C2
QAc-W-0001,Porter,0.966,0.034
QAc-W-0002,Porter,0.955,0.045
QAc-W-0003,Porter,0.812,0.188
QAc-W-0004,Porter,0.977,0.023
QAc-W-0005,Porter,0.985,0.015
QAc-W-0006,Porter,0.979,0.021
QAc-W-0007,Porter,0.987,0.013
QAc-W-0008,Porter,0.987,0.013
QAc-W-0009,Porter,0.855,0.145
QAc-W-0010,Porter,0.971,0.029
QAc-W-0011,Porter,0.751,0.249
QAc-W-0012,Porter,0.984,0.016
QAc-W-0013,Porter,0.066,0.934
QAc-W-0014,Porter,0.989,0.011
QAc-W-0015,Porter,0.208,0.792
QAc-W-0016,Porter,0.963,0.037
QAc-W-0017,Porter,0.407,0.593
QAc-W-0018,Porter,0.794,0.206
QAc-W-0019,Porter,0.982,0.018
QAc-W-0020,Porter,0.975,0.025
QAc-W-0021,Porter,0.898,0.102
QAc-W-0022,Porter,0.757,0.243
QAc-W-0023,Porter,0.939,0.061
QAc-W-0024,Porter,0.527,0.473
QAc-W-0025,Porter,0.972,0.028
QAc-W-0026,Porter,0.616,0.384
QAc-W-0027,Porter,0.98,0.02
QAc-W-0028,Porter,0.981,0.019
QAc-W-0029,Porter,0.939,0.061
QAc-W-0030,Porter,0.485,0.515
QAc-W-0031,Porter,0.864,0.136
QAc-W-0032,Porter,0.988,0.012
QAc-W-0033,Porter,0.874,0.126
QAc-W-0034,Porter,0.971,0.029
QAc-W-0035,Porter,0.926,0.074
QAc-W-0036,Porter,0.975,0.025
QAc-W-0037,Porter,0.778,0.222
QAc-W-0038,Porter,0.764,0.236
QAc-W-0039,Porter,0.356,0.644
QAc-W-0040,Porter,0.971,0.029
QAc-W-0041,Porter,0.116,0.884
NA,NA,0,0
QAc-W-0042,Magazine,0.021,0.979
QAc-W-0043,Magazine,0.046,0.954
QAc-W-0044,Magazine,0.179,0.821
QAc-W-0045,Magazine,0.035,0.965
QAc-W-0046,Magazine,0.022,0.978
QAc-W-0047,Magazine,0.111,0.889
QAc-W-0048,Magazine,0.045,0.955
QAc-W-0049,Magazine,0.067,0.933
QAc-W-0050,Magazine,0.197,0.803
