Sample.Name,Pop,C1,C2,C3,C4,C5,C6
TMA-ZAIN-G-1,MBC,0.077,0.018,0.07,0.005,0.023,0.806
TMA-ZAIN-G-2,MBC,0.024,0.134,0.039,0.007,0.027,0.768
TMA-ZAIN-G-3,MBC,0.2,0.773,0.007,0.003,0.011,0.006
TMA-ZAIN-G-4,MBC,0.038,0.144,0.014,0.009,0.776,0.019
TMA-ZAIN-G-5,MBC,0.002,0.003,0.004,0.005,0.006,0.98
TMA-ZAIN-G-6,MBC,0.173,0.516,0.165,0.039,0.065,0.041
TMA-ZAIN-G-7,MBC,0.584,0.34,0.017,0.008,0.033,0.017
TMA-ZAIN-G-8,MBC,0.671,0.294,0.006,0.003,0.02,0.007
TMA-ZAIN-G-9,MBC,0.224,0.738,0.015,0.005,0.006,0.012
TMA-ZAIN-G-10,MBC,0.228,0.742,0.011,0.005,0.012,0.003
TMA-ZAIN-G-11,MBC,0.254,0.718,0.008,0.006,0.008,0.006
TMA-ZAIN-G-12,MBC,0.043,0.937,0.006,0.003,0.004,0.006
TMA-ZAIN-G-13,MBC,0.574,0.219,0.032,0.099,0.02,0.055
TMA-ZAIN-G-14,MBC,0.971,0.006,0.006,0.005,0.008,0.003
TMA-ZAIN-G-15,MBC,0.977,0.005,0.006,0.002,0.006,0.004
TMA-ZAIN-G-16,MBC,0.023,0.958,0.006,0.004,0.004,0.004
TMA-ZAIN-G-17,MBC,0.857,0.025,0.049,0.018,0.036,0.015
TMA-ZAIN-G-18,MBC,0.018,0.01,0.16,0.006,0.055,0.751
TMA-ZAIN-G-19,MBC,0.024,0.012,0.934,0.012,0.006,0.012
TMA-ZAIN-G-20,MBC,0.003,0.003,0.852,0.085,0.019,0.038
TMA-ZAIN-G-21,MBC,0.003,0.004,0.004,0.981,0.005,0.003
TMA-ZAIN-G-22,MBC,0.003,0.003,0.011,0.929,0.007,0.048
TMA-ZAIN-G-23,MBC,0.008,0.006,0.032,0.927,0.005,0.022
TMA-ZAIN-G-24,MBC,0.053,0.134,0.004,0.793,0.007,0.009
TMA-ZAIN-G-25,MBC,0.008,0.037,0.812,0.011,0.004,0.128
TMA-ZAIN-G-26,MBC,0.16,0.277,0.018,0.04,0.494,0.011
TMA-ZAIN-G-27,MBC,0.038,0.008,0.873,0.012,0.018,0.05
TMA-ZAIN-G-28,MBC,0.011,0.008,0.959,0.004,0.007,0.011
TMA-ZAIN-G-29,MBC,0.047,0.502,0.377,0.004,0.067,0.004
TMA-ZAIN-G-30,MBC,0.432,0.177,0.374,0.005,0.008,0.004
TMA-ZAIN-G-31,MBC,0.005,0.006,0.011,0.014,0.042,0.922
TMA-ZAIN-G-32,MBC,0.025,0.027,0.014,0.009,0.005,0.92
TMA-ZAIN-G-33,MBC,0.261,0.719,0.006,0.003,0.004,0.007
TMA-ZAIN-G-34,MBC,0.019,0.603,0.01,0.016,0.008,0.343
TMA-ZAIN-G-35,MBC,0.099,0.857,0.012,0.004,0.011,0.016
TMA-ZAIN-G-36,MBC,0.604,0.369,0.006,0.003,0.014,0.004
TMA-ZAIN-G-37,MBC,0.07,0.882,0.017,0.006,0.013,0.012
TMA-ZAIN-G-38,MBC,0.038,0.017,0.022,0.009,0.006,0.908
TMA-ZAIN-G-39,MBC,0.01,0.968,0.006,0.006,0.008,0.003
TMA-ZAIN-G-40,MBC,0.079,0.904,0.005,0.004,0.005,0.004
TMA-ZAIN-G-41,MBC,0.737,0.245,0.007,0.003,0.005,0.003
TMA-ZAIN-G-42,MBC,0.977,0.008,0.003,0.002,0.006,0.003
TMA-ZAIN-G-43,MBC,0.972,0.006,0.004,0.003,0.011,0.004
TMA-ZAIN-G-44,MBC,0.018,0.102,0.015,0.855,0.005,0.005
TMA-ZAIN-G-45,MBC,0.407,0.553,0.011,0.008,0.014,0.007
TMA-ZAIN-G-46,MBC,0.003,0.003,0.004,0.98,0.006,0.003
TMA-ZAIN-G-47,MBC,0.004,0.004,0.004,0.003,0.981,0.004
TMA-ZAIN-G-48,MBC,0.251,0.062,0.023,0.031,0.626,0.007
TMA-ZAIN-G-49,MBC,0.006,0.034,0.919,0.006,0.012,0.023
TMA-ZAIN-G-50,MBC,0.022,0.009,0.953,0.006,0.003,0.006
TMA-ZAIN-G-51,MBC,0.05,0.008,0.904,0.009,0.023,0.006
TMA-ZAIN-G-52,MBC,0.013,0.011,0.858,0.013,0.098,0.007
TMA-ZAIN-G-53,MBC,0.03,0.009,0.656,0.009,0.171,0.124
TMA-ZAIN-G-54,MBC,0.015,0.006,0.01,0.005,0.958,0.006
TMA-ZAIN-G-55,MBC,0.039,0.007,0.027,0.008,0.914,0.005
TMA-ZAIN-G-56,MBC,0.122,0.057,0.112,0.009,0.691,0.01
TMA-ZAIN-G-57,MBC,0.005,0.009,0.014,0.003,0.96,0.008
TMA-ZAIN-G-58,MBC,0.011,0.007,0.875,0.058,0.025,0.024
TMA-ZAIN-G-59,MBC,0.06,0.11,0.049,0.036,0.079,0.666
TMA-ZAIN-G-60,MBC,0.077,0.014,0.524,0.009,0.033,0.343
TMA-ZAIN-G-61,MBC,0.003,0.003,0.008,0.022,0.016,0.947
TMA-ZAIN-G-62,MBC,0.024,0.03,0.037,0.023,0.012,0.874
TMA-ZAIN-G-63,MBC,0.006,0.004,0.012,0.007,0.013,0.958
TMA-ZAIN-G-64,MBC,0.017,0.968,0.004,0.003,0.006,0.002
TMA-ZAIN-G-65,MBC,0.027,0.942,0.004,0.003,0.02,0.003
TMA-ZAIN-G-66,MBC,0.016,0.967,0.003,0.003,0.008,0.002
TMA-ZAIN-G-67,MBC,0.007,0.963,0.011,0.01,0.005,0.004
TMA-ZAIN-G-68,MBC,0.064,0.907,0.004,0.002,0.021,0.002
TMA-ZAIN-G-69,MBC,0.007,0.952,0.009,0.014,0.011,0.007
TMA-ZAIN-G-70,MBC,0.011,0.97,0.006,0.005,0.004,0.004
TMA-ZAIN-G-71,MBC,0.006,0.98,0.004,0.003,0.003,0.003
TMA-ZAIN-G-72,MBC,0.044,0.928,0.008,0.005,0.01,0.005
TMA-ZAIN-G-73,MBC,0.007,0.866,0.041,0.04,0.017,0.029
TMA-ZAIN-G-74,MBC,0.009,0.935,0.024,0.016,0.006,0.01
TMA-ZAIN-G-75,MBC,0.014,0.952,0.011,0.004,0.013,0.006
TMA-ZAIN-G-76,MBC,0.005,0.906,0.021,0.056,0.004,0.007
TMA-ZAIN-G-77,MBC,0.045,0.916,0.013,0.012,0.01,0.004
